Year,Month,Rainfall,WPI
2012,4,47.5,91.8
2012,5,31.7,94.3
2012,6,117.8,98.1
2012,7,250.2,99.0
2012,8,262.4,98.5
2012,9,193.5,102.0
2012,10,58.7,101.7
2012,11,30.7,104.1
2012,12,11.7,103.9
2013,1,11.3,112.2
2013,2,40.1,105.2
2013,3,15.7,104.1
2013,4,30.4,104.7
2013,5,57.8,112.3
2013,6,219.8,110.5
2013,7,310.0,110.2
2013,8,254.7,112.6
2013,9,152.7,120.3
2013,10,129.4,124.5
2013,11,14.0,129.0
2013,12,6.7,131.0
2014,1,19.2,125.6
2014,2,27.4,126.0
2014,3,36.1,127.8
2014,4,22.2,127.8
2014,5,72.9,126.8
2014,6,95.4,132.2
2014,7,261.2,134.7
2014,8,237.5,135.8
2014,9,188.0,136.9
2014,10,60.2,141.0
2014,11,14.4,141.4
2014,12,10.7,144.5
2015,1,17.4,154.0
2015,2,21.0,154.0
2015,3,62.0,152.8
2015,4,69.4,154.5
2015,5,53.8,155.0
2015,6,192.8,153.7
2015,7,242.4,158.8
2015,8,205.2,158.8
2015,9,131.8,158.8
2015,10,42.9,158.8
2015,11,39.4,158.8
2015,12,15.0,158.8
2016,1,19.3,158.8
2016,2,22.8,158.8
2016,3,27.6,158.8
2016,4,37.4,168.6
2016,5,62.6,160.5
2016,6,168.3,156.2
2016,7,289.1,158.4
2016,8,256.3,168.6
2016,9,171.9,171.8
2016,10,76.1,174.6
2016,11,29.7,172.8
2016,12,14.9,171.8
2017,1,19.0,175.3
2017,2,22.6,178.1
2017,3,27.8,178.0
2017,4,37.9,177.8
2017,5,62.4,171.6
2017,6,168.1,172.1
2017,7,289.3,166.5
2017,8,256.2,169.0
2017,9,171.5,181.0
2017,10,76.3,194.7
2017,11,29.9,191.8
2017,12,15.0,188.2
2018,1,19.2,188.5
2018,2,20.1,187.3
2018,3,27.1,189.1
2018,4,40.2,186.5
2018,5,62.7,186.3
2018,6,165.0,184.5
2018,7,286.3,189.9
2018,8,254.3,187.1
2018,9,171.9,185.2
2018,10,77.2,190.8
2018,11,28.1,194.0
2018,12,14.1,199.3
2019,1,18.5,197.6
2019,2,33.1,192.5
2019,3,18.7,191.6
2019,4,31.5,191.3
2019,5,51.3,192.3
2019,6,113.5,193.2
2019,7,298.8,193.8
2019,8,299.9,194.2
2019,9,259.5,189.7
2019,10,110.1,198.3
2019,11,31.6,197.6
2019,12,19.2,201.3
2020,1,28.3,201.0
2020,2,12.1,200.0
2020,3,44.7,194.2
2020,4,42.7,192.4
2020,5,71.8,194.0
2020,6,195.6,194.8
2020,7,257.1,193.5
2020,8,327.8,209.7
2020,9,178.0,210.8
2020,10,78.3,214.4
2020,11,29.2,215.9
2020,12,17.0,206.5
2021,1,20.2,210.4
2021,2,7.6,206.8
2021,3,16.7,202.4
2021,4,31.1,202.3
2021,5,107.8,201.9
2021,6,182.4,198.6
2021,7,266.2,203.5
2021,8,196.3,224.8
2021,9,229.6,234.6
2021,10,100.8,232.7
2021,11,56.5,234.0
2021,12,20.5,234.5
2022,1,39.5,238.3
2022,2,19.1,244.1
2022,3,8.9,242.3
2022,4,38.2,242.3
2022,5,83.2,242.2
2022,6,152.2,233.5
2022,7,327.2,224.5
2022,8,264.0,222.5
2022,9,181.4,220.0
2022,10,111.8,224.2
2022,11,18.6,228.9
2022,12,13.6,231.0
2023,1,14.8,228.5
2023,2,7.2,227.3
2023,3,37.6,226.7
2023,4,41.4,226.0
2023,5,67.5,229.1
2023,6,151.2,234.0
2023,7,315.9,235.0
2023,8,162.7,236.1
2023,9,190.0,236.5
2023,10,50.8,234.0
2023,11,34.6,236.0
2023,12,25.5,239.0
2024,1,7.2,240.4
2024,2,19.6,240.8
2024,3,28.5,240.8
2024,4,31.4,239.8
2024,5,66.0,237.0
2024,6,147.2,238.2
2024,7,305.8,238.4
2024,8,293.9,237.4
2024,9,187.3,238.6
2024,10,75.7,242.7
2024,11,13.6,243.7
2024,12,28.1,246.0
