Year,Month,Rainfall,WPI
2012,4,47.5,100.0
2012,5,31.7,108.6
2012,6,117.8,107.4
2012,7,250.2,107.1
2012,8,262.4,144.4
2012,9,193.5,142.5
2012,10,58.7,121.1
2012,11,30.7,99.4
2012,12,11.7,86.9
2013,1,11.3,99.8
2013,2,40.1,107.6
2013,3,15.7,110.1
2013,4,30.4,117.7
2013,5,57.8,131.2
2013,6,219.8,151.8
2013,7,310.0,163.3
2013,8,254.7,174.0
2013,9,152.7,131.9
2013,10,129.4,101.9
2013,11,14.0,86.7
2013,12,6.7,87.5
2014,1,19.2,92.5
2014,2,27.4,102.7
2014,3,36.1,123.1
2014,4,22.2,141.1
2014,5,72.9,158.4
2014,6,95.4,198.9
2014,7,261.2,219.4
2014,8,237.5,214.1
2014,9,188.0,181.8
2014,10,60.2,113.0
2014,11,14.4,95.8
2014,12,10.7,90.5
2015,1,17.4,106.7
2015,2,21.0,121.1
2015,3,62.0,157.2
2015,4,69.4,160.8
2015,5,53.8,151.6
2015,6,192.8,145.4
2015,7,242.4,162.2
2015,8,205.2,153.1
2015,9,131.8,144.5
2015,10,42.9,133.3
2015,11,39.4,125.3
2015,12,15.0,125.3
2016,1,19.3,121.6
2016,2,22.8,131.4
2016,3,27.6,131.4
2016,4,37.4,153.1
2016,5,62.6,158.4
2016,6,168.3,236.6
2016,7,289.1,258.9
2016,8,256.3,276.2
2016,9,171.9,245.7
2016,10,76.1,173.6
2016,11,29.7,150.4
2016,12,14.9,133.9
2017,1,19.0,124.7
2017,2,22.6,123.7
2017,3,27.8,136.9
2017,4,37.9,142.3
2017,5,62.4,189.3
2017,6,168.1,250.4
2017,7,289.3,295.9
2017,8,256.2,345.2
2017,9,171.5,276.1
2017,10,76.3,153.9
2017,11,29.9,124.4
2017,12,15.0,137.4
2018,1,19.2,155.4
2018,2,20.1,184.6
2018,3,27.1,200.1
2018,4,40.2,194.8
2018,5,62.7,196.0
2018,6,165.0,185.2
2018,7,286.3,145.7
2018,8,254.3,170.1
2018,9,171.9,175.3
2018,10,77.2,169.3
2018,11,28.1,151.3
2018,12,14.1,140.4
2019,1,18.5,132.0
2019,2,33.1,150.5
2019,3,18.7,167.4
2019,4,31.5,174.7
2019,5,51.3,191.7
2019,6,113.5,254.2
2019,7,298.8,323.5
2019,8,299.9,307.7
2019,9,259.5,253.1
2019,10,110.1,178.7
2019,11,31.6,155.6
2019,12,19.2,147.0
2020,1,28.3,155.9
2020,2,12.1,177.2
2020,3,44.7,191.9
2020,4,42.7,192.7
2020,5,71.8,177.7
2020,6,195.6,187.3
2020,7,257.1,202.0
2020,8,327.8,245.3
2020,9,178.0,261.1
2020,10,78.3,193.2
2020,11,29.2,171.1
2020,12,17.0,180.0
2021,1,20.2,183.6
2021,2,7.6,201.1
2021,3,16.7,198.6
2021,4,31.1,229.8
2021,5,107.8,231.3
2021,6,182.4,215.1
2021,7,266.2,199.8
2021,8,196.3,210.8
2021,9,229.6,215.1
2021,10,100.8,190.8
2021,11,56.5,166.4
2021,12,20.5,169.1
2022,1,39.5,173.5
2022,2,19.1,177.3
2022,3,8.9,206.6
2022,4,38.2,240.2
2022,5,83.2,224.1
2022,6,152.2,222.3
2022,7,327.2,212.1
2022,8,264.0,243.0
2022,9,181.4,247.3
2022,10,111.8,201.6
2022,11,18.6,183.8
2022,12,13.6,194.6
2023,1,14.8,201.8
2023,2,7.2,211.9
2023,3,37.6,208.1
2023,4,41.4,245.9
2023,5,67.5,255.2
2023,6,151.2,252.6
2023,7,315.9,253.4
2023,8,162.7,264.6
2023,9,190.0,273.8
2023,10,50.8,243.2
2023,11,34.6,213.2
2023,12,25.5,198.2
2024,1,7.2,196.3
2024,2,19.6,192.7
2024,3,28.5,206.2
2024,4,31.4,251.1
2024,5,66.0,261.2
2024,6,147.2,261.9
2024,7,305.8,275.4
2024,8,293.9,325.9
2024,9,187.3,324.0
2024,10,75.7,261.6
2024,11,13.6,216.2
2024,12,28.1,215.6
