Year,Month,Rainfall,WPI
2012,4,47.5,107.1
2012,5,31.7,118.2
2012,6,117.8,118.1
2012,7,250.2,118.1
2012,8,262.4,105.5
2012,9,193.5,97.1
2012,10,58.7,97.0
2012,11,30.7,98.5
2012,12,11.7,95.8
2013,1,11.3,102.0
2013,2,40.1,108.8
2013,3,15.7,116.3
2013,4,30.4,121.8
2013,5,57.8,127.5
2013,6,219.8,126.7
2013,7,310.0,115.2
2013,8,254.7,105.0
2013,9,152.7,95.4
2013,10,129.4,91.7
2013,11,14.0,85.2
2013,12,6.7,89.2
2014,1,19.2,94.2
2014,2,27.4,84.9
2014,3,36.1,114.5
2014,4,22.2,126.4
2014,5,72.9,129.9
2014,6,95.4,131.5
2014,7,261.2,132.5
2014,8,237.5,124.3
2014,9,188.0,104.6
2014,10,60.2,96.2
2014,11,14.4,93.7
2014,12,10.7,91.7
2015,1,17.4,92.2
2015,2,21.0,95.9
2015,3,62.0,100.5
2015,4,69.4,107.9
2015,5,53.8,118.4
2015,6,192.8,123.2
2015,7,242.4,114.8
2015,8,205.2,108.1
2015,9,131.8,94.8
2015,10,42.9,88.1
2015,11,39.4,90.1
2015,12,15.0,88.4
2016,1,19.3,88.5
2016,2,22.8,94.1
2016,3,27.6,95.6
2016,4,37.4,109.4
2016,5,62.6,115.5
2016,6,168.3,101.8
2016,7,289.1,108.4
2016,8,256.3,94.1
2016,9,171.9,109.5
2016,10,76.1,99.4
2016,11,29.7,96.6
2016,12,14.9,103.1
2017,1,19.0,115.0
2017,2,22.6,125.2
2017,3,27.8,131.5
2017,4,37.9,136.7
2017,5,62.4,140.6
2017,6,168.1,144.0
2017,7,289.3,139.4
2017,8,256.2,117.9
2017,9,171.5,107.1
2017,10,76.3,97.0
2017,11,29.9,92.9
2017,12,15.0,90.8
2018,1,19.2,95.1
2018,2,20.1,100.2
2018,3,27.1,109.9
2018,4,40.2,116.6
2018,5,62.7,129.3
2018,6,165.0,144.9
2018,7,286.3,144.1
2018,8,254.3,114.1
2018,9,171.9,93.4
2018,10,77.2,88.9
2018,11,28.1,88.5
2018,12,14.1,90.2
2019,1,18.5,91.1
2019,2,33.1,99.6
2019,3,18.7,103.9
2019,4,31.5,112.2
2019,5,51.3,116.2
2019,6,113.5,124.7
2019,7,298.8,131.0
2019,8,299.9,117.5
2019,9,259.5,92.9
2019,10,110.1,90.3
2019,11,31.6,83.5
2019,12,19.2,87.0
2020,1,28.3,91.6
2020,2,12.1,98.9
2020,3,44.7,102.9
2020,4,42.7,107.9
2020,5,71.8,109.9
2020,6,195.6,126.9
2020,7,257.1,130.4
2020,8,327.8,127.3
2020,9,178.0,108.1
2020,10,78.3,95.0
2020,11,29.2,94.7
2020,12,17.0,103.1
2021,1,20.2,110.0
2021,2,7.6,121.8
2021,3,16.7,131.2
2021,4,31.1,149.0
2021,5,107.8,167.0
2021,6,182.4,185.5
2021,7,266.2,173.6
2021,8,196.3,119.2
2021,9,229.6,96.6
2021,10,100.8,99.3
2021,11,56.5,106.4
2021,12,20.5,110.1
2022,1,39.5,115.0
2022,2,19.1,118.1
2022,3,8.9,125.1
2022,4,38.2,140.7
2022,5,83.2,148.7
2022,6,152.2,159.3
2022,7,327.2,156.1
2022,8,264.0,129.0
2022,9,181.4,118.0
2022,10,111.8,109.2
2022,11,18.6,97.9
2022,12,13.6,94.6
2023,1,14.8,101.1
2023,2,7.2,115.4
2023,3,37.6,134.1
2023,4,41.4,148.1
2023,5,67.5,161.0
2023,6,151.2,168.3
2023,7,315.9,173.5
2023,8,162.7,164.1
2023,9,190.0,157.2
2023,10,50.8,145.9
2023,11,34.6,133.2
2023,12,25.5,127.5
2024,1,7.2,133.7
2024,2,19.6,130.1
2024,3,28.5,131.8
2024,4,31.4,142.0
2024,5,66.0,145.5
2024,6,147.2,147.0
2024,7,305.8,149.7
2024,8,293.9,153.5
2024,9,187.3,139.5
2024,10,75.7,126.6
2024,11,13.6,122.6
2024,12,28.1,125.3
