Year,Month,Rainfall,WPI
2012,4,47.5,97.1
2012,5,31.7,99.7
2012,6,117.8,101.6
2012,7,250.2,108.6
2012,8,262.4,115.6
2012,9,193.5,118.6
2012,10,58.7,116.3
2012,11,30.7,114.4
2012,12,11.7,110.2
2013,1,11.3,109.1
2013,2,40.1,110.6
2013,3,15.7,116.3
2013,4,30.4,118.1
2013,5,57.8,118.2
2013,6,219.8,117.7
2013,7,310.0,116.5
2013,8,254.7,116.7
2013,9,152.7,117.2
2013,10,129.4,118.4
2013,11,14.0,119.0
2013,12,6.7,118.4
2014,1,19.2,118.1
2014,2,27.4,118.4
2014,3,36.1,119.0
2014,4,22.2,120.6
2014,5,72.9,121.0
2014,6,95.4,120.1
2014,7,261.2,122.2
2014,8,237.5,126.8
2014,9,188.0,126.5
2014,10,60.2,126.3
2014,11,14.4,127.7
2014,12,10.7,128.2
2015,1,17.4,134.3
2015,2,21.0,139.1
2015,3,62.0,144.8
2015,4,69.4,148.4
2015,5,53.8,157.3
2015,6,192.8,173.7
2015,7,242.4,174.8
2015,8,205.2,185.5
2015,9,131.8,196.9
2015,10,42.9,219.0
2015,11,39.4,217.1
2015,12,15.0,222.8
2016,1,19.3,215.8
2016,2,22.8,205.5
2016,3,27.6,201.2
2016,4,37.4,217.5
2016,5,62.6,216.8
2016,6,168.3,217.2
2016,7,289.1,215.1
2016,8,256.3,195.0
2016,9,171.9,184.6
2016,10,76.1,182.4
2016,11,29.7,178.9
2016,12,14.9,166.0
2017,1,19.0,140.7
2017,2,22.6,133.1
2017,3,27.8,126.0
2017,4,37.9,127.2
2017,5,62.4,121.6
2017,6,168.1,118.3
2017,7,289.3,114.1
2017,8,256.2,115.4
2017,9,171.5,118.4
2017,10,76.3,113.8
2017,11,29.9,111.6
2017,12,15.0,112.6
2018,1,19.2,114.9
2018,2,20.1,116.5
2018,3,27.1,116.6
2018,4,40.2,115.3
2018,5,62.7,115.9
2018,6,165.0,113.2
2018,7,286.3,111.2
2018,8,254.3,110.8
2018,9,171.9,110.8
2018,10,77.2,109.4
2018,11,28.1,114.0
2018,12,14.1,123.9
2019,1,18.5,127.8
2019,2,33.1,133.6
2019,3,18.7,132.4
2019,4,31.5,136.8
2019,5,51.3,143.7
2019,6,113.5,149.5
2019,7,298.8,150.2
2019,8,299.9,153.0
2019,9,259.5,150.5
2019,10,110.1,150.4
2019,11,31.6,153.6
2019,12,19.2,154.6
2020,1,28.3,152.0
2020,2,12.1,152.8
2020,3,44.7,150.9
2020,4,42.7,155.7
2020,5,71.8,157.0
2020,6,195.6,158.6
2020,7,257.1,160.1
2020,8,327.8,160.9
2020,9,178.0,165.8
2020,10,78.3,173.6
2020,11,29.2,174.5
2020,12,17.0,169.1
2021,1,20.2,166.8
2021,2,7.6,173.2
2021,3,16.7,175.0
2021,4,31.1,177.4
2021,5,107.8,179.7
2021,6,182.4,178.8
2021,7,266.2,174.4
2021,8,196.3,177.4
2021,9,229.6,179.9
2021,10,100.8,180.8
2021,11,56.5,176.2
2021,12,20.5,176.5
2022,1,39.5,175.8
2022,2,19.1,176.4
2022,3,8.9,177.9
2022,4,38.2,176.1
2022,5,83.2,175.7
2022,6,152.2,174.2
2022,7,327.2,180.3
2022,8,264.0,188.8
2022,9,181.4,191.2
2022,10,111.8,192.2
2022,11,18.6,193.7
2022,12,13.6,194.7
2023,1,14.8,195.4
2023,2,7.2,197.3
2023,3,37.6,201.7
2023,4,41.4,207.1
2023,5,67.5,211.6
2023,6,151.2,226.3
2023,7,315.9,238.4
2023,8,162.7,248.2
2023,9,190.0,268.2
2023,10,50.8,274.8
2023,11,34.6,277.0
2023,12,25.5,269.7
2024,1,7.2,256.3
2024,2,19.6,262.6
2024,3,28.5,261.3
2024,4,31.4,270.4
2024,5,66.0,291.8
2024,6,147.2,303.5
2024,7,305.8,306.8
2024,8,293.9,303.8
2024,9,187.3,300.1
2024,10,75.7,290.2
2024,11,13.6,286.9
2024,12,28.1,273.8
