Year,Month,Rainfall,WPI
2012,4,47.5,101.2
2012,5,31.7,109.5
2012,6,117.8,109.1
2012,7,250.2,113.3
2012,8,262.4,117.5
2012,9,193.5,108.8
2012,10,58.7,111.3
2012,11,30.7,121.6
2012,12,11.7,115.8
2013,1,11.3,116.5
2013,2,40.1,115.4
2013,3,15.7,118.0
2013,4,30.4,122.5
2013,5,57.8,123.1
2013,6,219.8,124.8
2013,7,310.0,127.6
2013,8,254.7,133.1
2013,9,152.7,136.4
2013,10,129.4,139.2
2013,11,14.0,140.5
2013,12,6.7,134.7
2014,1,19.2,136.1
2014,2,27.4,136.1
2014,3,36.1,136.3
2014,4,22.2,141.1
2014,5,72.9,144.0
2014,6,95.4,148.3
2014,7,261.2,152.2
2014,8,237.5,154.2
2014,9,188.0,151.7
2014,10,60.2,147.1
2014,11,14.4,146.1
2014,12,10.7,140.7
2015,1,17.4,140.5
2015,2,21.0,145.2
2015,3,62.0,142.9
2015,4,69.4,137.6
2015,5,53.8,136.1
2015,6,192.8,145.6
2015,7,242.4,144.1
2015,8,205.2,143.3
2015,9,131.8,141.1
2015,10,42.9,139.4
2015,11,39.4,136.2
2015,12,15.0,130.6
2016,1,19.3,128.9
2016,2,22.8,133.1
2016,3,27.6,129.3
2016,4,37.4,136.0
2016,5,62.6,140.6
2016,6,168.3,154.2
2016,7,289.1,153.1
2016,8,256.3,162.8
2016,9,171.9,156.2
2016,10,76.1,147.0
2016,11,29.7,142.0
2016,12,14.9,127.8
2017,1,19.0,134.3
2017,2,22.6,140.2
2017,3,27.8,145.0
2017,4,37.9,155.1
2017,5,62.4,159.9
2017,6,168.1,167.2
2017,7,289.3,168.4
2017,8,256.2,177.7
2017,9,171.5,164.6
2017,10,76.3,152.4
2017,11,29.9,152.6
2017,12,15.0,148.7
2018,1,19.2,149.1
2018,2,20.1,150.6
2018,3,27.1,152.8
2018,4,40.2,155.8
2018,5,62.7,147.6
2018,6,165.0,148.5
2018,7,286.3,143.5
2018,8,254.3,140.1
2018,9,171.9,139.4
2018,10,77.2,141.7
2018,11,28.1,140.0
2018,12,14.1,132.8
2019,1,18.5,133.1
2019,2,33.1,134.4
2019,3,18.7,130.6
2019,4,31.5,132.2
2019,5,51.3,133.8
2019,6,113.5,137.8
2019,7,298.8,143.3
2019,8,299.9,141.2
2019,9,259.5,138.1
2019,10,110.1,137.3
2019,11,31.6,126.4
2019,12,19.2,123.6
2020,1,28.3,127.2
2020,2,12.1,131.9
2020,3,44.7,132.7
2020,4,42.7,128.0
2020,5,71.8,130.2
2020,6,195.6,132.5
2020,7,257.1,134.1
2020,8,327.8,140.2
2020,9,178.0,136.7
2020,10,78.3,130.9
2020,11,29.2,129.9
2020,12,17.0,123.1
2021,1,20.2,124.9
2021,2,7.6,122.4
2021,3,16.7,125.6
2021,4,31.1,129.2
2021,5,107.8,133.4
2021,6,182.4,136.0
2021,7,266.2,135.1
2021,8,196.3,138.9
2021,9,229.6,167.3
2021,10,100.8,163.9
2021,11,56.5,152.5
2021,12,20.5,146.2
2022,1,39.5,144.2
2022,2,19.1,150.2
2022,3,8.9,158.1
2022,4,38.2,163.4
2022,5,83.2,146.5
2022,6,152.2,157.2
2022,7,327.2,162.6
2022,8,264.0,164.3
2022,9,181.4,159.6
2022,10,111.8,151.6
2022,11,18.6,147.0
2022,12,13.6,144.7
2023,1,14.8,147.0
2023,2,7.2,156.2
2023,3,37.6,160.3
2023,4,41.4,156.8
2023,5,67.5,155.4
2023,6,151.2,155.8
2023,7,315.9,162.2
2023,8,162.7,176.0
2023,9,190.0,179.9
2023,10,50.8,175.8
2023,11,34.6,173.0
2023,12,25.5,167.4
2024,1,7.2,168.5
2024,2,19.6,167.7
2024,3,28.5,169.5
2024,4,31.4,175.7
2024,5,66.0,181.0
2024,6,147.2,184.2
2024,7,305.8,180.1
2024,8,293.9,186.3
2024,9,187.3,189.7
2024,10,75.7,188.8
2024,11,13.6,178.8
2024,12,28.1,172.2
