Year,Month,Rainfall,WPI
2012,4,47.5,117.1
2012,5,31.7,118.0
2012,6,117.8,111.2
2012,7,250.2,113.2
2012,8,262.4,113.8
2012,9,193.5,111.8
2012,10,58.7,110.5
2012,11,30.7,113.9
2012,12,11.7,119.0
2013,1,11.3,119.4
2013,2,40.1,120.2
2013,3,15.7,119.5
2013,4,30.4,116.5
2013,5,57.8,114.7
2013,6,219.8,115.8
2013,7,310.0,115.8
2013,8,254.7,116.3
2013,9,152.7,118.0
2013,10,129.4,118.6
2013,11,14.0,120.1
2013,12,6.7,123.3
2014,1,19.2,123.9
2014,2,27.4,123.5
2014,3,36.1,124.1
2014,4,22.2,119.2
2014,5,72.9,120.7
2014,6,95.4,118.2
2014,7,261.2,120.1
2014,8,237.5,124.2
2014,9,188.0,127.1
2014,10,60.2,129.8
2014,11,14.4,128.4
2014,12,10.7,131.0
2015,1,17.4,135.4
2015,2,21.0,134.7
2015,3,62.0,132.6
2015,4,69.4,120.1
2015,5,53.8,122.7
2015,6,192.8,120.7
2015,7,242.4,121.9
2015,8,205.2,122.6
2015,9,131.8,124.3
2015,10,42.9,128.5
2015,11,39.4,133.1
2015,12,15.0,136.1
2016,1,19.3,138.5
2016,2,22.8,141.6
2016,3,27.6,139.4
2016,4,37.4,143.4
2016,5,62.6,148.7
2016,6,168.3,151.8
2016,7,289.1,154.2
2016,8,256.3,155.5
2016,9,171.9,154.0
2016,10,76.1,153.6
2016,11,29.7,159.5
2016,12,14.9,161.2
2017,1,19.0,161.6
2017,2,22.6,161.9
2017,3,27.8,156.9
2017,4,37.9,144.5
2017,5,62.4,137.7
2017,6,168.1,138.1
2017,7,289.3,139.3
2017,8,256.2,139.1
2017,9,171.5,140.3
2017,10,76.3,141.2
2017,11,29.9,140.4
2017,12,15.0,142.9
2018,1,19.2,141.6
2018,2,20.1,141.0
2018,3,27.1,140.8
2018,4,40.2,138.9
2018,5,62.7,139.8
2018,6,165.0,141.7
2018,7,286.3,141.0
2018,8,254.3,145.0
2018,9,171.9,146.7
2018,10,77.2,150.2
2018,11,28.1,153.5
2018,12,14.1,154.8
2019,1,18.5,159.2
2019,2,33.1,163.4
2019,3,18.7,163.9
2019,4,31.5,159.0
2019,5,51.3,160.9
2019,6,113.5,167.0
2019,7,298.8,169.0
2019,8,299.9,173.4
2019,9,259.5,175.4
2019,10,110.1,174.4
2019,11,31.6,174.9
2019,12,19.2,176.8
2020,1,28.3,180.4
2020,2,12.1,181.7
2020,3,44.7,182.3
2020,4,42.7,177.8
2020,5,71.8,166.3
2020,6,195.6,157.4
2020,7,257.1,153.1
2020,8,327.8,150.3
2020,9,178.0,149.1
2020,10,78.3,148.6
2020,11,29.2,149.4
2020,12,17.0,152.0
2021,1,20.2,151.6
2021,2,7.6,149.1
2021,3,16.7,150.0
2021,4,31.1,150.0
2021,5,107.8,154.6
2021,6,182.4,156.0
2021,7,266.2,156.7
2021,8,196.3,160.0
2021,9,229.6,166.4
2021,10,100.8,170.7
2021,11,56.5,174.8
2021,12,20.5,179.9
2022,1,39.5,183.6
2022,2,19.1,188.4
2022,3,8.9,187.0
2022,4,38.2,219.3
2022,5,83.2,233.4
2022,6,152.2,234.9
2022,7,327.2,235.0
2022,8,264.0,234.0
2022,9,181.4,234.4
2022,10,111.8,231.8
2022,11,18.6,238.6
2022,12,13.6,243.0
2023,1,14.8,239.7
2023,2,7.2,238.9
2023,3,37.6,218.6
2023,4,41.4,202.8
2023,5,67.5,187.8
2023,6,151.2,191.6
2023,7,315.9,190.6
2023,8,162.7,191.1
2023,9,190.0,195.5
2023,10,50.8,202.3
2023,11,34.6,198.6
2023,12,25.5,200.0
2024,1,7.2,197.5
2024,2,19.6,198.2
2024,3,28.5,194.8
2024,4,31.4,188.1
2024,5,66.0,193.8
2024,6,147.2,197.8
2024,7,305.8,203.6
2024,8,293.9,211.4
2024,9,187.3,217.2
2024,10,75.7,218.3
2024,11,13.6,226.6
2024,12,28.1,234.9
