Year,Month,Rainfall,WPI
2012,4,47.5,140.4
2012,5,31.7,137.4
2012,6,117.8,138.3
2012,7,250.2,111.2
2012,8,262.4,113.3
2012,9,193.5,90.3
2012,10,58.7,96.5
2012,11,30.7,113.1
2012,12,11.7,113.6
2013,1,11.3,106.4
2013,2,40.1,108.9
2013,3,15.7,136.9
2013,4,30.4,172.0
2013,5,57.8,179.2
2013,6,219.8,181.8
2013,7,310.0,119.1
2013,8,254.7,112.3
2013,9,152.7,131.9
2013,10,129.4,125.1
2013,11,14.0,99.5
2013,12,6.7,117.0
2014,1,19.2,109.2
2014,2,27.4,103.8
2014,3,36.1,109.5
2014,4,22.2,116.7
2014,5,72.9,148.8
2014,6,95.4,153.1
2014,7,261.2,135.3
2014,8,237.5,110.5
2014,9,188.0,90.3
2014,10,60.2,127.5
2014,11,14.4,129.0
2014,12,10.7,127.9
2015,1,17.4,99.5
2015,2,21.0,112.4
2015,3,62.0,107.6
2015,4,69.4,124.2
2015,5,53.8,176.5
2015,6,192.8,137.3
2015,7,242.4,134.8
2015,8,205.2,134.8
2015,9,131.8,134.8
2015,10,42.9,134.8
2015,11,39.4,134.8
2015,12,15.0,134.8
2016,1,19.3,134.8
2016,2,22.8,134.8
2016,3,27.6,134.8
2016,4,37.4,170.3
2016,5,62.6,203.5
2016,6,168.3,210.2
2016,7,289.1,110.7
2016,8,256.3,88.9
2016,9,171.9,110.9
2016,10,76.1,142.0
2016,11,29.7,125.3
2016,12,14.9,125.3
2017,1,19.0,116.9
2017,2,22.6,140.1
2017,3,27.8,175.4
2017,4,37.9,180.2
2017,5,62.4,187.3
2017,6,168.1,182.6
2017,7,289.3,154.7
2017,8,256.2,136.7
2017,9,171.5,143.5
2017,10,76.3,161.5
2017,11,29.9,148.6
2017,12,15.0,110.6
2018,1,19.2,92.6
2018,2,20.1,71.6
2018,3,27.1,75.4
2018,4,40.2,83.0
2018,5,62.7,99.3
2018,6,165.0,114.2
2018,7,286.3,99.0
2018,8,254.3,84.5
2018,9,171.9,100.9
2018,10,77.2,119.9
2018,11,28.1,125.7
2018,12,14.1,116.3
2019,1,18.5,113.1
2019,2,33.1,105.3
2019,3,18.7,122.0
2019,4,31.5,134.1
2019,5,51.3,142.8
2019,6,113.5,157.4
2019,7,298.8,150.4
2019,8,299.9,143.1
2019,9,259.5,134.0
2019,10,110.1,142.1
2019,11,31.6,134.9
2019,12,19.2,136.1
2020,1,28.3,145.2
2020,2,12.1,117.8
2020,3,44.7,108.4
2020,4,42.7,146.5
2020,5,71.8,149.3
2020,6,195.6,143.9
2020,7,257.1,108.4
2020,8,327.8,124.3
2020,9,178.0,173.1
2020,10,78.3,196.0
2020,11,29.2,166.5
2020,12,17.0,134.4
2021,1,20.2,137.7
2021,2,7.6,165.8
2021,3,16.7,147.2
2021,4,31.1,152.1
2021,5,107.8,152.3
2021,6,182.4,181.2
2021,7,266.2,141.1
2021,8,196.3,129.9
2021,9,229.6,130.2
2021,10,100.8,158.7
2021,11,56.5,172.5
2021,12,20.5,200.5
2022,1,39.5,181.3
2022,2,19.1,148.6
2022,3,8.9,133.4
2022,4,38.2,152.9
2022,5,83.2,184.2
2022,6,152.2,188.5
2022,7,327.2,198.8
2022,8,264.0,204.5
2022,9,181.4,200.1
2022,10,111.8,185.0
2022,11,18.6,163.4
2022,12,13.6,121.5
2023,1,14.8,129.5
2023,2,7.2,143.4
2023,3,37.6,166.3
2023,4,41.4,223.3
2023,5,67.5,207.1
2023,6,151.2,225.1
2023,7,315.9,248.2
2023,8,162.7,220.5
2023,9,190.0,172.8
2023,10,50.8,224.5
2023,11,34.6,219.0
2023,12,25.5,195.5
2024,1,7.2,172.7
2024,2,19.6,158.9
2024,3,28.5,171.3
2024,4,31.4,195.5
2024,5,66.0,247.6
2024,6,147.2,265.7
2024,7,305.8,234.8
2024,8,293.9,193.6
2024,9,187.3,203.1
2024,10,75.7,232.4
2024,11,13.6,227.9
2024,12,28.1,184.4
