Year,Month,Rainfall,WPI
2012,4,47.5,77.7
2012,5,31.7,65.0
2012,6,117.8,59.9
2012,7,250.2,67.6
2012,8,262.4,53.2
2012,9,193.5,58.0
2012,10,58.7,63.3
2012,11,30.7,66.8
2012,12,11.7,83.3
2013,1,11.3,109.1
2013,2,40.1,123.7
2013,3,15.7,117.0
2013,4,30.4,122.4
2013,5,57.8,127.6
2013,6,219.8,121.3
2013,7,310.0,107.0
2013,8,254.7,103.0
2013,9,152.7,108.3
2013,10,129.4,111.3
2013,11,14.0,118.7
2013,12,6.7,121.5
2014,1,19.2,159.4
2014,2,27.4,143.5
2014,3,36.1,115.9
2014,4,22.2,107.1
2014,5,72.9,123.0
2014,6,95.4,120.1
2014,7,261.2,104.0
2014,8,237.5,103.6
2014,9,188.0,96.5
2014,10,60.2,93.9
2014,11,14.4,100.4
2014,12,10.7,100.4
2015,1,17.4,140.4
2015,2,21.0,150.9
2015,3,62.0,124.4
2015,4,69.4,129.6
2015,5,53.8,114.3
2015,6,192.8,112.9
2015,7,242.4,94.3
2015,8,205.2,94.3
2015,9,131.8,94.3
2015,10,42.9,94.3
2015,11,39.4,94.3
2015,12,15.0,94.3
2016,1,19.3,94.3
2016,2,22.8,94.3
2016,3,27.6,94.3
2016,4,37.4,161.2
2016,5,62.6,179.9
2016,6,168.3,124.5
2016,7,289.1,127.6
2016,8,256.3,124.6
2016,9,171.9,120.2
2016,10,76.1,119.0
2016,11,29.7,131.7
2016,12,14.9,137.9
2017,1,19.0,147.9
2017,2,22.6,161.9
2017,3,27.8,171.4
2017,4,37.9,159.4
2017,5,62.4,150.1
2017,6,168.1,81.7
2017,7,289.3,64.7
2017,8,256.2,70.4
2017,9,171.5,66.4
2017,10,76.3,60.3
2017,11,29.9,67.7
2017,12,15.0,78.4
2018,1,19.2,81.5
2018,2,20.1,91.8
2018,3,27.1,92.7
2018,4,40.2,90.9
2018,5,62.7,85.4
2018,6,165.0,72.1
2018,7,286.3,61.8
2018,8,254.3,60.4
2018,9,171.9,71.0
2018,10,77.2,68.7
2018,11,28.1,71.3
2018,12,14.1,81.2
2019,1,18.5,91.4
2019,2,33.1,106.9
2019,3,18.7,107.0
2019,4,31.5,102.4
2019,5,51.3,97.0
2019,6,113.5,71.5
2019,7,298.8,68.2
2019,8,299.9,71.1
2019,9,259.5,73.5
2019,10,110.1,73.2
2019,11,31.6,72.7
2019,12,19.2,82.2
2020,1,28.3,89.6
2020,2,12.1,92.8
2020,3,44.7,91.3
2020,4,42.7,81.5
2020,5,71.8,83.2
2020,6,195.6,78.7
2020,7,257.1,73.7
2020,8,327.8,71.6
2020,9,178.0,71.3
2020,10,78.3,73.4
2020,11,29.2,79.5
2020,12,17.0,97.2
2021,1,20.2,103.0
2021,2,7.6,105.4
2021,3,16.7,106.6
2021,4,31.1,101.9
2021,5,107.8,89.8
2021,6,182.4,75.9
2021,7,266.2,65.9
2021,8,196.3,67.7
2021,9,229.6,71.8
2021,10,100.8,78.1
2021,11,56.5,81.9
2021,12,20.5,89.1
2022,1,39.5,103.9
2022,2,19.1,116.4
2022,3,8.9,119.2
2022,4,38.2,120.4
2022,5,83.2,94.4
2022,6,152.2,81.9
2022,7,327.2,80.0
2022,8,264.0,89.6
2022,9,181.4,83.7
2022,10,111.8,83.5
2022,11,18.6,91.9
2022,12,13.6,94.3
2023,1,14.8,104.4
2023,2,7.2,114.7
2023,3,37.6,121.4
2023,4,41.4,110.1
2023,5,67.5,94.7
2023,6,151.2,86.7
2023,7,315.9,90.0
2023,8,162.7,96.0
2023,9,190.0,98.5
2023,10,50.8,191.5
2023,11,34.6,201.0
2023,12,25.5,189.8
2024,1,7.2,184.5
2024,2,19.6,195.2
2024,3,28.5,194.6
2024,4,31.4,202.4
2024,5,66.0,198.8
2024,6,147.2,194.1
2024,7,305.8,190.7
2024,8,293.9,166.8
2024,9,187.3,159.3
2024,10,75.7,162.5
2024,11,13.6,154.2
2024,12,28.1,159.3
