Year,Month,Rainfall,WPI
2012,4,47.5,104.7
2012,5,31.7,100.2
2012,6,117.8,98.2
2012,7,250.2,100.9
2012,8,262.4,99.4
2012,9,193.5,104.5
2012,10,58.7,105.6
2012,11,30.7,104.1
2012,12,11.7,106.0
2013,1,11.3,112.0
2013,2,40.1,107.3
2013,3,15.7,103.8
2013,4,30.4,102.7
2013,5,57.8,105.6
2013,6,219.8,102.2
2013,7,310.0,101.7
2013,8,254.7,102.7
2013,9,152.7,107.6
2013,10,129.4,117.3
2013,11,14.0,117.1
2013,12,6.7,118.2
2014,1,19.2,118.2
2014,2,27.4,118.4
2014,3,36.1,120.3
2014,4,22.2,122.8
2014,5,72.9,129.6
2014,6,95.4,136.3
2014,7,261.2,156.6
2014,8,237.5,157.2
2014,9,188.0,150.1
2014,10,60.2,148.1
2014,11,14.4,148.5
2014,12,10.7,146.1
2015,1,17.4,156.4
2015,2,21.0,169.0
2015,3,62.0,169.1
2015,4,69.4,169.8
2015,5,53.8,168.4
2015,6,192.8,170.8
2015,7,242.4,174.1
2015,8,205.2,171.7
2015,9,131.8,177.5
2015,10,42.9,182.7
2015,11,39.4,183.7
2015,12,15.0,183.8
2016,1,19.3,184.3
2016,2,22.8,181.3
2016,3,27.6,180.5
2016,4,37.4,176.2
2016,5,62.6,175.2
2016,6,168.3,173.2
2016,7,289.1,171.9
2016,8,256.3,169.1
2016,9,171.9,167.8
2016,10,76.1,160.2
2016,11,29.7,156.1
2016,12,14.9,157.3
2017,1,19.0,164.2
2017,2,22.6,163.6
2017,3,27.8,165.5
2017,4,37.9,173.2
2017,5,62.4,166.7
2017,6,168.1,156.2
2017,7,289.3,159.1
2017,8,256.2,161.7
2017,9,171.5,166.3
2017,10,76.3,165.2
2017,11,29.9,167.5
2017,12,15.0,171.2
2018,1,19.2,184.5
2018,2,20.1,183.3
2018,3,27.1,178.7
2018,4,40.2,179.9
2018,5,62.7,178.8
2018,6,165.0,182.9
2018,7,286.3,176.6
2018,8,254.3,180.0
2018,9,171.9,194.5
2018,10,77.2,199.3
2018,11,28.1,197.9
2018,12,14.1,193.0
2019,1,18.5,194.1
2019,2,33.1,190.6
2019,3,18.7,185.1
2019,4,31.5,185.2
2019,5,51.3,187.1
2019,6,113.5,187.0
2019,7,298.8,188.8
2019,8,299.9,192.5
2019,9,259.5,194.5
2019,10,110.1,197.5
2019,11,31.6,198.0
2019,12,19.2,202.1
2020,1,28.3,198.9
2020,2,12.1,195.2
2020,3,44.7,187.8
2020,4,42.7,185.4
2020,5,71.8,189.6
2020,6,195.6,198.5
2020,7,257.1,207.7
2020,8,327.8,217.7
2020,9,178.0,220.6
2020,10,78.3,229.0
2020,11,29.2,241.3
2020,12,17.0,230.3
2021,1,20.2,226.0
2021,2,7.6,239.4
2021,3,16.7,235.2
2021,4,31.1,235.0
2021,5,107.8,234.6
2021,6,182.4,239.1
2021,7,266.2,242.4
2021,8,196.3,253.2
2021,9,229.6,269.2
2021,10,100.8,279.9
2021,11,56.5,280.5
2021,12,20.5,285.6
2022,1,39.5,279.1
2022,2,19.1,266.5
2022,3,8.9,260.8
2022,4,38.2,266.0
2022,5,83.2,265.1
2022,6,152.2,264.5
2022,7,327.2,265.1
2022,8,264.0,271.1
2022,9,181.4,281.7
2022,10,111.8,287.4
2022,11,18.6,272.3
2022,12,13.6,261.5
2023,1,14.8,268.1
2023,2,7.2,265.6
2023,3,37.6,261.5
2023,4,41.4,261.5
2023,5,67.5,267.7
2023,6,151.2,272.3
2023,7,315.9,277.4
2023,8,162.7,284.4
2023,9,190.0,278.6
2023,10,50.8,277.6
2023,11,34.6,267.2
2023,12,25.5,263.6
2024,1,7.2,267.1
2024,2,19.6,258.3
2024,3,28.5,255.9
2024,4,31.4,261.2
2024,5,66.0,266.8
2024,6,147.2,265.2
2024,7,305.8,255.9
2024,8,293.9,255.1
2024,9,187.3,242.6
2024,10,75.7,240.6
2024,11,13.6,235.0
2024,12,28.1,231.0
