Year,Month,Rainfall,WPI
2012,4,47.5,137.2
2012,5,31.7,99.0
2012,6,117.8,126.1
2012,7,250.2,98.1
2012,8,262.4,77.3
2012,9,193.5,90.5
2012,10,58.7,99.8
2012,11,30.7,106.9
2012,12,11.7,120.0
2013,1,11.3,157.5
2013,2,40.1,166.5
2013,3,15.7,174.9
2013,4,30.4,131.5
2013,5,57.8,104.8
2013,6,219.8,126.2
2013,7,310.0,124.1
2013,8,254.7,129.9
2013,9,152.7,118.9
2013,10,129.4,148.4
2013,11,14.0,189.6
2013,12,6.7,187.9
2014,1,19.2,181.4
2014,2,27.4,191.8
2014,3,36.1,174.4
2014,4,22.2,140.9
2014,5,72.9,105.7
2014,6,95.4,130.8
2014,7,261.2,128.6
2014,8,237.5,142.8
2014,9,188.0,143.6
2014,10,60.2,130.9
2014,11,14.4,164.7
2014,12,10.7,188.6
2015,1,17.4,218.6
2015,2,21.0,224.9
2015,3,62.0,193.9
2015,4,69.4,151.0
2015,5,53.8,132.4
2015,6,192.8,133.6
2015,7,242.4,136.4
2015,8,205.2,136.4
2015,9,131.8,136.4
2015,10,42.9,136.4
2015,11,39.4,136.4
2015,12,15.0,136.4
2016,1,19.3,136.4
2016,2,22.8,136.4
2016,3,27.6,136.4
2016,4,37.4,198.3
2016,5,62.6,155.6
2016,6,168.3,159.6
2016,7,289.1,193.1
2016,8,256.3,184.8
2016,9,171.9,178.6
2016,10,76.1,166.7
2016,11,29.7,157.9
2016,12,14.9,166.0
2017,1,19.0,205.9
2017,2,22.6,216.1
2017,3,27.8,214.1
2017,4,37.9,211.7
2017,5,62.4,207.4
2017,6,168.1,218.7
2017,7,289.3,116.4
2017,8,256.2,113.1
2017,9,171.5,103.2
2017,10,76.3,97.8
2017,11,29.9,103.1
2017,12,15.0,108.6
2018,1,19.2,116.4
2018,2,20.1,111.5
2018,3,27.1,112.7
2018,4,40.2,107.2
2018,5,62.7,101.4
2018,6,165.0,103.2
2018,7,286.3,107.5
2018,8,254.3,110.2
2018,9,171.9,105.1
2018,10,77.2,93.8
2018,11,28.1,114.5
2018,12,14.1,122.3
2019,1,18.5,147.0
2019,2,33.1,175.3
2019,3,18.7,175.7
2019,4,31.5,171.7
2019,5,51.3,153.1
2019,6,113.5,145.5
2019,7,298.8,141.1
2019,8,299.9,132.9
2019,9,259.5,127.9
2019,10,110.1,129.9
2019,11,31.6,152.2
2019,12,19.2,154.1
2020,1,28.3,155.3
2020,2,12.1,162.0
2020,3,44.7,133.7
2020,4,42.7,127.6
2020,5,71.8,112.2
2020,6,195.6,113.7
2020,7,257.1,114.0
2020,8,327.8,112.5
2020,9,178.0,135.5
2020,10,78.3,140.6
2020,11,29.2,128.7
2020,12,17.0,119.1
2021,1,20.2,130.2
2021,2,7.6,135.7
2021,3,16.7,134.8
2021,4,31.1,121.0
2021,5,107.8,113.0
2021,6,182.4,124.7
2021,7,266.2,137.8
2021,8,196.3,118.6
2021,9,229.6,134.5
2021,10,100.8,148.5
2021,11,56.5,209.4
2021,12,20.5,247.9
2022,1,39.5,289.9
2022,2,19.1,279.2
2022,3,8.9,231.3
2022,4,38.2,212.2
2022,5,83.2,146.7
2022,6,152.2,156.9
2022,7,327.2,159.2
2022,8,264.0,178.0
2022,9,181.4,183.7
2022,10,111.8,186.0
2022,11,18.6,191.0
2022,12,13.6,195.9
2023,1,14.8,224.4
2023,2,7.2,253.7
2023,3,37.6,258.9
2023,4,41.4,235.7
2023,5,67.5,206.9
2023,6,151.2,194.3
2023,7,315.9,236.4
2023,8,162.7,217.0
2023,9,190.0,162.7
2023,10,50.8,185.2
2023,11,34.6,179.3
2023,12,25.5,231.9
2024,1,7.2,255.2
2024,2,19.6,260.1
2024,3,28.5,258.5
2024,4,31.4,244.2
2024,5,66.0,246.5
2024,6,147.2,269.5
2024,7,305.8,267.8
2024,8,293.9,250.6
2024,9,187.3,236.2
2024,10,75.7,241.0
2024,11,13.6,227.4
2024,12,28.1,249.8
