Year,Month,Rainfall,WPI
2012,4,47.5,120.8
2012,5,31.7,122.4
2012,6,117.8,124.6
2012,7,250.2,133.3
2012,8,262.4,133.2
2012,9,193.5,133.3
2012,10,58.7,133.3
2012,11,30.7,131.9
2012,12,11.7,130.4
2013,1,11.3,131.8
2013,2,40.1,134.9
2013,3,15.7,125.5
2013,4,30.4,124.1
2013,5,57.8,122.6
2013,6,219.8,125.4
2013,7,310.0,130.4
2013,8,254.7,133.7
2013,9,152.7,134.2
2013,10,129.4,139.1
2013,11,14.0,145.8
2013,12,6.7,150.4
2014,1,19.2,152.9
2014,2,27.4,154.2
2014,3,36.1,156.0
2014,4,22.2,170.3
2014,5,72.9,179.4
2014,6,95.4,182.7
2014,7,261.2,188.9
2014,8,237.5,190.3
2014,9,188.0,183.1
2014,10,60.2,189.4
2014,11,14.4,190.9
2014,12,10.7,190.2
2015,1,17.4,184.9
2015,2,21.0,179.3
2015,3,62.0,172.8
2015,4,69.4,175.9
2015,5,53.8,177.7
2015,6,192.8,181.1
2015,7,242.4,185.3
2015,8,205.2,185.4
2015,9,131.8,184.8
2015,10,42.9,186.6
2015,11,39.4,191.9
2015,12,15.0,187.3
2016,1,19.3,181.7
2016,2,22.8,179.7
2016,3,27.6,185.4
2016,4,37.4,193.8
2016,5,62.6,195.5
2016,6,168.3,192.3
2016,7,289.1,190.3
2016,8,256.3,189.7
2016,9,171.9,188.0
2016,10,76.1,186.9
2016,11,29.7,182.8
2016,12,14.9,185.6
2017,1,19.0,183.8
2017,2,22.6,176.1
2017,3,27.8,175.7
2017,4,37.9,171.2
2017,5,62.4,167.4
2017,6,168.1,165.4
2017,7,289.3,159.5
2017,8,256.2,162.2
2017,9,171.5,157.8
2017,10,76.3,154.0
2017,11,29.9,150.9
2017,12,15.0,154.4
2018,1,19.2,154.6
2018,2,20.1,153.0
2018,3,27.1,145.1
2018,4,40.2,136.3
2018,5,62.7,136.3
2018,6,165.0,130.7
2018,7,286.3,124.8
2018,8,254.3,135.1
2018,9,171.9,142.0
2018,10,77.2,139.5
2018,11,28.1,139.8
2018,12,14.1,139.7
2019,1,18.5,136.6
2019,2,33.1,136.4
2019,3,18.7,130.8
2019,4,31.5,131.7
2019,5,51.3,136.3
2019,6,113.5,134.3
2019,7,298.8,130.8
2019,8,299.9,131.1
2019,9,259.5,129.1
2019,10,110.1,123.8
2019,11,31.6,124.8
2019,12,19.2,126.5
2020,1,28.3,124.8
2020,2,12.1,123.8
2020,3,44.7,121.9
2020,4,42.7,122.3
2020,5,71.8,124.0
2020,6,195.6,124.8
2020,7,257.1,123.4
2020,8,327.8,123.7
2020,9,178.0,123.5
2020,10,78.3,123.2
2020,11,29.2,124.3
2020,12,17.0,125.2
2021,1,20.2,122.2
2021,2,7.6,121.5
2021,3,16.7,126.9
2021,4,31.1,130.3
2021,5,107.8,130.6
2021,6,182.4,136.5
2021,7,266.2,136.0
2021,8,196.3,135.2
2021,9,229.6,137.9
2021,10,100.8,145.0
2021,11,56.5,159.7
2021,12,20.5,163.8
2022,1,39.5,165.0
2022,2,19.1,166.1
2022,3,8.9,167.9
2022,4,38.2,168.7
2022,5,83.2,166.6
2022,6,152.2,165.4
2022,7,327.2,164.0
2022,8,264.0,165.6
2022,9,181.4,165.7
2022,10,111.8,164.7
2022,11,18.6,164.1
2022,12,13.6,167.0
2023,1,14.8,168.5
2023,2,7.2,167.4
2023,3,37.6,165.7
2023,4,41.4,161.2
2023,5,67.5,162.7
2023,6,151.2,162.9
2023,7,315.9,168.7
2023,8,162.7,194.3
2023,9,190.0,199.4
2023,10,50.8,201.4
2023,11,34.6,200.6
2023,12,25.5,201.1
2024,1,7.2,200.7
2024,2,19.6,190.0
2024,3,28.5,181.9
2024,4,31.4,189.1
2024,5,66.0,197.1
2024,6,147.2,211.3
2024,7,305.8,213.9
2024,8,293.9,212.8
2024,9,187.3,214.1
2024,10,75.7,210.8
2024,11,13.6,210.4
2024,12,28.1,213.1
