Year,Month,Rainfall,WPI
2012,4,47.5,137.8
2012,5,31.7,74.4
2012,6,117.8,87.4
2012,7,250.2,107.3
2012,8,262.4,102.8
2012,9,193.5,96.5
2012,10,58.7,106.3
2012,11,30.7,101.2
2012,12,11.7,115.3
2013,1,11.3,133.8
2013,2,40.1,139.7
2013,3,15.7,166.3
2013,4,30.4,154.7
2013,5,57.8,122.9
2013,6,219.8,161.8
2013,7,310.0,193.3
2013,8,254.7,267.1
2013,9,152.7,195.9
2013,10,129.4,258.9
2013,11,14.0,147.2
2013,12,6.7,111.5
2014,1,19.2,95.6
2014,2,27.4,117.0
2014,3,36.1,112.3
2014,4,22.2,115.8
2014,5,72.9,96.9
2014,6,95.4,155.7
2014,7,261.2,207.9
2014,8,237.5,232.0
2014,9,188.0,214.7
2014,10,60.2,120.6
2014,11,14.4,149.8
2014,12,10.7,205.0
2015,1,17.4,145.0
2015,2,21.0,156.5
2015,3,62.0,138.9
2015,4,69.4,105.6
2015,5,53.8,97.5
2015,6,192.8,131.5
2015,7,242.4,147.4
2015,8,205.2,147.4
2015,9,131.8,147.4
2015,10,42.9,147.4
2015,11,39.4,147.4
2015,12,15.0,147.4
2016,1,19.3,147.4
2016,2,22.8,147.4
2016,3,27.6,147.4
2016,4,37.4,154.1
2016,5,62.6,161.4
2016,6,168.3,200.7
2016,7,289.1,185.2
2016,8,256.3,110.7
2016,9,171.9,100.8
2016,10,76.1,104.3
2016,11,29.7,108.6
2016,12,14.9,105.8
2017,1,19.0,99.9
2017,2,22.6,103.1
2017,3,27.8,115.8
2017,4,37.9,115.3
2017,5,62.4,105.1
2017,6,168.1,106.4
2017,7,289.3,131.9
2017,8,256.2,140.1
2017,9,171.5,138.9
2017,10,76.3,144.7
2017,11,29.9,141.4
2017,12,15.0,138.2
2018,1,19.2,137.9
2018,2,20.1,132.0
2018,3,27.1,125.7
2018,4,40.2,121.0
2018,5,62.7,105.3
2018,6,165.0,137.6
2018,7,286.3,159.1
2018,8,254.3,155.0
2018,9,171.9,137.5
2018,10,77.2,124.0
2018,11,28.1,118.4
2018,12,14.1,117.7
2019,1,18.5,119.0
2019,2,33.1,133.9
2019,3,18.7,167.5
2019,4,31.5,151.2
2019,5,51.3,131.9
2019,6,113.5,127.2
2019,7,298.8,136.5
2019,8,299.9,161.4
2019,9,259.5,168.8
2019,10,110.1,190.7
2019,11,31.6,192.4
2019,12,19.2,164.1
2020,1,28.3,142.2
2020,2,12.1,128.2
2020,3,44.7,130.2
2020,4,42.7,138.1
2020,5,71.8,138.5
2020,6,195.6,142.8
2020,7,257.1,134.5
2020,8,327.8,135.8
2020,9,178.0,189.8
2020,10,78.3,201.6
2020,11,29.2,160.0
2020,12,17.0,131.2
2021,1,20.2,132.0
2021,2,7.6,128.8
2021,3,16.7,134.8
2021,4,31.1,119.4
2021,5,107.8,125.3
2021,6,182.4,151.5
2021,7,266.2,162.5
2021,8,196.3,141.9
2021,9,229.6,137.8
2021,10,100.8,180.2
2021,11,56.5,204.5
2021,12,20.5,212.9
2022,1,39.5,207.3
2022,2,19.1,177.4
2022,3,8.9,156.3
2022,4,38.2,139.1
2022,5,83.2,133.9
2022,6,152.2,154.7
2022,7,327.2,170.8
2022,8,264.0,200.6
2022,9,181.4,177.7
2022,10,111.8,202.5
2022,11,18.6,167.7
2022,12,13.6,154.4
2023,1,14.8,171.5
2023,2,7.2,164.7
2023,3,37.6,161.1
2023,4,41.4,145.3
2023,5,67.5,139.1
2023,6,151.2,138.5
2023,7,315.9,182.2
2023,8,162.7,182.0
2023,9,190.0,163.7
2023,10,50.8,176.2
2023,11,34.6,135.6
2023,12,25.5,178.0
2024,1,7.2,180.3
2024,2,19.6,170.3
2024,3,28.5,183.4
2024,4,31.4,181.1
2024,5,66.0,192.4
2024,6,147.2,200.2
2024,7,305.8,208.9
2024,8,293.9,194.7
2024,9,187.3,229.8
2024,10,75.7,251.1
2024,11,13.6,217.7
2024,12,28.1,206.7
