Year,Month,Rainfall,WPI
2012,4,47.5,122.4
2012,5,31.7,108.3
2012,6,117.8,132.2
2012,7,250.2,112.4
2012,8,262.4,109.9
2012,9,193.5,110.4
2012,10,58.7,107.2
2012,11,30.7,103.2
2012,12,11.7,98.2
2013,1,11.3,103.2
2013,2,40.1,102.8
2013,3,15.7,112.4
2013,4,30.4,115.3
2013,5,57.8,141.4
2013,6,219.8,170.7
2013,7,310.0,182.1
2013,8,254.7,198.4
2013,9,152.7,145.2
2013,10,129.4,179.6
2013,11,14.0,145.2
2013,12,6.7,88.6
2014,1,19.2,80.6
2014,2,27.4,79.0
2014,3,36.1,88.6
2014,4,22.2,86.3
2014,5,72.9,99.2
2014,6,95.4,120.6
2014,7,261.2,154.1
2014,8,237.5,137.8
2014,9,188.0,140.9
2014,10,60.2,119.4
2014,11,14.4,135.3
2014,12,10.7,132.3
2015,1,17.4,122.9
2015,2,21.0,109.7
2015,3,62.0,109.9
2015,4,69.4,105.8
2015,5,53.8,124.4
2015,6,192.8,127.1
2015,7,242.4,107.4
2015,8,205.2,122.0
2015,9,131.8,101.6
2015,10,42.9,125.4
2015,11,39.4,110.8
2015,12,15.0,157.9
2016,1,19.3,157.0
2016,2,22.8,106.5
2016,3,27.6,130.2
2016,4,37.4,128.8
2016,5,62.6,133.8
2016,6,168.3,158.0
2016,7,289.1,164.7
2016,8,256.3,162.9
2016,9,171.9,138.6
2016,10,76.1,130.0
2016,11,29.7,96.1
2016,12,14.9,78.6
2017,1,19.0,94.4
2017,2,22.6,99.6
2017,3,27.8,124.0
2017,4,37.9,130.6
2017,5,62.4,137.2
2017,6,168.1,153.1
2017,7,289.3,199.5
2017,8,256.2,259.5
2017,9,171.5,198.5
2017,10,76.3,227.3
2017,11,29.9,216.3
2017,12,15.0,156.3
2018,1,19.2,170.9
2018,2,20.1,143.3
2018,3,27.1,137.9
2018,4,40.2,135.6
2018,5,62.7,133.5
2018,6,165.0,157.9
2018,7,286.3,160.3
2018,8,254.3,205.6
2018,9,171.9,185.2
2018,10,77.2,175.8
2018,11,28.1,139.4
2018,12,14.1,138.4
2019,1,18.5,164.5
2019,2,33.1,162.6
2019,3,18.7,161.4
2019,4,31.5,172.5
2019,5,51.3,166.4
2019,6,113.5,164.5
2019,7,298.8,160.5
2019,8,299.9,194.3
2019,9,259.5,203.5
2019,10,110.1,227.2
2019,11,31.6,190.0
2019,12,19.2,190.0
2020,1,28.3,167.7
2020,2,12.1,158.8
2020,3,44.7,154.4
2020,4,42.7,171.1
2020,5,71.8,162.6
2020,6,195.6,159.7
2020,7,257.1,151.1
2020,8,327.8,169.4
2020,9,178.0,230.6
2020,10,78.3,211.1
2020,11,29.2,203.0
2020,12,17.0,155.6
2021,1,20.2,155.7
2021,2,7.6,156.0
2021,3,16.7,143.2
2021,4,31.1,147.2
2021,5,107.8,139.8
2021,6,182.4,200.3
2021,7,266.2,229.6
2021,8,196.3,200.0
2021,9,229.6,173.9
2021,10,100.8,228.8
2021,11,56.5,243.6
2021,12,20.5,257.6
2022,1,39.5,283.8
2022,2,19.1,275.3
2022,3,8.9,198.7
2022,4,38.2,199.1
2022,5,83.2,204.9
2022,6,152.2,202.3
2022,7,327.2,201.8
2022,8,264.0,216.9
2022,9,181.4,230.8
2022,10,111.8,260.2
2022,11,18.6,181.4
2022,12,13.6,144.5
2023,1,14.8,165.6
2023,2,7.2,181.7
2023,3,37.6,219.7
2023,4,41.4,230.8
2023,5,67.5,225.6
2023,6,151.2,257.7
2023,7,315.9,326.2
2023,8,162.7,306.8
2023,9,190.0,222.0
2023,10,50.8,234.7
2023,11,34.6,167.3
2023,12,25.5,181.9
2024,1,7.2,222.1
2024,2,19.6,186.9
2024,3,28.5,207.2
2024,4,31.4,224.4
2024,5,66.0,228.0
2024,6,147.2,272.2
2024,7,305.8,272.1
2024,8,293.9,278.0
2024,9,187.3,280.2
2024,10,75.7,280.7
2024,11,13.6,283.1
2024,12,28.1,222.2
