Year,Month,Rainfall,WPI
2012,4,47.5,182.0
2012,5,31.7,202.4
2012,6,117.8,216.4
2012,7,250.2,189.6
2012,8,262.4,122.4
2012,9,193.5,111.8
2012,10,58.7,114.4
2012,11,30.7,110.5
2012,12,11.7,97.1
2013,1,11.3,87.4
2013,2,40.1,84.1
2013,3,15.7,79.4
2013,4,30.4,86.3
2013,5,57.8,106.9
2013,6,219.8,170.8
2013,7,310.0,240.9
2013,8,254.7,275.0
2013,9,152.7,252.8
2013,10,129.4,201.9
2013,11,14.0,277.5
2013,12,6.7,151.8
2014,1,19.2,105.9
2014,2,27.4,86.8
2014,3,36.1,79.0
2014,4,22.2,83.0
2014,5,72.9,104.9
2014,6,95.4,155.7
2014,7,261.2,212.1
2014,8,237.5,196.1
2014,9,188.0,182.0
2014,10,60.2,173.8
2014,11,14.4,157.4
2014,12,10.7,171.3
2015,1,17.4,174.3
2015,2,21.0,151.5
2015,3,62.0,126.5
2015,4,69.4,130.8
2015,5,53.8,132.6
2015,6,192.8,163.4
2015,7,242.4,170.4
2015,8,205.2,194.9
2015,9,131.8,182.1
2015,10,42.9,174.3
2015,11,39.4,149.1
2015,12,15.0,134.6
2016,1,19.3,142.6
2016,2,22.8,114.3
2016,3,27.6,115.2
2016,4,37.4,113.6
2016,5,62.6,162.2
2016,6,168.3,230.3
2016,7,289.1,284.2
2016,8,256.3,200.2
2016,9,171.9,159.2
2016,10,76.1,152.5
2016,11,29.7,145.9
2016,12,14.9,98.7
2017,1,19.0,83.5
2017,2,22.6,78.2
2017,3,27.8,90.0
2017,4,37.9,117.4
2017,5,62.4,153.9
2017,6,168.1,156.0
2017,7,289.3,142.5
2017,8,256.2,191.2
2017,9,171.5,259.1
2017,10,76.3,436.0
2017,11,29.9,397.1
2017,12,15.0,273.6
2018,1,19.2,157.6
2018,2,20.1,112.8
2018,3,27.1,83.5
2018,4,40.2,91.1
2018,5,62.7,109.2
2018,6,165.0,118.5
2018,7,286.3,162.9
2018,8,254.3,195.9
2018,9,171.9,184.1
2018,10,77.2,174.5
2018,11,28.1,142.8
2018,12,14.1,104.1
2019,1,18.5,108.6
2019,2,33.1,116.0
2019,3,18.7,119.1
2019,4,31.5,150.2
2019,5,51.3,157.9
2019,6,113.5,157.5
2019,7,298.8,190.9
2019,8,299.9,213.1
2019,9,259.5,182.1
2019,10,110.1,192.2
2019,11,31.6,216.1
2019,12,19.2,193.6
2020,1,28.3,155.1
2020,2,12.1,101.5
2020,3,44.7,79.6
2020,4,42.7,89.5
2020,5,71.8,92.3
2020,6,195.6,115.7
2020,7,257.1,126.9
2020,8,327.8,141.3
2020,9,178.0,186.8
2020,10,78.3,307.6
2020,11,29.2,252.3
2020,12,17.0,124.0
2021,1,20.2,92.4
2021,2,7.6,72.1
2021,3,16.7,68.3
2021,4,31.1,68.2
2021,5,107.8,92.0
2021,6,182.4,104.9
2021,7,266.2,136.6
2021,8,196.3,145.9
2021,9,229.6,146.4
2021,10,100.8,163.2
2021,11,56.5,201.2
2021,12,20.5,262.3
2022,1,39.5,269.0
2022,2,19.1,215.9
2022,3,8.9,136.2
2022,4,38.2,129.3
2022,5,83.2,165.9
2022,6,152.2,231.1
2022,7,327.2,245.9
2022,8,264.0,298.3
2022,9,181.4,257.5
2022,10,111.8,278.1
2022,11,18.6,171.5
2022,12,13.6,111.5
2023,1,14.8,104.0
2023,2,7.2,102.6
2023,3,37.6,93.3
2023,4,41.4,103.8
2023,5,67.5,117.8
2023,6,151.2,120.8
2023,7,315.9,186.6
2023,8,162.7,220.4
2023,9,190.0,176.0
2023,10,50.8,205.3
2023,11,34.6,201.8
2023,12,25.5,129.1
2024,1,7.2,146.0
2024,2,19.6,154.9
2024,3,28.5,181.1
2024,4,31.4,193.8
2024,5,66.0,188.7
2024,6,147.2,204.1
2024,7,305.8,246.1
2024,8,293.9,260.0
2024,9,187.3,234.3
2024,10,75.7,243.8
2024,11,13.6,274.1
2024,12,28.1,214.4
