Year,Month,Rainfall,WPI
2012,4,47.5,118.5
2012,5,31.7,119.3
2012,6,117.8,113.6
2012,7,250.2,112.1
2012,8,262.4,112.7
2012,9,193.5,105.2
2012,10,58.7,101.6
2012,11,30.7,101.8
2012,12,11.7,108.9
2013,1,11.3,109.6
2013,2,40.1,110.2
2013,3,15.7,102.3
2013,4,30.4,100.6
2013,5,57.8,97.4
2013,6,219.8,97.2
2013,7,310.0,96.4
2013,8,254.7,100.8
2013,9,152.7,104.7
2013,10,129.4,104.2
2013,11,14.0,103.0
2013,12,6.7,103.2
2014,1,19.2,103.6
2014,2,27.4,105.7
2014,3,36.1,108.5
2014,4,22.2,113.6
2014,5,72.9,118.8
2014,6,95.4,115.0
2014,7,261.2,113.8
2014,8,237.5,113.5
2014,9,188.0,121.3
2014,10,60.2,119.9
2014,11,14.4,119.1
2014,12,10.7,122.2
2015,1,17.4,133.0
2015,2,21.0,138.3
2015,3,62.0,132.8
2015,4,69.4,129.5
2015,5,53.8,127.0
2015,6,192.8,124.4
2015,7,242.4,124.1
2015,8,205.2,122.3
2015,9,131.8,121.4
2015,10,42.9,120.6
2015,11,39.4,119.9
2015,12,15.0,120.3
2016,1,19.3,122.0
2016,2,22.8,119.0
2016,3,27.6,116.9
2016,4,37.4,119.5
2016,5,62.6,126.2
2016,6,168.3,128.3
2016,7,289.1,128.0
2016,8,256.3,137.3
2016,9,171.9,140.4
2016,10,76.1,138.2
2016,11,29.7,142.0
2016,12,14.9,148.9
2017,1,19.0,154.3
2017,2,22.6,157.0
2017,3,27.8,151.0
2017,4,37.9,143.8
2017,5,62.4,134.4
2017,6,168.1,128.4
2017,7,289.3,130.8
2017,8,256.2,136.6
2017,9,171.5,141.5
2017,10,76.3,125.6
2017,11,29.9,114.8
2017,12,15.0,114.9
2018,1,19.2,125.9
2018,2,20.1,128.9
2018,3,27.1,126.9
2018,4,40.2,125.7
2018,5,62.7,122.1
2018,6,165.0,120.8
2018,7,286.3,123.4
2018,8,254.3,126.5
2018,9,171.9,134.7
2018,10,77.2,130.6
2018,11,28.1,131.7
2018,12,14.1,132.2
2019,1,18.5,134.3
2019,2,33.1,138.5
2019,3,18.7,134.9
2019,4,31.5,145.7
2019,5,51.3,169.0
2019,6,113.5,180.6
2019,7,298.8,196.7
2019,8,299.9,203.9
2019,9,259.5,189.3
2019,10,110.1,180.5
2019,11,31.6,178.5
2019,12,19.2,185.5
2020,1,28.3,207.7
2020,2,12.1,197.6
2020,3,44.7,179.9
2020,4,42.7,178.2
2020,5,71.8,174.1
2020,6,195.6,158.2
2020,7,257.1,157.2
2020,8,327.8,157.5
2020,9,178.0,155.0
2020,10,78.3,136.7
2020,11,29.2,137.3
2020,12,17.0,148.9
2021,1,20.2,146.2
2021,2,7.6,138.4
2021,3,16.7,137.5
2021,4,31.1,132.3
2021,5,107.8,119.1
2021,6,182.4,120.9
2021,7,266.2,120.7
2021,8,196.3,125.3
2021,9,229.6,127.9
2021,10,100.8,128.7
2021,11,56.5,134.6
2021,12,20.5,130.4
2022,1,39.5,120.2
2022,2,19.1,120.0
2022,3,8.9,119.3
2022,4,38.2,120.8
2022,5,83.2,115.7
2022,6,152.2,108.8
2022,7,327.2,109.3
2022,8,264.0,115.5
2022,9,181.4,114.1
2022,10,111.8,113.0
2022,11,18.6,108.1
2022,12,13.6,106.5
2023,1,14.8,109.2
2023,2,7.2,131.9
2023,3,37.6,153.9
2023,4,41.4,156.4
2023,5,67.5,154.2
2023,6,151.2,144.2
2023,7,315.9,153.8
2023,8,162.7,213.1
2023,9,190.0,226.3
2023,10,50.8,211.6
2023,11,34.6,202.3
2023,12,25.5,208.5
2024,1,7.2,223.0
2024,2,19.6,208.5
2024,3,28.5,205.9
2024,4,31.4,227.8
2024,5,66.0,262.7
2024,6,147.2,281.8
2024,7,305.8,282.5
2024,8,293.9,276.4
2024,9,187.3,265.4
2024,10,75.7,269.0
2024,11,13.6,293.7
2024,12,28.1,325.6
