Year,Month,Rainfall,WPI
2012,4,47.5,133.0
2012,5,31.7,132.8
2012,6,117.8,156.4
2012,7,250.2,182.0
2012,8,262.4,155.7
2012,9,193.5,140.5
2012,10,58.7,166.2
2012,11,30.7,150.1
2012,12,11.7,104.3
2013,1,11.3,102.7
2013,2,40.1,78.6
2013,3,15.7,75.3
2013,4,30.4,108.0
2013,5,57.8,131.6
2013,6,219.8,122.9
2013,7,310.0,130.8
2013,8,254.7,137.4
2013,9,152.7,138.3
2013,10,129.4,160.5
2013,11,14.0,222.0
2013,12,6.7,98.5
2014,1,19.2,73.5
2014,2,27.4,81.9
2014,3,36.1,92.0
2014,4,22.2,109.1
2014,5,72.9,116.2
2014,6,95.4,149.5
2014,7,261.2,179.5
2014,8,237.5,157.6
2014,9,188.0,230.0
2014,10,60.2,221.7
2014,11,14.4,209.1
2014,12,10.7,140.8
2015,1,17.4,140.4
2015,2,21.0,94.9
2015,3,62.0,121.3
2015,4,69.4,110.8
2015,5,53.8,133.9
2015,6,192.8,135.6
2015,7,242.4,174.7
2015,8,205.2,174.7
2015,9,131.8,174.7
2015,10,42.9,174.7
2015,11,39.4,174.7
2015,12,15.0,174.7
2016,1,19.3,174.7
2016,2,22.8,174.7
2016,3,27.6,174.7
2016,4,37.4,136.8
2016,5,62.6,133.8
2016,6,168.3,158.8
2016,7,289.1,179.6
2016,8,256.3,164.4
2016,9,171.9,163.5
2016,10,76.1,162.8
2016,11,29.7,145.9
2016,12,14.9,115.1
2017,1,19.0,101.7
2017,2,22.6,85.6
2017,3,27.8,98.5
2017,4,37.9,115.3
2017,5,62.4,138.5
2017,6,168.1,146.5
2017,7,289.3,135.8
2017,8,256.2,132.3
2017,9,171.5,133.2
2017,10,76.3,149.1
2017,11,29.9,189.5
2017,12,15.0,156.9
2018,1,19.2,136.8
2018,2,20.1,112.9
2018,3,27.1,102.8
2018,4,40.2,99.1
2018,5,62.7,99.3
2018,6,165.0,101.8
2018,7,286.3,121.2
2018,8,254.3,125.5
2018,9,171.9,113.6
2018,10,77.2,137.7
2018,11,28.1,135.5
2018,12,14.1,112.3
2019,1,18.5,96.0
2019,2,33.1,89.5
2019,3,18.7,94.7
2019,4,31.5,110.9
2019,5,51.3,123.0
2019,6,113.5,131.1
2019,7,298.8,154.5
2019,8,299.9,168.4
2019,9,259.5,176.3
2019,10,110.1,214.3
2019,11,31.6,248.9
2019,12,19.2,202.3
2020,1,28.3,177.8
2020,2,12.1,141.5
2020,3,44.7,140.0
2020,4,42.7,138.9
2020,5,71.8,139.3
2020,6,195.6,139.8
2020,7,257.1,138.8
2020,8,327.8,141.0
2020,9,178.0,167.3
2020,10,78.3,193.4
2020,11,29.2,226.0
2020,12,17.0,164.4
2021,1,20.2,121.0
2021,2,7.6,108.0
2021,3,16.7,113.0
2021,4,31.1,124.0
2021,5,107.8,119.1
2021,6,182.4,144.5
2021,7,266.2,164.7
2021,8,196.3,176.9
2021,9,229.6,183.6
2021,10,100.8,176.6
2021,11,56.5,209.1
2021,12,20.5,198.7
2022,1,39.5,186.1
2022,2,19.1,170.3
2022,3,8.9,155.2
2022,4,38.2,180.3
2022,5,83.2,171.9
2022,6,152.2,189.1
2022,7,327.2,218.6
2022,8,264.0,247.6
2022,9,181.4,259.1
2022,10,111.8,261.9
2022,11,18.6,245.8
2022,12,13.6,169.7
2023,1,14.8,145.1
2023,2,7.2,134.8
2023,3,37.6,141.8
2023,4,41.4,144.5
2023,5,67.5,153.4
2023,6,151.2,186.5
2023,7,315.9,228.6
2023,8,162.7,220.4
2023,9,190.0,193.3
2023,10,50.8,186.5
2023,11,34.6,211.1
2023,12,25.5,201.9
2024,1,7.2,200.2
2024,2,19.6,164.7
2024,3,28.5,143.4
2024,4,31.4,161.2
2024,5,66.0,176.7
2024,6,147.2,170.4
2024,7,305.8,221.8
2024,8,293.9,248.8
2024,9,187.3,255.0
2024,10,75.7,255.5
2024,11,13.6,295.0
2024,12,28.1,259.3
