Year,Month,Rainfall,WPI
2012,4,47.5,90.3
2012,5,31.7,96.1
2012,6,117.8,96.0
2012,7,250.2,99.5
2012,8,262.4,103.5
2012,9,193.5,103.1
2012,10,58.7,101.5
2012,11,30.7,102.7
2012,12,11.7,101.2
2013,1,11.3,103.0
2013,2,40.1,104.6
2013,3,15.7,98.3
2013,4,30.4,95.8
2013,5,57.8,96.7
2013,6,219.8,99.1
2013,7,310.0,101.9
2013,8,254.7,103.9
2013,9,152.7,106.6
2013,10,129.4,109.8
2013,11,14.0,113.5
2013,12,6.7,114.3
2014,1,19.2,115.3
2014,2,27.4,116.4
2014,3,36.1,115.3
2014,4,22.2,115.2
2014,5,72.9,107.7
2014,6,95.4,112.8
2014,7,261.2,115.3
2014,8,237.5,112.6
2014,9,188.0,116.5
2014,10,60.2,123.9
2014,11,14.4,124.5
2014,12,10.7,122.8
2015,1,17.4,127.8
2015,2,21.0,131.4
2015,3,62.0,128.5
2015,4,69.4,126.3
2015,5,53.8,131.7
2015,6,192.8,132.4
2015,7,242.4,134.9
2015,8,205.2,136.0
2015,9,131.8,138.6
2015,10,42.9,145.1
2015,11,39.4,144.2
2015,12,15.0,145.8
2016,1,19.3,142.7
2016,2,22.8,145.2
2016,3,27.6,144.4
2016,4,37.4,145.4
2016,5,62.6,148.5
2016,6,168.3,150.8
2016,7,289.1,150.5
2016,8,256.3,154.1
2016,9,171.9,164.8
2016,10,76.1,166.6
2016,11,29.7,165.6
2016,12,14.9,169.5
2017,1,19.0,171.7
2017,2,22.6,172.3
2017,3,27.8,171.1
2017,4,37.9,166.8
2017,5,62.4,170.9
2017,6,168.1,173.2
2017,7,289.3,173.8
2017,8,256.2,178.6
2017,9,171.5,179.9
2017,10,76.3,181.3
2017,11,29.9,177.6
2017,12,15.0,181.6
2018,1,19.2,183.5
2018,2,20.1,182.6
2018,3,27.1,181.0
2018,4,40.2,177.3
2018,5,62.7,173.7
2018,6,165.0,171.5
2018,7,286.3,172.9
2018,8,254.3,173.2
2018,9,171.9,170.8
2018,10,77.2,168.6
2018,11,28.1,171.3
2018,12,14.1,170.9
2019,1,18.5,169.7
2019,2,33.1,165.7
2019,3,18.7,163.3
2019,4,31.5,159.2
2019,5,51.3,156.9
2019,6,113.5,158.8
2019,7,298.8,157.1
2019,8,299.9,155.2
2019,9,259.5,158.0
2019,10,110.1,160.3
2019,11,31.6,161.7
2019,12,19.2,163.3
2020,1,28.3,163.7
2020,2,12.1,163.1
2020,3,44.7,159.6
2020,4,42.7,160.3
2020,5,71.8,160.4
2020,6,195.6,159.1
2020,7,257.1,154.8
2020,8,327.8,156.8
2020,9,178.0,156.7
2020,10,78.3,158.5
2020,11,29.2,161.7
2020,12,17.0,158.8
2021,1,20.2,164.7
2021,2,7.6,161.8
2021,3,16.7,162.1
2021,4,31.1,158.3
2021,5,107.8,154.4
2021,6,182.4,152.5
2021,7,266.2,150.4
2021,8,196.3,156.9
2021,9,229.6,163.0
2021,10,100.8,167.5
2021,11,56.5,168.3
2021,12,20.5,163.0
2022,1,39.5,162.3
2022,2,19.1,160.3
2022,3,8.9,160.8
2022,4,38.2,161.6
2022,5,83.2,163.2
2022,6,152.2,161.1
2022,7,327.2,157.1
2022,8,264.0,154.9
2022,9,181.4,155.1
2022,10,111.8,154.1
2022,11,18.6,153.9
2022,12,13.6,153.5
2023,1,14.8,150.2
2023,2,7.2,152.4
2023,3,37.6,151.8
2023,4,41.4,154.8
2023,5,67.5,150.4
2023,6,151.2,146.7
2023,7,315.9,145.4
2023,8,162.7,145.7
2023,9,190.0,146.3
2023,10,50.8,147.0
2023,11,34.6,148.0
2023,12,25.5,150.0
2024,1,7.2,148.3
2024,2,19.6,145.8
2024,3,28.5,144.2
2024,4,31.4,149.6
2024,5,66.0,154.1
2024,6,147.2,159.2
2024,7,305.8,163.5
2024,8,293.9,164.1
2024,9,187.3,164.1
2024,10,75.7,169.0
2024,11,13.6,170.8
2024,12,28.1,170.9
