Year,Month,Rainfall,WPI
2012,4,47.5,91.8
2012,5,31.7,88.4
2012,6,117.8,87.6
2012,7,250.2,91.3
2012,8,262.4,95.9
2012,9,193.5,96.5
2012,10,58.7,95.4
2012,11,30.7,91.8
2012,12,11.7,93.8
2013,1,11.3,94.0
2013,2,40.1,93.4
2013,3,15.7,94.5
2013,4,30.4,95.0
2013,5,57.8,93.3
2013,6,219.8,93.3
2013,7,310.0,92.8
2013,8,254.7,93.1
2013,9,152.7,94.3
2013,10,129.4,93.5
2013,11,14.0,96.6
2013,12,6.7,103.5
2014,1,19.2,102.9
2014,2,27.4,103.8
2014,3,36.1,104.2
2014,4,22.2,102.8
2014,5,72.9,100.4
2014,6,95.4,104.6
2014,7,261.2,105.4
2014,8,237.5,102.2
2014,9,188.0,104.1
2014,10,60.2,103.6
2014,11,14.4,107.0
2014,12,10.7,108.3
2015,1,17.4,104.6
2015,2,21.0,101.7
2015,3,62.0,95.8
2015,4,69.4,95.4
2015,5,53.8,97.6
2015,6,192.8,97.9
2015,7,242.4,101.4
2015,8,205.2,100.3
2015,9,131.8,103.5
2015,10,42.9,102.1
2015,11,39.4,101.0
2015,12,15.0,98.0
2016,1,19.3,94.6
2016,2,22.8,89.6
2016,3,27.6,87.7
2016,4,37.4,89.7
2016,5,62.6,90.5
2016,6,168.3,90.6
2016,7,289.1,93.4
2016,8,256.3,95.2
2016,9,171.9,97.8
2016,10,76.1,98.2
2016,11,29.7,98.5
2016,12,14.9,98.5
2017,1,19.0,98.8
2017,2,22.6,99.6
2017,3,27.8,100.3
2017,4,37.9,104.4
2017,5,62.4,103.9
2017,6,168.1,104.7
2017,7,289.3,106.9
2017,8,256.2,108.0
2017,9,171.5,108.6
2017,10,76.3,108.6
2017,11,29.9,108.1
2017,12,15.0,109.7
2018,1,19.2,106.7
2018,2,20.1,105.9
2018,3,27.1,106.0
2018,4,40.2,104.4
2018,5,62.7,103.2
2018,6,165.0,103.7
2018,7,286.3,107.8
2018,8,254.3,109.3
2018,9,171.9,110.0
2018,10,77.2,116.0
2018,11,28.1,120.7
2018,12,14.1,118.8
2019,1,18.5,118.2
2019,2,33.1,118.9
2019,3,18.7,121.1
2019,4,31.5,124.7
2019,5,51.3,126.4
2019,6,113.5,124.6
2019,7,298.8,125.2
2019,8,299.9,125.7
2019,9,259.5,118.0
2019,10,110.1,110.6
2019,11,31.6,110.8
2019,12,19.2,110.7
2020,1,28.3,107.5
2020,2,12.1,105.5
2020,3,44.7,105.7
2020,4,42.7,106.9
2020,5,71.8,102.9
2020,6,195.6,103.5
2020,7,257.1,105.8
2020,8,327.8,107.7
2020,9,178.0,108.6
2020,10,78.3,113.2
2020,11,29.2,115.3
2020,12,17.0,114.3
2021,1,20.2,116.6
2021,2,7.6,118.9
2021,3,16.7,118.1
2021,4,31.1,126.4
2021,5,107.8,125.7
2021,6,182.4,129.4
2021,7,266.2,132.6
2021,8,196.3,141.4
2021,9,229.6,141.0
2021,10,100.8,146.1
2021,11,56.5,145.4
2021,12,20.5,142.0
2022,1,39.5,144.9
2022,2,19.1,150.2
2022,3,8.9,154.2
2022,4,38.2,162.5
2022,5,83.2,170.0
2022,6,152.2,170.8
2022,7,327.2,169.3
2022,8,264.0,168.4
2022,9,181.4,168.5
2022,10,111.8,168.2
2022,11,18.6,163.8
2022,12,13.6,165.3
2023,1,14.8,165.5
2023,2,7.2,160.0
2023,3,37.6,155.4
2023,4,41.4,152.0
2023,5,67.5,147.3
2023,6,151.2,147.9
2023,7,315.9,150.5
2023,8,162.7,150.5
2023,9,190.0,152.3
2023,10,50.8,151.3
2023,11,34.6,149.9
2023,12,25.5,149.8
2024,1,7.2,149.0
2024,2,19.6,149.1
2024,3,28.5,149.6
2024,4,31.4,147.0
2024,5,66.0,148.8
2024,6,147.2,148.2
2024,7,305.8,151.9
2024,8,293.9,151.6
2024,9,187.3,153.8
2024,10,75.7,153.7
2024,11,13.6,156.4
2024,12,28.1,155.0
