Year,Month,Rainfall,WPI
2012,4,47.5,81.9
2012,5,31.7,78.9
2012,6,117.8,79.7
2012,7,250.2,87.6
2012,8,262.4,96.1
2012,9,193.5,88.7
2012,10,58.7,85.7
2012,11,30.7,85.1
2012,12,11.7,87.1
2013,1,11.3,83.7
2013,2,40.1,81.6
2013,3,15.7,80.7
2013,4,30.4,80.8
2013,5,57.8,79.3
2013,6,219.8,80.1
2013,7,310.0,80.3
2013,8,254.7,83.0
2013,9,152.7,81.9
2013,10,129.4,80.7
2013,11,14.0,84.2
2013,12,6.7,96.6
2014,1,19.2,93.0
2014,2,27.4,90.9
2014,3,36.1,90.7
2014,4,22.2,88.9
2014,5,72.9,87.7
2014,6,95.4,93.0
2014,7,261.2,94.2
2014,8,237.5,96.7
2014,9,188.0,95.8
2014,10,60.2,98.6
2014,11,14.4,100.5
2014,12,10.7,100.6
2015,1,17.4,94.9
2015,2,21.0,88.6
2015,3,62.0,86.5
2015,4,69.4,87.1
2015,5,53.8,92.7
2015,6,192.8,94.4
2015,7,242.4,94.1
2015,8,205.2,94.9
2015,9,131.8,97.0
2015,10,42.9,96.2
2015,11,39.4,93.2
2015,12,15.0,89.0
2016,1,19.3,79.9
2016,2,22.8,78.2
2016,3,27.6,77.8
2016,4,37.4,78.9
2016,5,62.6,78.4
2016,6,168.3,78.4
2016,7,289.1,83.6
2016,8,256.3,83.7
2016,9,171.9,85.4
2016,10,76.1,84.6
2016,11,29.7,84.7
2016,12,14.9,85.7
2017,1,19.0,87.9
2017,2,22.6,88.6
2017,3,27.8,100.5
2017,4,37.9,109.3
2017,5,62.4,105.6
2017,6,168.1,102.0
2017,7,289.3,102.6
2017,8,256.2,105.4
2017,9,171.5,106.6
2017,10,76.3,104.9
2017,11,29.9,101.6
2017,12,15.0,103.4
2018,1,19.2,97.9
2018,2,20.1,99.2
2018,3,27.1,98.4
2018,4,40.2,96.7
2018,5,62.7,95.2
2018,6,165.0,96.2
2018,7,286.3,102.5
2018,8,254.3,106.8
2018,9,171.9,107.0
2018,10,77.2,112.5
2018,11,28.1,127.1
2018,12,14.1,123.8
2019,1,18.5,121.8
2019,2,33.1,121.4
2019,3,18.7,122.8
2019,4,31.5,129.6
2019,5,51.3,129.9
2019,6,113.5,127.4
2019,7,298.8,128.0
2019,8,299.9,128.1
2019,9,259.5,128.1
2019,10,110.1,108.9
2019,11,31.6,104.2
2019,12,19.2,102.1
2020,1,28.3,101.5
2020,2,12.1,98.7
2020,3,44.7,97.7
2020,4,42.7,96.8
2020,5,71.8,95.4
2020,6,195.6,98.0
2020,7,257.1,100.6
2020,8,327.8,100.6
2020,9,178.0,101.3
2020,10,78.3,104.6
2020,11,29.2,109.6
2020,12,17.0,107.4
2021,1,20.2,107.5
2021,2,7.6,106.6
2021,3,16.7,109.8
2021,4,31.1,114.9
2021,5,107.8,116.9
2021,6,182.4,116.5
2021,7,266.2,118.4
2021,8,196.3,120.3
2021,9,229.6,126.0
2021,10,100.8,126.2
2021,11,56.5,129.4
2021,12,20.5,126.7
2022,1,39.5,124.6
2022,2,19.1,133.8
2022,3,8.9,138.8
2022,4,38.2,137.1
2022,5,83.2,139.7
2022,6,152.2,140.9
2022,7,327.2,139.6
2022,8,264.0,139.0
2022,9,181.4,138.8
2022,10,111.8,137.1
2022,11,18.6,138.8
2022,12,13.6,136.5
2023,1,14.8,134.8
2023,2,7.2,129.4
2023,3,37.6,120.3
2023,4,41.4,115.9
2023,5,67.5,110.8
2023,6,151.2,106.5
2023,7,315.9,115.3
2023,8,162.7,118.5
2023,9,190.0,116.3
2023,10,50.8,112.4
2023,11,34.6,110.1
2023,12,25.5,110.5
2024,1,7.2,108.9
2024,2,19.6,108.4
2024,3,28.5,111.2
2024,4,31.4,108.6
2024,5,66.0,105.7
2024,6,147.2,107.2
2024,7,305.8,112.5
2024,8,293.9,114.5
2024,9,187.3,117.7
2024,10,75.7,123.7
2024,11,13.6,121.2
2024,12,28.1,118.5
