Year,Month,Rainfall,WPI
2012,4,47.5,119.1
2012,5,31.7,0.0
2012,6,117.8,0.0
2012,7,250.2,0.0
2012,8,262.4,0.0
2012,9,193.5,134.6
2012,10,58.7,129.4
2012,11,30.7,101.7
2012,12,11.7,92.6
2013,1,11.3,103.1
2013,2,40.1,99.6
2013,3,15.7,103.6
2013,4,30.4,109.0
2013,5,57.8,0.0
2013,6,219.8,0.0
2013,7,310.0,0.0
2013,8,254.7,0.0
2013,9,152.7,146.4
2013,10,129.4,162.9
2013,11,14.0,178.3
2013,12,6.7,119.0
2014,1,19.2,99.6
2014,2,27.4,91.7
2014,3,36.1,97.9
2014,4,22.2,105.8
2014,5,72.9,0.0
2014,6,95.4,0.0
2014,7,261.2,0.0
2014,8,237.5,0.0
2014,9,188.0,162.0
2014,10,60.2,148.3
2014,11,14.4,129.7
2014,12,10.7,119.7
2015,1,17.4,110.7
2015,2,21.0,102.0
2015,3,62.0,102.7
2015,4,69.4,101.6
2015,5,53.8,0.0
2015,6,192.8,0.0
2015,7,242.4,0.0
2015,8,205.2,0.0
2015,9,131.8,123.6
2015,10,42.9,121.0
2015,11,39.4,122.0
2015,12,15.0,126.1
2016,1,19.3,111.9
2016,2,22.8,93.5
2016,3,27.6,87.5
2016,4,37.4,90.4
2016,5,62.6,0.0
2016,6,168.3,0.0
2016,7,289.1,0.0
2016,8,256.3,0.0
2016,9,171.9,154.1
2016,10,76.1,171.3
2016,11,29.7,145.4
2016,12,14.9,110.4
2017,1,19.0,88.0
2017,2,22.6,80.8
2017,3,27.8,104.8
2017,4,37.9,115.2
2017,5,62.4,0.0
2017,6,168.1,0.0
2017,7,289.3,0.0
2017,8,256.2,0.0
2017,9,171.5,118.8
2017,10,76.3,142.2
2017,11,29.9,141.5
2017,12,15.0,106.2
2018,1,19.2,92.0
2018,2,20.1,76.6
2018,3,27.1,68.5
2018,4,40.2,80.8
2018,5,62.7,0.0
2018,6,165.0,0.0
2018,7,286.3,0.0
2018,8,254.3,0.0
2018,9,171.9,174.9
2018,10,77.2,178.5
2018,11,28.1,161.0
2018,12,14.1,132.3
2019,1,18.5,130.5
2019,2,33.1,114.0
2019,3,18.7,149.2
2019,4,31.5,178.9
2019,5,51.3,0.0
2019,6,113.5,0.0
2019,7,298.8,0.0
2019,8,299.9,0.0
2019,9,259.5,191.1
2019,10,110.1,227.7
2019,11,31.6,246.1
2019,12,19.2,196.6
2020,1,28.3,198.3
2020,2,12.1,154.7
2020,3,44.7,142.9
2020,4,42.7,160.7
2020,5,71.8,0.0
2020,6,195.6,0.0
2020,7,257.1,0.0
2020,8,327.8,0.0
2020,9,178.0,226.4
2020,10,78.3,239.6
2020,11,29.2,215.1
2020,12,17.0,162.2
2021,1,20.2,141.1
2021,2,7.6,137.3
2021,3,16.7,139.1
2021,4,31.1,159.7
2021,5,107.8,0.0
2021,6,182.4,0.0
2021,7,266.2,0.0
2021,8,196.3,0.0
2021,9,229.6,231.2
2021,10,100.8,250.1
2021,11,56.5,293.1
2021,12,20.5,282.0
2022,1,39.5,245.7
2022,2,19.1,208.7
2022,3,8.9,184.5
2022,4,38.2,209.2
2022,5,83.2,0.0
2022,6,152.2,0.0
2022,7,327.2,0.0
2022,8,264.0,0.0
2022,9,181.4,291.7
2022,10,111.8,329.0
2022,11,18.6,234.2
2022,12,13.6,164.3
2023,1,14.8,161.1
2023,2,7.2,148.4
2023,3,37.6,163.5
2023,4,41.4,176.9
2023,5,67.5,0.0
2023,6,151.2,0.0
2023,7,315.9,0.0
2023,8,162.7,0.0
2023,9,190.0,230.3
2023,10,50.8,244.6
2023,11,34.6,207.1
2023,12,25.5,187.3
2024,1,7.2,177.8
2024,2,19.6,171.2
2024,3,28.5,188.3
2024,4,31.4,230.0
2024,5,66.0,0.0
2024,6,147.2,0.0
2024,7,305.8,0.0
2024,8,293.9,0.0
2024,9,187.3,305.8
2024,10,75.7,350.7
2024,11,13.6,262.0
2024,12,28.1,209.1
