Year,Month,Rainfall,WPI
2012,4,47.5,85.0
2012,5,31.7,80.2
2012,6,117.8,79.9
2012,7,250.2,82.0
2012,8,262.4,84.3
2012,9,193.5,81.2
2012,10,58.7,80.6
2012,11,30.7,81.9
2012,12,11.7,83.8
2013,1,11.3,85.4
2013,2,40.1,89.3
2013,3,15.7,89.7
2013,4,30.4,89.4
2013,5,57.8,87.4
2013,6,219.8,86.0
2013,7,310.0,88.0
2013,8,254.7,90.6
2013,9,152.7,92.3
2013,10,129.4,93.1
2013,11,14.0,97.6
2013,12,6.7,102.0
2014,1,19.2,103.7
2014,2,27.4,104.3
2014,3,36.1,98.3
2014,4,22.2,95.1
2014,5,72.9,94.5
2014,6,95.4,102.6
2014,7,261.2,108.4
2014,8,237.5,106.9
2014,9,188.0,110.0
2014,10,60.2,111.7
2014,11,14.4,113.4
2014,12,10.7,119.0
2015,1,17.4,116.3
2015,2,21.0,115.4
2015,3,62.0,114.4
2015,4,69.4,115.1
2015,5,53.8,119.3
2015,6,192.8,120.3
2015,7,242.4,123.3
2015,8,205.2,120.7
2015,9,131.8,127.3
2015,10,42.9,132.7
2015,11,39.4,140.5
2015,12,15.0,140.6
2016,1,19.3,138.7
2016,2,22.8,143.2
2016,3,27.6,142.6
2016,4,37.4,147.1
2016,5,62.6,146.5
2016,6,168.3,142.9
2016,7,289.1,139.4
2016,8,256.3,140.5
2016,9,171.9,139.0
2016,10,76.1,137.4
2016,11,29.7,136.3
2016,12,14.9,133.1
2017,1,19.0,132.0
2017,2,22.6,120.8
2017,3,27.8,113.5
2017,4,37.9,108.6
2017,5,62.4,101.8
2017,6,168.1,100.1
2017,7,289.3,102.7
2017,8,256.2,106.9
2017,9,171.5,107.2
2017,10,76.3,109.0
2017,11,29.9,114.0
2017,12,15.0,116.7
2018,1,19.2,120.8
2018,2,20.1,125.8
2018,3,27.1,125.4
2018,4,40.2,125.1
2018,5,62.7,131.5
2018,6,165.0,135.6
2018,7,286.3,135.3
2018,8,254.3,134.7
2018,9,171.9,132.6
2018,10,77.2,128.5
2018,11,28.1,125.0
2018,12,14.1,120.1
2019,1,18.5,119.3
2019,2,33.1,117.4
2019,3,18.7,115.1
2019,4,31.5,113.9
2019,5,51.3,120.6
2019,6,113.5,123.3
2019,7,298.8,127.2
2019,8,299.9,134.4
2019,9,259.5,143.7
2019,10,110.1,147.7
2019,11,31.6,155.4
2019,12,19.2,158.9
2020,1,28.3,171.9
2020,2,12.1,159.4
2020,3,44.7,162.0
2020,4,42.7,163.3
2020,5,71.8,164.3
2020,6,195.6,158.1
2020,7,257.1,147.0
2020,8,327.8,136.2
2020,9,178.0,149.7
2020,10,78.3,164.3
2020,11,29.2,168.6
2020,12,17.0,161.2
2021,1,20.2,162.4
2021,2,7.6,159.2
2021,3,16.7,160.0
2021,4,31.1,156.8
2021,5,107.8,156.5
2021,6,182.4,153.5
2021,7,266.2,153.3
2021,8,196.3,154.7
2021,9,229.6,162.3
2021,10,100.8,158.8
2021,11,56.5,157.6
2021,12,20.5,170.5
2022,1,39.5,183.1
2022,2,19.1,188.6
2022,3,8.9,199.5
2022,4,38.2,197.4
2022,5,83.2,207.4
2022,6,152.2,209.6
2022,7,327.2,224.2
2022,8,264.0,235.0
2022,9,181.4,249.8
2022,10,111.8,248.5
2022,11,18.6,258.2
2022,12,13.6,250.2
2023,1,14.8,249.4
2023,2,7.2,235.5
2023,3,37.6,235.7
2023,4,41.4,240.5
2023,5,67.5,238.7
2023,6,151.2,238.8
2023,7,315.9,244.4
2023,8,162.7,244.5
2023,9,190.0,242.9
2023,10,50.8,238.3
2023,11,34.6,232.7
2023,12,25.5,221.0
2024,1,7.2,208.7
2024,2,19.6,203.3
2024,3,28.5,201.2
2024,4,31.4,184.8
2024,5,66.0,178.3
2024,6,147.2,189.2
2024,7,305.8,199.2
2024,8,293.9,191.8
2024,9,187.3,192.3
2024,10,75.7,197.2
2024,11,13.6,187.8
2024,12,28.1,170.3
