Year,Month,Rainfall,WPI
2012,4,47.5,106.8
2012,5,31.7,109.2
2012,6,117.8,107.2
2012,7,250.2,108.7
2012,8,262.4,108.2
2012,9,193.5,109.0
2012,10,58.7,110.0
2012,11,30.7,110.3
2012,12,11.7,111.4
2013,1,11.3,112.8
2013,2,40.1,114.6
2013,3,15.7,120.8
2013,4,30.4,113.9
2013,5,57.8,113.8
2013,6,219.8,115.4
2013,7,310.0,116.1
2013,8,254.7,116.6
2013,9,152.7,112.5
2013,10,129.4,112.9
2013,11,14.0,114.1
2013,12,6.7,118.8
2014,1,19.2,117.6
2014,2,27.4,117.3
2014,3,36.1,119.1
2014,4,22.2,121.7
2014,5,72.9,124.8
2014,6,95.4,123.1
2014,7,261.2,126.5
2014,8,237.5,134.8
2014,9,188.0,132.9
2014,10,60.2,135.7
2014,11,14.4,136.5
2014,12,10.7,135.8
2015,1,17.4,138.3
2015,2,21.0,143.3
2015,3,62.0,146.6
2015,4,69.4,148.7
2015,5,53.8,150.0
2015,6,192.8,149.6
2015,7,242.4,147.5
2015,8,205.2,150.7
2015,9,131.8,145.9
2015,10,42.9,150.0
2015,11,39.4,150.2
2015,12,15.0,154.5
2016,1,19.3,149.2
2016,2,22.8,153.0
2016,3,27.6,155.6
2016,4,37.4,163.0
2016,5,62.6,160.1
2016,6,168.3,155.4
2016,7,289.1,157.5
2016,8,256.3,162.6
2016,9,171.9,161.3
2016,10,76.1,157.6
2016,11,29.7,161.3
2016,12,14.9,160.8
2017,1,19.0,162.3
2017,2,22.6,155.3
2017,3,27.8,155.9
2017,4,37.9,155.3
2017,5,62.4,149.9
2017,6,168.1,152.7
2017,7,289.3,149.7
2017,8,256.2,151.1
2017,9,171.5,159.0
2017,10,76.3,155.3
2017,11,29.9,148.6
2017,12,15.0,152.4
2018,1,19.2,153.0
2018,2,20.1,153.6
2018,3,27.1,152.8
2018,4,40.2,155.1
2018,5,62.7,156.5
2018,6,165.0,156.7
2018,7,286.3,158.4
2018,8,254.3,157.2
2018,9,171.9,157.8
2018,10,77.2,157.2
2018,11,28.1,157.0
2018,12,14.1,156.5
2019,1,18.5,160.6
2019,2,33.1,165.4
2019,3,18.7,165.6
2019,4,31.5,166.0
2019,5,51.3,169.2
2019,6,113.5,173.2
2019,7,298.8,164.3
2019,8,299.9,170.6
2019,9,259.5,169.9
2019,10,110.1,169.1
2019,11,31.6,166.8
2019,12,19.2,166.4
2020,1,28.3,166.7
2020,2,12.1,174.1
2020,3,44.7,171.4
2020,4,42.7,176.2
2020,5,71.8,187.3
2020,6,195.6,180.5
2020,7,257.1,179.7
2020,8,327.8,171.8
2020,9,178.0,174.1
2020,10,78.3,174.4
2020,11,29.2,172.6
2020,12,17.0,172.8
2021,1,20.2,171.7
2021,2,7.6,174.9
2021,3,16.7,173.3
2021,4,31.1,175.8
2021,5,107.8,176.3
2021,6,182.4,172.2
2021,7,266.2,178.5
2021,8,196.3,175.7
2021,9,229.6,176.5
2021,10,100.8,175.0
2021,11,56.5,172.8
2021,12,20.5,175.6
2022,1,39.5,173.0
2022,2,19.1,173.0
2022,3,8.9,175.9
2022,4,38.2,176.1
2022,5,83.2,173.4
2022,6,152.2,173.8
2022,7,327.2,175.1
2022,8,264.0,174.3
2022,9,181.4,173.3
2022,10,111.8,172.0
2022,11,18.6,171.8
2022,12,13.6,174.8
2023,1,14.8,173.4
2023,2,7.2,175.7
2023,3,37.6,182.8
2023,4,41.4,184.4
2023,5,67.5,185.0
2023,6,151.2,184.2
2023,7,315.9,182.5
2023,8,162.7,181.9
2023,9,190.0,183.4
2023,10,50.8,184.1
2023,11,34.6,185.1
2023,12,25.5,181.8
2024,1,7.2,182.0
2024,2,19.6,183.5
2024,3,28.5,183.5
2024,4,31.4,184.9
2024,5,66.0,184.2
2024,6,147.2,184.8
2024,7,305.8,187.1
2024,8,293.9,184.3
2024,9,187.3,188.1
2024,10,75.7,188.1
2024,11,13.6,185.7
2024,12,28.1,188.3
