Year,Month,Rainfall,WPI
2012,4,47.5,95.2
2012,5,31.7,93.5
2012,6,117.8,94.4
2012,7,250.2,96.2
2012,8,262.4,95.8
2012,9,193.5,93.7
2012,10,58.7,94.8
2012,11,30.7,93.7
2012,12,11.7,98.2
2013,1,11.3,109.6
2013,2,40.1,110.9
2013,3,15.7,112.4
2013,4,30.4,106.4
2013,5,57.8,109.6
2013,6,219.8,108.5
2013,7,310.0,107.0
2013,8,254.7,112.6
2013,9,152.7,112.8
2013,10,129.4,122.8
2013,11,14.0,128.0
2013,12,6.7,126.0
2014,1,19.2,130.5
2014,2,27.4,134.3
2014,3,36.1,141.6
2014,4,22.2,149.3
2014,5,72.9,160.6
2014,6,95.4,160.6
2014,7,261.2,162.4
2014,8,237.5,168.2
2014,9,188.0,174.5
2014,10,60.2,171.6
2014,11,14.4,174.2
2014,12,10.7,170.1
2015,1,17.4,175.0
2015,2,21.0,177.7
2015,3,62.0,183.2
2015,4,69.4,189.9
2015,5,53.8,186.8
2015,6,192.8,187.7
2015,7,242.4,177.0
2015,8,205.2,178.3
2015,9,131.8,184.0
2015,10,42.9,184.1
2015,11,39.4,179.8
2015,12,15.0,178.1
2016,1,19.3,173.7
2016,2,22.8,161.5
2016,3,27.6,159.9
2016,4,37.4,157.8
2016,5,62.6,155.6
2016,6,168.3,149.9
2016,7,289.1,138.7
2016,8,256.3,141.6
2016,9,171.9,139.0
2016,10,76.1,142.9
2016,11,29.7,141.2
2016,12,14.9,143.4
2017,1,19.0,151.7
2017,2,22.6,159.8
2017,3,27.8,161.8
2017,4,37.9,175.4
2017,5,62.4,184.2
2017,6,168.1,183.2
2017,7,289.3,181.4
2017,8,256.2,193.4
2017,9,171.5,207.1
2017,10,76.3,206.1
2017,11,29.9,208.6
2017,12,15.0,222.4
2018,1,19.2,230.0
2018,2,20.1,229.9
2018,3,27.1,222.6
2018,4,40.2,224.2
2018,5,62.7,233.3
2018,6,165.0,223.4
2018,7,286.3,221.1
2018,8,254.3,222.2
2018,9,171.9,223.5
2018,10,77.2,214.2
2018,11,28.1,200.7
2018,12,14.1,205.7
2019,1,18.5,217.1
2019,2,33.1,216.9
2019,3,18.7,212.1
2019,4,31.5,205.1
2019,5,51.3,206.7
2019,6,113.5,205.8
2019,7,298.8,206.5
2019,8,299.9,206.7
2019,9,259.5,207.8
2019,10,110.1,204.4
2019,11,31.6,210.1
2019,12,19.2,207.3
2020,1,28.3,210.7
2020,2,12.1,220.1
2020,3,44.7,221.9
2020,4,42.7,219.4
2020,5,71.8,207.8
2020,6,195.6,210.5
2020,7,257.1,215.1
2020,8,327.8,207.9
2020,9,178.0,213.8
2020,10,78.3,231.3
2020,11,29.2,232.2
2020,12,17.0,240.6
2021,1,20.2,240.4
2021,2,7.6,237.3
2021,3,16.7,237.5
2021,4,31.1,245.0
2021,5,107.8,257.1
2021,6,182.4,261.1
2021,7,266.2,262.3
2021,8,196.3,252.8
2021,9,229.6,316.9
2021,10,100.8,315.3
2021,11,56.5,299.7
2021,12,20.5,294.4
2022,1,39.5,290.7
2022,2,19.1,286.0
2022,3,8.9,283.9
2022,4,38.2,301.5
2022,5,83.2,238.6
2022,6,152.2,233.7
2022,7,327.2,229.2
2022,8,264.0,234.3
2022,9,181.4,231.9
2022,10,111.8,236.0
2022,11,18.6,243.7
2022,12,13.6,245.1
2023,1,14.8,252.0
2023,2,7.2,246.4
2023,3,37.6,245.4
2023,4,41.4,239.9
2023,5,67.5,237.9
2023,6,151.2,234.1
2023,7,315.9,227.9
2023,8,162.7,229.8
2023,9,190.0,229.1
2023,10,50.8,236.5
2023,11,34.6,238.9
2023,12,25.5,239.8
2024,1,7.2,240.4
2024,2,19.6,240.3
2024,3,28.5,245.5
2024,4,31.4,249.1
2024,5,66.0,246.8
2024,6,147.2,245.3
2024,7,305.8,247.0
2024,8,293.9,251.7
2024,9,187.3,264.8
2024,10,75.7,285.7
2024,11,13.6,296.9
2024,12,28.1,293.5
