Year,Month,Rainfall,WPI
2012,4,47.5,92.6
2012,5,31.7,93.6
2012,6,117.8,95.8
2012,7,250.2,97.6
2012,8,262.4,107.1
2012,9,193.5,109.2
2012,10,58.7,100.9
2012,11,30.7,98.1
2012,12,11.7,97.0
2013,1,11.3,90.5
2013,2,40.1,91.5
2013,3,15.7,90.0
2013,4,30.4,91.5
2013,5,57.8,89.9
2013,6,219.8,88.3
2013,7,310.0,88.3
2013,8,254.7,88.3
2013,9,152.7,90.6
2013,10,129.4,88.1
2013,11,14.0,83.7
2013,12,6.7,84.4
2014,1,19.2,84.9
2014,2,27.4,84.9
2014,3,36.1,97.1
2014,4,22.2,107.8
2014,5,72.9,107.8
2014,6,95.4,111.0
2014,7,261.2,112.4
2014,8,237.5,114.2
2014,9,188.0,115.5
2014,10,60.2,118.1
2014,11,14.4,116.1
2014,12,10.7,112.4
2015,1,17.4,111.9
2015,2,21.0,108.9
2015,3,62.0,108.4
2015,4,69.4,110.5
2015,5,53.8,109.5
2015,6,192.8,109.9
2015,7,242.4,109.9
2015,8,205.2,108.3
2015,9,131.8,107.8
2015,10,42.9,107.8
2015,11,39.4,105.4
2015,12,15.0,104.0
2016,1,19.3,102.8
2016,2,22.8,102.8
2016,3,27.6,100.4
2016,4,37.4,95.9
2016,5,62.6,93.1
2016,6,168.3,94.8
2016,7,289.1,94.6
2016,8,256.3,96.2
2016,9,171.9,97.2
2016,10,76.1,102.1
2016,11,29.7,104.6
2016,12,14.9,102.7
2017,1,19.0,103.9
2017,2,22.6,104.3
2017,3,27.8,104.0
2017,4,37.9,103.7
2017,5,62.4,102.5
2017,6,168.1,102.3
2017,7,289.3,99.3
2017,8,256.2,99.1
2017,9,171.5,98.8
2017,10,76.3,96.1
2017,11,29.9,95.2
2017,12,15.0,95.5
2018,1,19.2,97.0
2018,2,20.1,96.1
2018,3,27.1,93.3
2018,4,40.2,92.0
2018,5,62.7,89.9
2018,6,165.0,90.8
2018,7,286.3,91.7
2018,8,254.3,92.6
2018,9,171.9,92.6
2018,10,77.2,94.1
2018,11,28.1,95.6
2018,12,14.1,97.3
2019,1,18.5,97.3
2019,2,33.1,97.3
2019,3,18.7,97.3
2019,4,31.5,97.3
2019,5,51.3,97.3
2019,6,113.5,97.3
2019,7,298.8,97.3
2019,8,299.9,97.3
2019,9,259.5,97.3
2019,10,110.1,94.6
2019,11,31.6,93.6
2019,12,19.2,95.1
2020,1,28.3,95.1
2020,2,12.1,95.1
2020,3,44.7,103.5
2020,4,42.7,105.0
2020,5,71.8,105.0
2020,6,195.6,105.6
2020,7,257.1,103.9
2020,8,327.8,103.6
2020,9,178.0,103.3
2020,10,78.3,108.0
2020,11,29.2,104.5
2020,12,17.0,102.6
2021,1,20.2,98.7
2021,2,7.6,95.0
2021,3,16.7,94.7
2021,4,31.1,94.7
2021,5,107.8,101.5
2021,6,182.4,103.8
2021,7,266.2,103.8
2021,8,196.3,118.2
2021,9,229.6,118.2
2021,10,100.8,120.2
2021,11,56.5,124.6
2021,12,20.5,128.6
2022,1,39.5,134.6
2022,2,19.1,138.3
2022,3,8.9,141.9
2022,4,38.2,148.8
2022,5,83.2,151.8
2022,6,152.2,154.1
2022,7,327.2,156.2
2022,8,264.0,155.6
2022,9,181.4,156.7
2022,10,111.8,152.8
2022,11,18.6,155.3
2022,12,13.6,154.1
2023,1,14.8,143.6
2023,2,7.2,143.2
2023,3,37.6,145.7
2023,4,41.4,145.7
2023,5,67.5,145.7
2023,6,151.2,155.8
2023,7,315.9,154.5
2023,8,162.7,149.8
2023,9,190.0,154.4
2023,10,50.8,148.9
2023,11,34.6,137.2
2023,12,25.5,133.6
2024,1,7.2,159.7
2024,2,19.6,162.8
2024,3,28.5,175.7
2024,4,31.4,194.3
2024,5,66.0,196.7
2024,6,147.2,207.2
2024,7,305.8,195.3
2024,8,293.9,200.3
2024,9,187.3,200.3
2024,10,75.7,200.3
2024,11,13.6,217.0
2024,12,28.1,225.2
