Year,Month,Rainfall,WPI
2012,4,47.5,84.3
2012,5,31.7,79.5
2012,6,117.8,80.2
2012,7,250.2,78.8
2012,8,262.4,78.1
2012,9,193.5,79.3
2012,10,58.7,78.3
2012,11,30.7,79.3
2012,12,11.7,82.1
2013,1,11.3,85.5
2013,2,40.1,82.5
2013,3,15.7,81.5
2013,4,30.4,81.0
2013,5,57.8,79.7
2013,6,219.8,83.5
2013,7,310.0,85.3
2013,8,254.7,91.7
2013,9,152.7,94.8
2013,10,129.4,109.6
2013,11,14.0,112.4
2013,12,6.7,112.8
2014,1,19.2,116.8
2014,2,27.4,121.6
2014,3,36.1,127.6
2014,4,22.2,141.8
2014,5,72.9,150.0
2014,6,95.4,147.9
2014,7,261.2,152.0
2014,8,237.5,172.1
2014,9,188.0,170.0
2014,10,60.2,160.9
2014,11,14.4,153.2
2014,12,10.7,148.5
2015,1,17.4,162.7
2015,2,21.0,161.9
2015,3,62.0,162.0
2015,4,69.4,161.9
2015,5,53.8,154.4
2015,6,192.8,145.5
2015,7,242.4,134.4
2015,8,205.2,143.8
2015,9,131.8,139.6
2015,10,42.9,135.1
2015,11,39.4,130.2
2015,12,15.0,118.7
2016,1,19.3,112.3
2016,2,22.8,109.7
2016,3,27.6,103.9
2016,4,37.4,103.9
2016,5,62.6,102.3
2016,6,168.3,100.6
2016,7,289.1,99.5
2016,8,256.3,105.2
2016,9,171.9,107.6
2016,10,76.1,109.1
2016,11,29.7,110.0
2016,12,14.9,114.6
2017,1,19.0,121.6
2017,2,22.6,130.3
2017,3,27.8,128.3
2017,4,37.9,134.6
2017,5,62.4,132.1
2017,6,168.1,145.8
2017,7,289.3,152.0
2017,8,256.2,168.5
2017,9,171.5,188.6
2017,10,76.3,189.8
2017,11,29.9,195.4
2017,12,15.0,210.1
2018,1,19.2,215.5
2018,2,20.1,214.4
2018,3,27.1,209.4
2018,4,40.2,215.3
2018,5,62.7,226.1
2018,6,165.0,222.2
2018,7,286.3,218.1
2018,8,254.3,218.7
2018,9,171.9,212.2
2018,10,77.2,199.0
2018,11,28.1,191.2
2018,12,14.1,198.3
2019,1,18.5,209.6
2019,2,33.1,206.7
2019,3,18.7,204.2
2019,4,31.5,198.6
2019,5,51.3,192.3
2019,6,113.5,187.3
2019,7,298.8,186.6
2019,8,299.9,190.8
2019,9,259.5,191.2
2019,10,110.1,191.2
2019,11,31.6,189.1
2019,12,19.2,186.4
2020,1,28.3,186.0
2020,2,12.1,186.3
2020,3,44.7,184.1
2020,4,42.7,184.2
2020,5,71.8,181.4
2020,6,195.6,179.1
2020,7,257.1,180.7
2020,8,327.8,184.7
2020,9,178.0,187.8
2020,10,78.3,192.4
2020,11,29.2,195.9
2020,12,17.0,205.9
2021,1,20.2,206.4
2021,2,7.6,210.2
2021,3,16.7,219.6
2021,4,31.1,218.5
2021,5,107.8,215.2
2021,6,182.4,217.2
2021,7,266.2,211.5
2021,8,196.3,209.0
2021,9,229.6,208.4
2021,10,100.8,207.3
2021,11,56.5,206.5
2021,12,20.5,206.9
2022,1,39.5,205.7
2022,2,19.1,204.9
2022,3,8.9,202.6
2022,4,38.2,200.0
2022,5,83.2,195.8
2022,6,152.2,185.8
2022,7,327.2,184.1
2022,8,264.0,183.5
2022,9,181.4,185.2
2022,10,111.8,183.2
2022,11,18.6,182.2
2022,12,13.6,180.6
2023,1,14.8,173.5
2023,2,7.2,167.9
2023,3,37.6,160.8
2023,4,41.4,159.8
2023,5,67.5,159.3
2023,6,151.2,148.2
2023,7,315.9,149.2
2023,8,162.7,154.3
2023,9,190.0,147.9
2023,10,50.8,150.1
2023,11,34.6,148.6
2023,12,25.5,148.5
2024,1,7.2,153.8
2024,2,19.6,158.4
2024,3,28.5,156.1
2024,4,31.4,155.3
2024,5,66.0,154.1
2024,6,147.2,156.1
2024,7,305.8,159.6
2024,8,293.9,170.9
2024,9,187.3,194.9
2024,10,75.7,209.3
2024,11,13.6,213.1
2024,12,28.1,221.5
