Year,Month,Rainfall,WPI
2012,4,47.5,100.0
2012,5,31.7,96.9
2012,6,117.8,92.1
2012,7,250.2,93.2
2012,8,262.4,89.9
2012,9,193.5,88.4
2012,10,58.7,87.0
2012,11,30.7,87.8
2012,12,11.7,89.0
2013,1,11.3,91.7
2013,2,40.1,92.5
2013,3,15.7,91.1
2013,4,30.4,90.6
2013,5,57.8,89.0
2013,6,219.8,89.7
2013,7,310.0,91.8
2013,8,254.7,98.5
2013,9,152.7,106.0
2013,10,129.4,111.6
2013,11,14.0,115.4
2013,12,6.7,116.4
2014,1,19.2,122.8
2014,2,27.4,128.6
2014,3,36.1,132.4
2014,4,22.2,145.0
2014,5,72.9,143.0
2014,6,95.4,150.4
2014,7,261.2,155.1
2014,8,237.5,159.8
2014,9,188.0,163.2
2014,10,60.2,162.8
2014,11,14.4,161.7
2014,12,10.7,156.4
2015,1,17.4,157.0
2015,2,21.0,155.7
2015,3,62.0,152.8
2015,4,69.4,150.0
2015,5,53.8,155.4
2015,6,192.8,148.5
2015,7,242.4,144.6
2015,8,205.2,143.9
2015,9,131.8,144.0
2015,10,42.9,138.0
2015,11,39.4,140.1
2015,12,15.0,139.9
2016,1,19.3,133.7
2016,2,22.8,133.1
2016,3,27.6,124.1
2016,4,37.4,123.1
2016,5,62.6,126.9
2016,6,168.3,124.6
2016,7,289.1,116.0
2016,8,256.3,120.7
2016,9,171.9,126.5
2016,10,76.1,126.8
2016,11,29.7,128.2
2016,12,14.9,134.9
2017,1,19.0,139.2
2017,2,22.6,142.9
2017,3,27.8,143.4
2017,4,37.9,142.6
2017,5,62.4,142.6
2017,6,168.1,143.9
2017,7,289.3,153.1
2017,8,256.2,156.4
2017,9,171.5,163.0
2017,10,76.3,163.4
2017,11,29.9,171.3
2017,12,15.0,182.6
2018,1,19.2,178.5
2018,2,20.1,176.3
2018,3,27.1,175.4
2018,4,40.2,180.0
2018,5,62.7,184.5
2018,6,165.0,182.8
2018,7,286.3,180.6
2018,8,254.3,180.9
2018,9,171.9,179.5
2018,10,77.2,180.9
2018,11,28.1,177.5
2018,12,14.1,180.4
2019,1,18.5,185.0
2019,2,33.1,185.1
2019,3,18.7,177.6
2019,4,31.5,172.1
2019,5,51.3,167.3
2019,6,113.5,164.4
2019,7,298.8,163.0
2019,8,299.9,164.0
2019,9,259.5,166.3
2019,10,110.1,168.4
2019,11,31.6,166.8
2019,12,19.2,169.0
2020,1,28.3,170.4
2020,2,12.1,166.6
2020,3,44.7,166.6
2020,4,42.7,167.7
2020,5,71.8,167.3
2020,6,195.6,168.0
2020,7,257.1,167.8
2020,8,327.8,173.8
2020,9,178.0,176.3
2020,10,78.3,180.3
2020,11,29.2,186.8
2020,12,17.0,189.4
2021,1,20.2,191.4
2021,2,7.6,194.5
2021,3,16.7,199.8
2021,4,31.1,199.8
2021,5,107.8,199.6
2021,6,182.4,201.3
2021,7,266.2,200.1
2021,8,196.3,193.0
2021,9,229.6,188.0
2021,10,100.8,187.1
2021,11,56.5,190.3
2021,12,20.5,188.7
2022,1,39.5,188.5
2022,2,19.1,189.8
2022,3,8.9,187.6
2022,4,38.2,186.7
2022,5,83.2,184.8
2022,6,152.2,174.2
2022,7,327.2,171.8
2022,8,264.0,170.1
2022,9,181.4,167.2
2022,10,111.8,165.9
2022,11,18.6,162.4
2022,12,13.6,164.5
2023,1,14.8,164.6
2023,2,7.2,162.0
2023,3,37.6,161.7
2023,4,41.4,157.3
2023,5,67.5,154.6
2023,6,151.2,151.7
2023,7,315.9,151.0
2023,8,162.7,145.3
2023,9,190.0,146.8
2023,10,50.8,147.7
2023,11,34.6,151.0
2023,12,25.5,152.2
2024,1,7.2,151.3
2024,2,19.6,151.9
2024,3,28.5,152.2
2024,4,31.4,154.2
2024,5,66.0,156.9
2024,6,147.2,159.4
2024,7,305.8,163.2
2024,8,293.9,167.8
2024,9,187.3,174.6
2024,10,75.7,179.7
2024,11,13.6,183.8
2024,12,28.1,190.5
