Year,Month,Rainfall,WPI
2012,4,47.5,93.6
2012,5,31.7,92.8
2012,6,117.8,93.6
2012,7,250.2,94.3
2012,8,262.4,99.1
2012,9,193.5,95.7
2012,10,58.7,97.0
2012,11,30.7,100.1
2012,12,11.7,104.6
2013,1,11.3,114.8
2013,2,40.1,117.0
2013,3,15.7,127.4
2013,4,30.4,139.4
2013,5,57.8,143.7
2013,6,219.8,139.4
2013,7,310.0,138.1
2013,8,254.7,135.1
2013,9,152.7,135.9
2013,10,129.4,140.6
2013,11,14.0,146.5
2013,12,6.7,148.4
2014,1,19.2,150.1
2014,2,27.4,167.3
2014,3,36.1,165.7
2014,4,22.2,171.2
2014,5,72.9,173.1
2014,6,95.4,169.2
2014,7,261.2,188.4
2014,8,237.5,204.8
2014,9,188.0,208.8
2014,10,60.2,204.3
2014,11,14.4,202.6
2014,12,10.7,200.9
2015,1,17.4,195.5
2015,2,21.0,163.7
2015,3,62.0,147.8
2015,4,69.4,163.8
2015,5,53.8,181.4
2015,6,192.8,198.9
2015,7,242.4,200.0
2015,8,205.2,198.4
2015,9,131.8,207.6
2015,10,42.9,211.6
2015,11,39.4,205.5
2015,12,15.0,195.4
2016,1,19.3,177.2
2016,2,22.8,159.1
2016,3,27.6,156.0
2016,4,37.4,163.2
2016,5,62.6,165.4
2016,6,168.3,164.4
2016,7,289.1,166.9
2016,8,256.3,164.7
2016,9,171.9,162.8
2016,10,76.1,162.7
2016,11,29.7,156.8
2016,12,14.9,154.7
2017,1,19.0,147.9
2017,2,22.6,143.0
2017,3,27.8,137.3
2017,4,37.9,146.0
2017,5,62.4,140.0
2017,6,168.1,130.1
2017,7,289.3,125.6
2017,8,256.2,124.2
2017,9,171.5,125.1
2017,10,76.3,121.4
2017,11,29.9,120.5
2017,12,15.0,128.4
2018,1,19.2,131.6
2018,2,20.1,125.8
2018,3,27.1,124.0
2018,4,40.2,124.5
2018,5,62.7,123.1
2018,6,165.0,120.3
2018,7,286.3,125.0
2018,8,254.3,127.9
2018,9,171.9,131.2
2018,10,77.2,133.5
2018,11,28.1,141.8
2018,12,14.1,148.7
2019,1,18.5,151.7
2019,2,33.1,149.3
2019,3,18.7,145.3
2019,4,31.5,155.1
2019,5,51.3,155.9
2019,6,113.5,156.9
2019,7,298.8,156.4
2019,8,299.9,151.7
2019,9,259.5,148.2
2019,10,110.1,149.5
2019,11,31.6,154.2
2019,12,19.2,158.8
2020,1,28.3,159.7
2020,2,12.1,152.0
2020,3,44.7,145.8
2020,4,42.7,145.1
2020,5,71.8,156.1
2020,6,195.6,163.7
2020,7,257.1,161.8
2020,8,327.8,162.7
2020,9,178.0,166.6
2020,10,78.3,172.0
2020,11,29.2,174.2
2020,12,17.0,167.4
2021,1,20.2,166.7
2021,2,7.6,167.6
2021,3,16.7,174.9
2021,4,31.1,180.9
2021,5,107.8,191.8
2021,6,182.4,193.6
2021,7,266.2,186.7
2021,8,196.3,183.2
2021,9,229.6,181.7
2021,10,100.8,179.5
2021,11,56.5,197.1
2021,12,20.5,199.7
2022,1,39.5,202.8
2022,2,19.1,218.1
2022,3,8.9,234.9
2022,4,38.2,267.8
2022,5,83.2,276.6
2022,6,152.2,277.0
2022,7,327.2,285.5
2022,8,264.0,290.4
2022,9,181.4,285.1
2022,10,111.8,286.3
2022,11,18.6,286.4
2022,12,13.6,269.7
2023,1,14.8,264.9
2023,2,7.2,242.5
2023,3,37.6,222.8
2023,4,41.4,218.1
2023,5,67.5,207.1
2023,6,151.2,204.9
2023,7,315.9,209.8
2023,8,162.7,207.7
2023,9,190.0,206.6
2023,10,50.8,205.5
2023,11,34.6,206.2
2023,12,25.5,204.2
2024,1,7.2,194.2
2024,2,19.6,198.5
2024,3,28.5,205.3
2024,4,31.4,212.5
2024,5,66.0,212.6
2024,6,147.2,210.6
2024,7,305.8,204.9
2024,8,293.9,203.8
2024,9,187.3,200.3
2024,10,75.7,199.3
2024,11,13.6,206.6
2024,12,28.1,208.1
