Year,Month,Rainfall,WPI
2012,4,47.5,101.2
2012,5,31.7,101.5
2012,6,117.8,102.5
2012,7,250.2,110.7
2012,8,262.4,115.0
2012,9,193.5,112.5
2012,10,58.7,114.0
2012,11,30.7,111.9
2012,12,11.7,110.8
2013,1,11.3,106.5
2013,2,40.1,106.1
2013,3,15.7,112.0
2013,4,30.4,112.0
2013,5,57.8,114.4
2013,6,219.8,115.9
2013,7,310.0,119.1
2013,8,254.7,123.6
2013,9,152.7,120.4
2013,10,129.4,118.7
2013,11,14.0,115.7
2013,12,6.7,112.9
2014,1,19.2,115.7
2014,2,27.4,114.2
2014,3,36.1,111.7
2014,4,22.2,114.9
2014,5,72.9,115.5
2014,6,95.4,120.9
2014,7,261.2,122.8
2014,8,237.5,132.6
2014,9,188.0,125.2
2014,10,60.2,120.7
2014,11,14.4,114.5
2014,12,10.7,111.2
2015,1,17.4,107.7
2015,2,21.0,108.5
2015,3,62.0,113.8
2015,4,69.4,119.4
2015,5,53.8,122.6
2015,6,192.8,125.0
2015,7,242.4,129.8
2015,8,205.2,131.1
2015,9,131.8,141.4
2015,10,42.9,146.2
2015,11,39.4,136.8
2015,12,15.0,140.7
2016,1,19.3,145.3
2016,2,22.8,148.2
2016,3,27.6,150.3
2016,4,37.4,157.2
2016,5,62.6,156.8
2016,6,168.3,164.0
2016,7,289.1,167.8
2016,8,256.3,166.6
2016,9,171.9,164.4
2016,10,76.1,161.8
2016,11,29.7,154.0
2016,12,14.9,156.3
2017,1,19.0,159.0
2017,2,22.6,157.9
2017,3,27.8,156.5
2017,4,37.9,154.5
2017,5,62.4,148.1
2017,6,168.1,145.4
2017,7,289.3,143.5
2017,8,256.2,142.6
2017,9,171.5,142.9
2017,10,76.3,138.9
2017,11,29.9,141.4
2017,12,15.0,144.8
2018,1,19.2,143.4
2018,2,20.1,141.9
2018,3,27.1,137.7
2018,4,40.2,134.4
2018,5,62.7,133.9
2018,6,165.0,136.6
2018,7,286.3,138.5
2018,8,254.3,140.3
2018,9,171.9,141.1
2018,10,77.2,141.8
2018,11,28.1,139.5
2018,12,14.1,140.2
2019,1,18.5,140.8
2019,2,33.1,143.4
2019,3,18.7,142.8
2019,4,31.5,146.5
2019,5,51.3,148.0
2019,6,113.5,149.2
2019,7,298.8,153.1
2019,8,299.9,153.0
2019,9,259.5,152.4
2019,10,110.1,152.7
2019,11,31.6,147.0
2019,12,19.2,149.4
2020,1,28.3,149.0
2020,2,12.1,143.5
2020,3,44.7,152.6
2020,4,42.7,152.9
2020,5,71.8,154.3
2020,6,195.6,160.2
2020,7,257.1,158.7
2020,8,327.8,159.2
2020,9,178.0,159.7
2020,10,78.3,159.5
2020,11,29.2,159.5
2020,12,17.0,159.3
2021,1,20.2,159.5
2021,2,7.6,159.7
2021,3,16.7,162.7
2021,4,31.1,163.2
2021,5,107.8,162.8
2021,6,182.4,164.5
2021,7,266.2,172.0
2021,8,196.3,177.3
2021,9,229.6,182.3
2021,10,100.8,182.3
2021,11,56.5,181.1
2021,12,20.5,182.9
2022,1,39.5,187.5
2022,2,19.1,193.8
2022,3,8.9,192.9
2022,4,38.2,194.0
2022,5,83.2,192.5
2022,6,152.2,186.6
2022,7,327.2,180.9
2022,8,264.0,181.9
2022,9,181.4,180.3
2022,10,111.8,178.0
2022,11,18.6,178.3
2022,12,13.6,181.9
2023,1,14.8,182.3
2023,2,7.2,183.9
2023,3,37.6,176.9
2023,4,41.4,180.0
2023,5,67.5,175.6
2023,6,151.2,170.7
2023,7,315.9,164.1
2023,8,162.7,165.3
2023,9,190.0,167.0
2023,10,50.8,169.1
2023,11,34.6,173.0
2023,12,25.5,173.4
2024,1,7.2,172.6
2024,2,19.6,171.3
2024,3,28.5,166.7
2024,4,31.4,170.6
2024,5,66.0,172.7
2024,6,147.2,176.6
2024,7,305.8,176.4
2024,8,293.9,179.3
2024,9,187.3,184.5
2024,10,75.7,182.8
2024,11,13.6,181.4
2024,12,28.1,178.1
