Year,Month,Rainfall,WPI
2012,4,47.5,107.5
2012,5,31.7,106.0
2012,6,117.8,106.3
2012,7,250.2,110.1
2012,8,262.4,113.3
2012,9,193.5,113.2
2012,10,58.7,109.1
2012,11,30.7,109.9
2012,12,11.7,104.8
2013,1,11.3,101.8
2013,2,40.1,99.7
2013,3,15.7,99.6
2013,4,30.4,99.9
2013,5,57.8,101.4
2013,6,219.8,102.6
2013,7,310.0,102.9
2013,8,254.7,103.1
2013,9,152.7,104.0
2013,10,129.4,106.1
2013,11,14.0,105.7
2013,12,6.7,102.0
2014,1,19.2,99.5
2014,2,27.4,100.3
2014,3,36.1,103.9
2014,4,22.2,104.8
2014,5,72.9,104.8
2014,6,95.4,103.7
2014,7,261.2,104.9
2014,8,237.5,104.6
2014,9,188.0,102.0
2014,10,60.2,100.4
2014,11,14.4,95.8
2014,12,10.7,91.2
2015,1,17.4,93.4
2015,2,21.0,93.3
2015,3,62.0,92.7
2015,4,69.4,94.3
2015,5,53.8,97.8
2015,6,192.8,98.7
2015,7,242.4,98.5
2015,8,205.2,98.9
2015,9,131.8,99.0
2015,10,42.9,100.2
2015,11,39.4,96.9
2015,12,15.0,97.4
2016,1,19.3,97.1
2016,2,22.8,97.4
2016,3,27.6,98.6
2016,4,37.4,94.9
2016,5,62.6,96.1
2016,6,168.3,97.4
2016,7,289.1,100.1
2016,8,256.3,102.2
2016,9,171.9,102.1
2016,10,76.1,103.6
2016,11,29.7,101.8
2016,12,14.9,103.6
2017,1,19.0,102.9
2017,2,22.6,104.1
2017,3,27.8,100.4
2017,4,37.9,98.3
2017,5,62.4,96.7
2017,6,168.1,97.9
2017,7,289.3,100.1
2017,8,256.2,102.1
2017,9,171.5,101.5
2017,10,76.3,100.5
2017,11,29.9,100.7
2017,12,15.0,102.9
2018,1,19.2,103.7
2018,2,20.1,105.3
2018,3,27.1,109.0
2018,4,40.2,110.4
2018,5,62.7,110.2
2018,6,165.0,110.4
2018,7,286.3,112.0
2018,8,254.3,113.8
2018,9,171.9,113.3
2018,10,77.2,111.7
2018,11,28.1,107.9
2018,12,14.1,105.5
2019,1,18.5,106.7
2019,2,33.1,109.7
2019,3,18.7,108.3
2019,4,31.5,108.6
2019,5,51.3,109.1
2019,6,113.5,110.1
2019,7,298.8,111.8
2019,8,299.9,112.9
2019,9,259.5,111.9
2019,10,110.1,112.4
2019,11,31.6,113.9
2019,12,19.2,118.6
2020,1,28.3,121.7
2020,2,12.1,118.4
2020,3,44.7,115.7
2020,4,42.7,117.7
2020,5,71.8,116.2
2020,6,195.6,117.1
2020,7,257.1,118.4
2020,8,327.8,122.2
2020,9,178.0,125.4
2020,10,78.3,131.1
2020,11,29.2,136.0
2020,12,17.0,142.8
2021,1,20.2,146.4
2021,2,7.6,150.4
2021,3,16.7,159.5
2021,4,31.1,170.6
2021,5,107.8,174.6
2021,6,182.4,172.6
2021,7,266.2,173.3
2021,8,196.3,176.9
2021,9,229.6,176.9
2021,10,100.8,174.9
2021,11,56.5,160.7
2021,12,20.5,156.0
2022,1,39.5,158.0
2022,2,19.1,173.9
2022,3,8.9,187.4
2022,4,38.2,192.6
2022,5,83.2,195.4
2022,6,152.2,191.2
2022,7,327.2,184.9
2022,8,264.0,182.2
2022,9,181.4,175.1
2022,10,111.8,174.5
2022,11,18.6,170.0
2022,12,13.6,161.2
2023,1,14.8,154.3
2023,2,7.2,145.6
2023,3,37.6,139.4
2023,4,41.4,133.7
2023,5,67.5,123.8
2023,6,151.2,122.9
2023,7,315.9,127.5
2023,8,162.7,125.9
2023,9,190.0,121.7
2023,10,50.8,120.1
2023,11,34.6,122.4
2023,12,25.5,119.9
2024,1,7.2,117.4
2024,2,19.6,118.9
2024,3,28.5,124.7
2024,4,31.4,126.7
2024,5,66.0,127.4
2024,6,147.2,128.0
2024,7,305.8,126.6
2024,8,293.9,126.9
2024,9,187.3,136.5
2024,10,75.7,144.5
2024,11,13.6,150.5
2024,12,28.1,150.7
