Year,Month,Rainfall,WPI
2012,4,47.5,134.7
2012,5,31.7,74.7
2012,6,117.8,95.9
2012,7,250.2,105.8
2012,8,262.4,104.5
2012,9,193.5,87.5
2012,10,58.7,85.9
2012,11,30.7,102.0
2012,12,11.7,123.8
2013,1,11.3,116.6
2013,2,40.1,119.6
2013,3,15.7,149.5
2013,4,30.4,132.5
2013,5,57.8,114.8
2013,6,219.8,97.7
2013,7,310.0,115.5
2013,8,254.7,110.2
2013,9,152.7,113.0
2013,10,129.4,107.2
2013,11,14.0,117.7
2013,12,6.7,136.4
2014,1,19.2,156.9
2014,2,27.4,136.5
2014,3,36.1,137.6
2014,4,22.2,121.8
2014,5,72.9,89.7
2014,6,95.4,119.0
2014,7,261.2,97.1
2014,8,237.5,86.2
2014,9,188.0,86.6
2014,10,60.2,102.7
2014,11,14.4,106.4
2014,12,10.7,112.0
2015,1,17.4,156.5
2015,2,21.0,164.3
2015,3,62.0,120.7
2015,4,69.4,109.0
2015,5,53.8,112.6
2015,6,192.8,121.2
2015,7,242.4,120.7
2015,8,205.2,120.7
2015,9,131.8,120.7
2015,10,42.9,120.7
2015,11,39.4,120.7
2015,12,15.0,120.7
2016,1,19.3,120.7
2016,2,22.8,120.7
2016,3,27.6,120.7
2016,4,37.4,154.8
2016,5,62.6,144.5
2016,6,168.3,159.5
2016,7,289.1,116.9
2016,8,256.3,104.4
2016,9,171.9,106.6
2016,10,76.1,114.5
2016,11,29.7,142.4
2016,12,14.9,148.6
2017,1,19.0,129.5
2017,2,22.6,127.3
2017,3,27.8,134.7
2017,4,37.9,134.4
2017,5,62.4,115.9
2017,6,168.1,126.8
2017,7,289.3,186.3
2017,8,256.2,146.4
2017,9,171.5,124.9
2017,10,76.3,123.1
2017,11,29.9,136.1
2017,12,15.0,121.8
2018,1,19.2,123.6
2018,2,20.1,131.3
2018,3,27.1,115.3
2018,4,40.2,117.9
2018,5,62.7,121.4
2018,6,165.0,133.3
2018,7,286.3,155.2
2018,8,254.3,156.2
2018,9,171.9,146.2
2018,10,77.2,142.4
2018,11,28.1,143.0
2018,12,14.1,146.4
2019,1,18.5,164.4
2019,2,33.1,180.0
2019,3,18.7,170.9
2019,4,31.5,143.6
2019,5,51.3,136.6
2019,6,113.5,151.7
2019,7,298.8,185.4
2019,8,299.9,202.6
2019,9,259.5,193.7
2019,10,110.1,184.1
2019,11,31.6,182.5
2019,12,19.2,181.0
2020,1,28.3,189.3
2020,2,12.1,145.3
2020,3,44.7,134.6
2020,4,42.7,146.1
2020,5,71.8,157.0
2020,6,195.6,171.1
2020,7,257.1,169.1
2020,8,327.8,152.7
2020,9,178.0,193.2
2020,10,78.3,193.0
2020,11,29.2,145.1
2020,12,17.0,127.5
2021,1,20.2,159.0
2021,2,7.6,170.2
2021,3,16.7,180.6
2021,4,31.1,169.0
2021,5,107.8,151.1
2021,6,182.4,165.1
2021,7,266.2,167.1
2021,8,196.3,130.9
2021,9,229.6,131.8
2021,10,100.8,163.6
2021,11,56.5,205.5
2021,12,20.5,218.3
2022,1,39.5,181.1
2022,2,19.1,179.8
2022,3,8.9,154.6
2022,4,38.2,163.5
2022,5,83.2,138.8
2022,6,152.2,165.5
2022,7,327.2,167.2
2022,8,264.0,174.5
2022,9,181.4,172.0
2022,10,111.8,162.7
2022,11,18.6,158.2
2022,12,13.6,170.9
2023,1,14.8,182.8
2023,2,7.2,169.4
2023,3,37.6,158.8
2023,4,41.4,124.2
2023,5,67.5,128.9
2023,6,151.2,152.8
2023,7,315.9,206.6
2023,8,162.7,155.0
2023,9,190.0,149.1
2023,10,50.8,168.2
2023,11,34.6,207.5
2023,12,25.5,165.7
2024,1,7.2,168.1
2024,2,19.6,164.7
2024,3,28.5,170.2
2024,4,31.4,164.1
2024,5,66.0,152.5
2024,6,147.2,198.6
2024,7,305.8,190.8
2024,8,293.9,168.5
2024,9,187.3,197.0
2024,10,75.7,194.4
2024,11,13.6,194.5
2024,12,28.1,193.4
