Year,Month,Rainfall,WPI
2012,4,47.5,99.3
2012,5,31.7,99.2
2012,6,117.8,99.1
2012,7,250.2,99.2
2012,8,262.4,100.9
2012,9,193.5,102.7
2012,10,58.7,105.8
2012,11,30.7,104.7
2012,12,11.7,108.9
2013,1,11.3,106.4
2013,2,40.1,104.4
2013,3,15.7,99.4
2013,4,30.4,102.2
2013,5,57.8,101.4
2013,6,219.8,99.1
2013,7,310.0,101.4
2013,8,254.7,100.2
2013,9,152.7,101.8
2013,10,129.4,101.9
2013,11,14.0,101.9
2013,12,6.7,101.7
2014,1,19.2,102.6
2014,2,27.4,101.2
2014,3,36.1,97.0
2014,4,22.2,93.6
2014,5,72.9,93.4
2014,6,95.4,89.9
2014,7,261.2,89.4
2014,8,237.5,89.8
2014,9,188.0,89.7
2014,10,60.2,90.1
2014,11,14.4,89.2
2014,12,10.7,89.1
2015,1,17.4,90.8
2015,2,21.0,94.9
2015,3,62.0,99.2
2015,4,69.4,104.3
2015,5,53.8,108.1
2015,6,192.8,111.2
2015,7,242.4,114.7
2015,8,205.2,112.0
2015,9,131.8,109.5
2015,10,42.9,110.0
2015,11,39.4,107.9
2015,12,15.0,107.1
2016,1,19.3,105.2
2016,2,22.8,104.5
2016,3,27.6,102.1
2016,4,37.4,111.1
2016,5,62.6,116.5
2016,6,168.3,115.9
2016,7,289.1,118.7
2016,8,256.3,127.4
2016,9,171.9,127.3
2016,10,76.1,127.7
2016,11,29.7,128.7
2016,12,14.9,131.4
2017,1,19.0,131.7
2017,2,22.6,128.2
2017,3,27.8,123.2
2017,4,37.9,131.5
2017,5,62.4,130.8
2017,6,168.1,129.6
2017,7,289.3,132.1
2017,8,256.2,133.1
2017,9,171.5,132.2
2017,10,76.3,133.1
2017,11,29.9,133.5
2017,12,15.0,140.4
2018,1,19.2,137.2
2018,2,20.1,133.3
2018,3,27.1,120.7
2018,4,40.2,121.0
2018,5,62.7,119.3
2018,6,165.0,120.9
2018,7,286.3,130.3
2018,8,254.3,132.0
2018,9,171.9,131.2
2018,10,77.2,131.5
2018,11,28.1,134.3
2018,12,14.1,127.9
2019,1,18.5,127.5
2019,2,33.1,123.5
2019,3,18.7,119.4
2019,4,31.5,121.0
2019,5,51.3,123.0
2019,6,113.5,123.2
2019,7,298.8,123.0
2019,8,299.9,121.8
2019,9,259.5,119.9
2019,10,110.1,119.5
2019,11,31.6,119.7
2019,12,19.2,119.8
2020,1,28.3,119.6
2020,2,12.1,116.2
2020,3,44.7,113.3
2020,4,42.7,111.0
2020,5,71.8,112.8
2020,6,195.6,109.9
2020,7,257.1,108.1
2020,8,327.8,106.2
2020,9,178.0,107.6
2020,10,78.3,103.2
2020,11,29.2,102.0
2020,12,17.0,104.6
2021,1,20.2,103.1
2021,2,7.6,101.2
2021,3,16.7,105.5
2021,4,31.1,103.9
2021,5,107.8,100.0
2021,6,182.4,93.9
2021,7,266.2,93.1
2021,8,196.3,94.6
2021,9,229.6,103.3
2021,10,100.8,99.5
2021,11,56.5,103.5
2021,12,20.5,107.4
2022,1,39.5,113.4
2022,2,19.1,123.0
2022,3,8.9,128.5
2022,4,38.2,136.8
2022,5,83.2,152.8
2022,6,152.2,148.7
2022,7,327.2,151.0
2022,8,264.0,156.5
2022,9,181.4,157.7
2022,10,111.8,161.5
2022,11,18.6,161.8
2022,12,13.6,182.3
2023,1,14.8,205.2
2023,2,7.2,200.5
2023,3,37.6,205.9
2023,4,41.4,230.7
2023,5,67.5,267.7
2023,6,151.2,291.0
2023,7,315.9,402.5
2023,8,162.7,423.9
2023,9,190.0,424.1
2023,10,50.8,412.0
2023,11,34.6,372.1
2023,12,25.5,337.3
2024,1,7.2,310.2
2024,2,19.6,309.9
2024,3,28.5,268.8
2024,4,31.4,235.6
2024,5,66.0,266.5
2024,6,147.2,240.3
2024,7,305.8,222.1
2024,8,293.9,213.7
2024,9,187.3,212.6
2024,10,75.7,206.3
2024,11,13.6,199.3
2024,12,28.1,191.3
