Year,Month,Rainfall,WPI
2012,4,47.5,59.0
2012,5,31.7,59.5
2012,6,117.8,90.9
2012,7,250.2,94.1
2012,8,262.4,74.3
2012,9,193.5,64.8
2012,10,58.7,81.9
2012,11,30.7,114.0
2012,12,11.7,227.1
2013,1,11.3,189.2
2013,2,40.1,122.5
2013,3,15.7,69.3
2013,4,30.4,61.5
2013,5,57.8,69.5
2013,6,219.8,112.0
2013,7,310.0,134.3
2013,8,254.7,115.8
2013,9,152.7,115.3
2013,10,129.4,203.0
2013,11,14.0,256.9
2013,12,6.7,276.1
2014,1,19.2,273.4
2014,2,27.4,178.7
2014,3,36.1,88.3
2014,4,22.2,89.7
2014,5,72.9,94.4
2014,6,95.4,182.4
2014,7,261.2,133.0
2014,8,237.5,122.8
2014,9,188.0,147.7
2014,10,60.2,172.9
2014,11,14.4,276.0
2014,12,10.7,352.5
2015,1,17.4,379.2
2015,2,21.0,204.1
2015,3,62.0,121.5
2015,4,69.4,113.3
2015,5,53.8,151.8
2015,6,192.8,158.2
2015,7,242.4,129.7
2015,8,205.2,129.7
2015,9,131.8,129.7
2015,10,42.9,129.7
2015,11,39.4,129.7
2015,12,15.0,129.7
2016,1,19.3,129.7
2016,2,22.8,129.7
2016,3,27.6,129.7
2016,4,37.4,76.5
2016,5,62.6,102.8
2016,6,168.3,163.0
2016,7,289.1,139.7
2016,8,256.3,91.0
2016,9,171.9,91.9
2016,10,76.1,103.0
2016,11,29.7,138.6
2016,12,14.9,214.0
2017,1,19.0,229.6
2017,2,22.6,131.2
2017,3,27.8,89.0
2017,4,37.9,76.2
2017,5,62.4,112.8
2017,6,168.1,125.8
2017,7,289.3,162.9
2017,8,256.2,160.6
2017,9,171.5,176.8
2017,10,76.3,256.2
2017,11,29.9,254.2
2017,12,15.0,380.2
2018,1,19.2,315.7
2018,2,20.1,218.5
2018,3,27.1,112.5
2018,4,40.2,97.1
2018,5,62.7,103.0
2018,6,165.0,134.0
2018,7,286.3,148.6
2018,8,254.3,117.1
2018,9,171.9,112.7
2018,10,77.2,128.7
2018,11,28.1,199.1
2018,12,14.1,219.3
2019,1,18.5,269.8
2019,2,33.1,227.5
2019,3,18.7,106.3
2019,4,31.5,79.5
2019,5,51.3,95.9
2019,6,113.5,120.4
2019,7,298.8,192.5
2019,8,299.9,161.8
2019,9,259.5,156.8
2019,10,110.1,178.7
2019,11,31.6,321.4
2019,12,19.2,601.4
2020,1,28.3,472.0
2020,2,12.1,248.9
2020,3,44.7,127.3
2020,4,42.7,105.3
2020,5,71.8,98.7
2020,6,195.6,138.8
2020,7,257.1,157.1
2020,8,327.8,173.6
2020,9,178.0,228.7
2020,10,78.3,228.2
2020,11,29.2,255.7
2020,12,17.0,208.2
2021,1,20.2,345.8
2021,2,7.6,307.7
2021,3,16.7,232.5
2021,4,31.1,102.6
2021,5,107.8,103.2
2021,6,182.4,194.0
2021,7,266.2,181.9
2021,8,196.3,147.2
2021,9,229.6,161.5
2021,10,100.8,251.6
2021,11,56.5,335.6
2021,12,20.5,581.4
2022,1,39.5,698.3
2022,2,19.1,525.5
2022,3,8.9,275.8
2022,4,38.2,129.9
2022,5,83.2,150.9
2022,6,152.2,208.4
2022,7,327.2,153.3
2022,8,264.0,159.9
2022,9,181.4,223.7
2022,10,111.8,310.6
2022,11,18.6,374.4
2022,12,13.6,485.2
2023,1,14.8,480.1
2023,2,7.2,407.5
2023,3,37.6,257.6
2023,4,41.4,140.1
2023,5,67.5,142.5
2023,6,151.2,192.7
2023,7,315.9,166.5
2023,8,162.7,138.3
2023,9,190.0,102.7
2023,10,50.8,258.2
2023,11,34.6,279.9
2023,12,25.5,330.0
2024,1,7.2,337.2
2024,2,19.6,276.6
2024,3,28.5,163.5
2024,4,31.4,114.2
2024,5,66.0,145.0
2024,6,147.2,285.0
2024,7,305.8,344.8
2024,8,293.9,197.6
2024,9,187.3,195.7
2024,10,75.7,276.2
2024,11,13.6,274.7
2024,12,28.1,676.6
