Year,Month,Rainfall,WPI
2012,4,47.5,245.2
2012,5,31.7,253.4
2012,6,117.8,206.8
2012,7,250.2,173.2
2012,8,262.4,175.9
2012,9,193.5,127.4
2012,10,58.7,139.0
2012,11,30.7,134.8
2012,12,11.7,171.5
2013,1,11.3,225.2
2013,2,40.1,195.9
2013,3,15.7,192.7
2013,4,30.4,185.9
2013,5,57.8,175.2
2013,6,219.8,158.8
2013,7,310.0,138.2
2013,8,254.7,121.1
2013,9,152.7,162.0
2013,10,129.4,129.5
2013,11,14.0,116.8
2013,12,6.7,101.7
2014,1,19.2,110.0
2014,2,27.4,108.9
2014,3,36.1,102.5
2014,4,22.2,101.1
2014,5,72.9,113.7
2014,6,95.4,114.5
2014,7,261.2,122.8
2014,8,237.5,122.0
2014,9,188.0,128.3
2014,10,60.2,121.1
2014,11,14.4,113.9
2014,12,10.7,103.9
2015,1,17.4,103.8
2015,2,21.0,91.1
2015,3,62.0,91.4
2015,4,69.4,98.2
2015,5,53.8,105.4
2015,6,192.8,105.9
2015,7,242.4,98.1
2015,8,205.2,87.7
2015,9,131.8,90.8
2015,10,42.9,89.8
2015,11,39.4,84.1
2015,12,15.0,75.3
2016,1,19.3,75.6
2016,2,22.8,71.5
2016,3,27.6,69.4
2016,4,37.4,73.8
2016,5,62.6,73.3
2016,6,168.3,72.1
2016,7,289.1,79.3
2016,8,256.3,82.6
2016,9,171.9,81.5
2016,10,76.1,78.7
2016,11,29.7,74.5
2016,12,14.9,74.2
2017,1,19.0,75.0
2017,2,22.6,74.8
2017,3,27.8,86.6
2017,4,37.9,90.1
2017,5,62.4,84.9
2017,6,168.1,78.8
2017,7,289.3,76.8
2017,8,256.2,82.7
2017,9,171.5,85.7
2017,10,76.3,85.1
2017,11,29.9,84.7
2017,12,15.0,90.0
2018,1,19.2,99.0
2018,2,20.1,102.7
2018,3,27.1,95.7
2018,4,40.2,91.3
2018,5,62.7,88.6
2018,6,165.0,85.1
2018,7,286.3,92.6
2018,8,254.3,98.6
2018,9,171.9,97.0
2018,10,77.2,100.3
2018,11,28.1,108.4
2018,12,14.1,101.7
2019,1,18.5,100.1
2019,2,33.1,97.3
2019,3,18.7,97.3
2019,4,31.5,100.6
2019,5,51.3,100.0
2019,6,113.5,98.5
2019,7,298.8,97.3
2019,8,299.9,97.4
2019,9,259.5,93.7
2019,10,110.1,89.5
2019,11,31.6,93.6
2019,12,19.2,89.7
2020,1,28.3,91.2
2020,2,12.1,89.2
2020,3,44.7,82.0
2020,4,42.7,79.3
2020,5,71.8,79.4
2020,6,195.6,82.4
2020,7,257.1,84.0
2020,8,327.8,86.8
2020,9,178.0,91.3
2020,10,78.3,91.1
2020,11,29.2,92.3
2020,12,17.0,90.3
2021,1,20.2,90.5
2021,2,7.6,89.1
2021,3,16.7,88.0
2021,4,31.1,90.7
2021,5,107.8,94.5
2021,6,182.4,93.4
2021,7,266.2,95.0
2021,8,196.3,112.3
2021,9,229.6,138.1
2021,10,100.8,136.1
2021,11,56.5,145.6
2021,12,20.5,134.1
2022,1,39.5,138.8
2022,2,19.1,139.2
2022,3,8.9,137.8
2022,4,38.2,146.3
2022,5,83.2,134.9
2022,6,152.2,127.5
2022,7,327.2,119.0
2022,8,264.0,108.8
2022,9,181.4,112.5
2022,10,111.8,110.6
2022,11,18.6,123.0
2022,12,13.6,138.4
2023,1,14.8,141.6
2023,2,7.2,137.2
2023,3,37.6,126.5
2023,4,41.4,127.8
2023,5,67.5,129.9
2023,6,151.2,128.7
2023,7,315.9,132.7
2023,8,162.7,137.8
2023,9,190.0,142.1
2023,10,50.8,129.3
2023,11,34.6,130.0
2023,12,25.5,125.0
2024,1,7.2,122.6
2024,2,19.6,119.8
2024,3,28.5,119.5
2024,4,31.4,121.5
2024,5,66.0,126.5
2024,6,147.2,124.4
2024,7,305.8,124.3
2024,8,293.9,121.7
2024,9,187.3,125.7
2024,10,75.7,125.1
2024,11,13.6,120.2
2024,12,28.1,118.8
