Year,Month,Rainfall,WPI
2012,4,47.5,123.7
2012,5,31.7,122.1
2012,6,117.8,120.4
2012,7,250.2,125.6
2012,8,262.4,134.8
2012,9,193.5,137.9
2012,10,58.7,138.1
2012,11,30.7,143.3
2012,12,11.7,149.7
2013,1,11.3,159.3
2013,2,40.1,161.2
2013,3,15.7,161.6
2013,4,30.4,160.5
2013,5,57.8,155.2
2013,6,219.8,155.0
2013,7,310.0,157.2
2013,8,254.7,157.2
2013,9,152.7,159.6
2013,10,129.4,149.7
2013,11,14.0,159.7
2013,12,6.7,164.5
2014,1,19.2,147.8
2014,2,27.4,142.5
2014,3,36.1,145.4
2014,4,22.2,147.1
2014,5,72.9,140.8
2014,6,95.4,138.7
2014,7,261.2,138.5
2014,8,237.5,141.9
2014,9,188.0,136.8
2014,10,60.2,136.0
2014,11,14.4,130.2
2014,12,10.7,127.6
2015,1,17.4,125.5
2015,2,21.0,121.9
2015,3,62.0,119.8
2015,4,69.4,116.3
2015,5,53.8,112.9
2015,6,192.8,116.1
2015,7,242.4,116.1
2015,8,205.2,114.6
2015,9,131.8,110.5
2015,10,42.9,110.1
2015,11,39.4,109.5
2015,12,15.0,108.0
2016,1,19.3,108.5
2016,2,22.8,105.7
2016,3,27.6,104.7
2016,4,37.4,119.2
2016,5,62.6,119.6
2016,6,168.3,117.2
2016,7,289.1,116.0
2016,8,256.3,123.7
2016,9,171.9,122.6
2016,10,76.1,118.5
2016,11,29.7,118.8
2016,12,14.9,117.3
2017,1,19.0,116.4
2017,2,22.6,117.8
2017,3,27.8,115.6
2017,4,37.9,116.4
2017,5,62.4,116.3
2017,6,168.1,114.3
2017,7,289.3,113.2
2017,8,256.2,115.9
2017,9,171.5,119.7
2017,10,76.3,118.5
2017,11,29.9,120.4
2017,12,15.0,128.3
2018,1,19.2,132.2
2018,2,20.1,133.4
2018,3,27.1,130.1
2018,4,40.2,128.1
2018,5,62.7,126.8
2018,6,165.0,128.1
2018,7,286.3,130.0
2018,8,254.3,133.9
2018,9,171.9,141.3
2018,10,77.2,150.1
2018,11,28.1,160.8
2018,12,14.1,168.8
2019,1,18.5,171.0
2019,2,33.1,174.4
2019,3,18.7,170.3
2019,4,31.5,167.3
2019,5,51.3,165.6
2019,6,113.5,160.7
2019,7,298.8,165.0
2019,8,299.9,169.0
2019,9,259.5,173.2
2019,10,110.1,177.8
2019,11,31.6,178.8
2019,12,19.2,182.0
2020,1,28.3,184.7
2020,2,12.1,188.7
2020,3,44.7,189.8
2020,4,42.7,191.6
2020,5,71.8,193.8
2020,6,195.6,194.0
2020,7,257.1,191.7
2020,8,327.8,188.6
2020,9,178.0,182.3
2020,10,78.3,176.2
2020,11,29.2,171.3
2020,12,17.0,175.0
2021,1,20.2,173.0
2021,2,7.6,174.1
2021,3,16.7,176.0
2021,4,31.1,178.6
2021,5,107.8,175.9
2021,6,182.4,179.0
2021,7,266.2,177.4
2021,8,196.3,182.1
2021,9,229.6,183.0
2021,10,100.8,184.9
2021,11,56.5,187.4
2021,12,20.5,187.4
2022,1,39.5,184.5
2022,2,19.1,184.4
2022,3,8.9,186.3
2022,4,38.2,187.2
2022,5,83.2,189.1
2022,6,152.2,184.6
2022,7,327.2,177.4
2022,8,264.0,181.6
2022,9,181.4,181.9
2022,10,111.8,184.9
2022,11,18.6,189.1
2022,12,13.6,191.8
2023,1,14.8,206.6
2023,2,7.2,211.3
2023,3,37.6,208.6
2023,4,41.4,210.3
2023,5,67.5,208.4
2023,6,151.2,219.0
2023,7,315.9,224.5
2023,8,162.7,226.4
2023,9,190.0,228.5
2023,10,50.8,226.2
2023,11,34.6,233.7
2023,12,25.5,230.3
2024,1,7.2,232.7
2024,2,19.6,232.6
2024,3,28.5,233.5
2024,4,31.4,233.6
2024,5,66.0,231.1
2024,6,147.2,232.5
2024,7,305.8,229.3
2024,8,293.9,233.8
2024,9,187.3,224.0
2024,10,75.7,221.9
2024,11,13.6,222.1
2024,12,28.1,213.5
