Year,Month,Rainfall,WPI
2012,4,47.5,72.4
2012,5,31.7,67.0
2012,6,117.8,69.0
2012,7,250.2,77.3
2012,8,262.4,82.5
2012,9,193.5,82.4
2012,10,58.7,83.1
2012,11,30.7,95.3
2012,12,11.7,102.3
2013,1,11.3,102.4
2013,2,40.1,102.5
2013,3,15.7,104.7
2013,4,30.4,111.8
2013,5,57.8,116.1
2013,6,219.8,120.5
2013,7,310.0,126.2
2013,8,254.7,130.2
2013,9,152.7,131.9
2013,10,129.4,132.1
2013,11,14.0,138.9
2013,12,6.7,147.6
2014,1,19.2,152.5
2014,2,27.4,158.8
2014,3,36.1,164.7
2014,4,22.2,184.0
2014,5,72.9,197.9
2014,6,95.4,186.7
2014,7,261.2,181.4
2014,8,237.5,175.2
2014,9,188.0,162.3
2014,10,60.2,154.4
2014,11,14.4,158.4
2014,12,10.7,147.4
2015,1,17.4,146.0
2015,2,21.0,152.9
2015,3,62.0,164.6
2015,4,69.4,167.4
2015,5,53.8,163.5
2015,6,192.8,167.8
2015,7,242.4,172.1
2015,8,205.2,165.9
2015,9,131.8,161.3
2015,10,42.9,157.2
2015,11,39.4,158.5
2015,12,15.0,159.8
2016,1,19.3,154.2
2016,2,22.8,153.0
2016,3,27.6,151.8
2016,4,37.4,145.5
2016,5,62.6,139.6
2016,6,168.3,142.2
2016,7,289.1,141.1
2016,8,256.3,135.1
2016,9,171.9,131.1
2016,10,76.1,129.2
2016,11,29.7,130.4
2016,12,14.9,133.1
2017,1,19.0,133.4
2017,2,22.6,129.8
2017,3,27.8,126.4
2017,4,37.9,121.1
2017,5,62.4,114.9
2017,6,168.1,111.1
2017,7,289.3,109.2
2017,8,256.2,114.0
2017,9,171.5,116.7
2017,10,76.3,118.6
2017,11,29.9,116.7
2017,12,15.0,114.7
2018,1,19.2,117.1
2018,2,20.1,118.5
2018,3,27.1,119.9
2018,4,40.2,124.5
2018,5,62.7,129.7
2018,6,165.0,129.2
2018,7,286.3,133.4
2018,8,254.3,135.3
2018,9,171.9,151.2
2018,10,77.2,149.3
2018,11,28.1,153.4
2018,12,14.1,154.0
2019,1,18.5,164.8
2019,2,33.1,174.8
2019,3,18.7,174.2
2019,4,31.5,169.4
2019,5,51.3,172.3
2019,6,113.5,178.2
2019,7,298.8,187.9
2019,8,299.9,209.2
2019,9,259.5,206.9
2019,10,110.1,200.6
2019,11,31.6,209.8
2019,12,19.2,213.1
2020,1,28.3,208.8
2020,2,12.1,214.0
2020,3,44.7,209.1
2020,4,42.7,212.5
2020,5,71.8,213.5
2020,6,195.6,212.1
2020,7,257.1,213.7
2020,8,327.8,210.2
2020,9,178.0,215.1
2020,10,78.3,219.3
2020,11,29.2,221.1
2020,12,17.0,222.8
2021,1,20.2,188.8
2021,2,7.6,172.1
2021,3,16.7,164.6
2021,4,31.1,163.6
2021,5,107.8,164.1
2021,6,182.4,169.3
2021,7,266.2,165.3
2021,8,196.3,161.3
2021,9,229.6,299.4
2021,10,100.8,294.6
2021,11,56.5,282.7
2021,12,20.5,282.3
2022,1,39.5,281.8
2022,2,19.1,260.9
2022,3,8.9,241.8
2022,4,38.2,241.8
2022,5,83.2,239.5
2022,6,152.2,244.6
2022,7,327.2,258.2
2022,8,264.0,254.5
2022,9,181.4,250.8
2022,10,111.8,251.3
2022,11,18.6,257.6
2022,12,13.6,272.5
2023,1,14.8,277.8
2023,2,7.2,282.3
2023,3,37.6,291.8
2023,4,41.4,301.1
2023,5,67.5,322.4
2023,6,151.2,354.8
2023,7,315.9,384.1
2023,8,162.7,429.1
2023,9,190.0,474.1
2023,10,50.8,475.8
2023,11,34.6,470.3
2023,12,25.5,466.5
2024,1,7.2,472.9
2024,2,19.6,481.1
2024,3,28.5,491.2
2024,4,31.4,500.2
2024,5,66.0,506.8
2024,6,147.2,508.5
2024,7,305.8,503.6
2024,8,293.9,498.0
2024,9,187.3,506.4
2024,10,75.7,516.1
2024,11,13.6,522.7
2024,12,28.1,537.2
