Year,Month,Rainfall,WPI
2012,4,47.5,74.2
2012,5,31.7,75.4
2012,6,117.8,97.4
2012,7,250.2,102.7
2012,8,262.4,107.8
2012,9,193.5,117.3
2012,10,58.7,123.6
2012,11,30.7,128.6
2012,12,11.7,134.9
2013,1,11.3,149.8
2013,2,40.1,155.0
2013,3,15.7,189.5
2013,4,30.4,237.4
2013,5,57.8,296.1
2013,6,219.8,340.6
2013,7,310.0,368.5
2013,8,254.7,326.7
2013,9,152.7,258.4
2013,10,129.4,238.0
2013,11,14.0,220.3
2013,12,6.7,235.6
2014,1,19.2,265.5
2014,2,27.4,275.6
2014,3,36.1,299.9
2014,4,22.2,351.5
2014,5,72.9,362.5
2014,6,95.4,353.4
2014,7,261.2,360.3
2014,8,237.5,313.5
2014,9,188.0,240.4
2014,10,60.2,224.4
2014,11,14.4,190.7
2014,12,10.7,182.6
2015,1,17.4,199.0
2015,2,21.0,213.0
2015,3,62.0,203.4
2015,4,69.4,202.8
2015,5,53.8,220.4
2015,6,192.8,271.2
2015,7,242.4,245.2
2015,8,205.2,195.0
2015,9,131.8,187.6
2015,10,42.9,176.0
2015,11,39.4,151.3
2015,12,15.0,148.3
2016,1,19.3,147.7
2016,2,22.8,137.0
2016,3,27.6,134.6
2016,4,37.4,130.1
2016,5,62.6,152.1
2016,6,168.3,160.7
2016,7,289.1,152.5
2016,8,256.3,169.6
2016,9,171.9,170.1
2016,10,76.1,161.9
2016,11,29.7,139.0
2016,12,14.9,129.3
2017,1,19.0,119.6
2017,2,22.6,108.0
2017,3,27.8,110.0
2017,4,37.9,113.1
2017,5,62.4,115.9
2017,6,168.1,126.7
2017,7,289.3,138.9
2017,8,256.2,151.7
2017,9,171.5,158.2
2017,10,76.3,149.4
2017,11,29.9,129.1
2017,12,15.0,123.5
2018,1,19.2,121.1
2018,2,20.1,120.5
2018,3,27.1,124.2
2018,4,40.2,135.6
2018,5,62.7,193.2
2018,6,165.0,193.8
2018,7,286.3,200.9
2018,8,254.3,217.1
2018,9,171.9,213.4
2018,10,77.2,235.0
2018,11,28.1,228.6
2018,12,14.1,218.3
2019,1,18.5,237.6
2019,2,33.1,252.5
2019,3,18.7,264.4
2019,4,31.5,285.5
2019,5,51.3,299.0
2019,6,113.5,336.1
2019,7,298.8,414.5
2019,8,299.9,440.6
2019,9,259.5,378.7
2019,10,110.1,346.6
2019,11,31.6,307.7
2019,12,19.2,248.2
2020,1,28.3,238.5
2020,2,12.1,218.8
2020,3,44.7,213.1
2020,4,42.7,231.3
2020,5,71.8,232.8
2020,6,195.6,252.1
2020,7,257.1,256.1
2020,8,327.8,258.8
2020,9,178.0,225.5
2020,10,78.3,201.8
2020,11,29.2,156.5
2020,12,17.0,130.9
2021,1,20.2,127.8
2021,2,7.6,109.1
2021,3,16.7,113.4
2021,4,31.1,119.6
2021,5,107.8,125.4
2021,6,182.4,148.7
2021,7,266.2,168.0
2021,8,196.3,153.5
2021,9,229.6,156.0
2021,10,100.8,158.5
2021,11,56.5,155.2
2021,12,20.5,129.8
2022,1,39.5,110.6
2022,2,19.1,107.6
2022,3,8.9,129.2
2022,4,38.2,132.7
2022,5,83.2,134.7
2022,6,152.2,137.4
2022,7,327.2,157.4
2022,8,264.0,158.2
2022,9,181.4,169.8
2022,10,111.8,172.8
2022,11,18.6,170.0
2022,12,13.6,173.8
2023,1,14.8,184.8
2023,2,7.2,194.3
2023,3,37.6,221.0
2023,4,41.4,292.3
2023,5,67.5,433.1
2023,6,151.2,536.2
2023,7,315.9,629.1
2023,8,162.7,616.6
2023,9,190.0,548.2
2023,10,50.8,494.2
2023,11,34.6,439.3
2023,12,25.5,375.0
2024,1,7.2,382.2
2024,2,19.6,379.0
2024,3,28.5,409.7
2024,4,31.4,464.7
2024,5,66.0,485.6
2024,6,147.2,505.1
2024,7,305.8,487.8
2024,8,293.9,422.6
2024,9,187.3,389.7
2024,10,75.7,367.8
2024,11,13.6,283.5
2024,12,28.1,228.7
