Year,Month,Rainfall,WPI
2012,4,47.5,116.1
2012,5,31.7,127.5
2012,6,117.8,130.7
2012,7,250.2,143.7
2012,8,262.4,149.9
2012,9,193.5,148.9
2012,10,58.7,145.5
2012,11,30.7,146.0
2012,12,11.7,139.4
2013,1,11.3,134.0
2013,2,40.1,124.1
2013,3,15.7,117.5
2013,4,30.4,118.8
2013,5,57.8,117.0
2013,6,219.8,113.6
2013,7,310.0,110.0
2013,8,254.7,107.9
2013,9,152.7,109.3
2013,10,129.4,111.0
2013,11,14.0,108.8
2013,12,6.7,107.3
2014,1,19.2,103.6
2014,2,27.4,101.7
2014,3,36.1,103.5
2014,4,22.2,102.8
2014,5,72.9,103.1
2014,6,95.4,99.6
2014,7,261.2,97.8
2014,8,237.5,100.4
2014,9,188.0,100.2
2014,10,60.2,100.8
2014,11,14.4,100.5
2014,12,10.7,102.6
2015,1,17.4,107.5
2015,2,21.0,109.4
2015,3,62.0,110.9
2015,4,69.4,115.3
2015,5,53.8,126.4
2015,6,192.8,135.0
2015,7,242.4,137.9
2015,8,205.2,142.3
2015,9,131.8,146.3
2015,10,42.9,153.0
2015,11,39.4,154.8
2015,12,15.0,153.8
2016,1,19.3,149.5
2016,2,22.8,145.8
2016,3,27.6,143.8
2016,4,37.4,159.1
2016,5,62.6,172.8
2016,6,168.3,188.5
2016,7,289.1,227.1
2016,8,256.3,225.7
2016,9,171.9,227.4
2016,10,76.1,262.3
2016,11,29.7,278.9
2016,12,14.9,270.3
2017,1,19.0,235.9
2017,2,22.6,200.4
2017,3,27.8,181.9
2017,4,37.9,183.4
2017,5,62.4,179.3
2017,6,168.1,174.0
2017,7,289.3,176.0
2017,8,256.2,176.7
2017,9,171.5,186.9
2017,10,76.3,177.9
2017,11,29.9,165.0
2017,12,15.0,152.9
2018,1,19.2,140.8
2018,2,20.1,134.7
2018,3,27.1,130.3
2018,4,40.2,127.0
2018,5,62.7,124.3
2018,6,165.0,121.6
2018,7,286.3,128.3
2018,8,254.3,135.7
2018,9,171.9,132.5
2018,10,77.2,135.7
2018,11,28.1,140.8
2018,12,14.1,146.7
2019,1,18.5,147.4
2019,2,33.1,146.5
2019,3,18.7,141.5
2019,4,31.5,144.1
2019,5,51.3,146.2
2019,6,113.5,146.5
2019,7,298.8,145.9
2019,8,299.9,145.1
2019,9,259.5,145.5
2019,10,110.1,146.6
2019,11,31.6,148.3
2019,12,19.2,146.3
2020,1,28.3,145.6
2020,2,12.1,142.0
2020,3,44.7,138.5
2020,4,42.7,146.7
2020,5,71.8,144.8
2020,6,195.6,143.8
2020,7,257.1,144.3
2020,8,327.8,144.8
2020,9,178.0,154.8
2020,10,78.3,163.6
2020,11,29.2,164.3
2020,12,17.0,159.8
2021,1,20.2,155.6
2021,2,7.6,156.3
2021,3,16.7,159.6
2021,4,31.1,165.1
2021,5,107.8,171.5
2021,6,182.4,169.5
2021,7,266.2,165.0
2021,8,196.3,167.6
2021,9,229.6,172.6
2021,10,100.8,170.9
2021,11,56.5,168.8
2021,12,20.5,166.0
2022,1,39.5,165.4
2022,2,19.1,163.4
2022,3,8.9,165.9
2022,4,38.2,164.8
2022,5,83.2,162.0
2022,6,152.2,161.3
2022,7,327.2,163.2
2022,8,264.0,165.9
2022,9,181.4,163.1
2022,10,111.8,162.0
2022,11,18.6,161.2
2022,12,13.6,162.9
2023,1,14.8,164.8
2023,2,7.2,165.6
2023,3,37.6,167.4
2023,4,41.4,169.4
2023,5,67.5,167.0
2023,6,151.2,166.5
2023,7,315.9,166.2
2023,8,162.7,174.2
2023,9,190.0,187.2
2023,10,50.8,192.2
2023,11,34.6,195.7
2023,12,25.5,194.0
2024,1,7.2,187.6
2024,2,19.6,192.3
2024,3,28.5,192.8
2024,4,31.4,195.8
2024,5,66.0,202.0
2024,6,147.2,209.8
2024,7,305.8,212.9
2024,8,293.9,224.1
2024,9,187.3,232.5
2024,10,75.7,230.6
2024,11,13.6,226.7
2024,12,28.1,221.4
