Year,Month,Rainfall,WPI
2012,4,47.5,118.9
2012,5,31.7,121.9
2012,6,117.8,121.1
2012,7,250.2,120.7
2012,8,262.4,124.4
2012,9,193.5,122.2
2012,10,58.7,117.9
2012,11,30.7,120.2
2012,12,11.7,127.2
2013,1,11.3,127.4
2013,2,40.1,127.6
2013,3,15.7,123.8
2013,4,30.4,124.3
2013,5,57.8,122.3
2013,6,219.8,116.4
2013,7,310.0,109.0
2013,8,254.7,105.2
2013,9,152.7,102.9
2013,10,129.4,102.4
2013,11,14.0,98.3
2013,12,6.7,95.2
2014,1,19.2,91.2
2014,2,27.4,90.1
2014,3,36.1,92.0
2014,4,22.2,91.0
2014,5,72.9,91.5
2014,6,95.4,90.5
2014,7,261.2,92.1
2014,8,237.5,93.2
2014,9,188.0,95.1
2014,10,60.2,94.2
2014,11,14.4,93.3
2014,12,10.7,93.8
2015,1,17.4,97.6
2015,2,21.0,98.6
2015,3,62.0,103.0
2015,4,69.4,104.3
2015,5,53.8,107.0
2015,6,192.8,109.8
2015,7,242.4,111.4
2015,8,205.2,112.9
2015,9,131.8,113.5
2015,10,42.9,112.2
2015,11,39.4,107.2
2015,12,15.0,108.8
2016,1,19.3,110.0
2016,2,22.8,109.8
2016,3,27.6,112.2
2016,4,37.4,118.7
2016,5,62.6,121.3
2016,6,168.3,123.0
2016,7,289.1,124.9
2016,8,256.3,127.0
2016,9,171.9,123.3
2016,10,76.1,118.3
2016,11,29.7,114.8
2016,12,14.9,115.1
2017,1,19.0,114.0
2017,2,22.6,114.5
2017,3,27.8,118.7
2017,4,37.9,119.0
2017,5,62.4,117.5
2017,6,168.1,111.6
2017,7,289.3,109.9
2017,8,256.2,107.4
2017,9,171.5,105.1
2017,10,76.3,105.4
2017,11,29.9,104.9
2017,12,15.0,105.6
2018,1,19.2,104.3
2018,2,20.1,106.1
2018,3,27.1,103.7
2018,4,40.2,103.3
2018,5,62.7,103.8
2018,6,165.0,103.4
2018,7,286.3,105.0
2018,8,254.3,110.4
2018,9,171.9,110.6
2018,10,77.2,112.0
2018,11,28.1,114.3
2018,12,14.1,112.5
2019,1,18.5,112.6
2019,2,33.1,113.5
2019,3,18.7,112.7
2019,4,31.5,114.8
2019,5,51.3,119.7
2019,6,113.5,118.0
2019,7,298.8,118.9
2019,8,299.9,120.0
2019,9,259.5,120.0
2019,10,110.1,119.7
2019,11,31.6,120.1
2019,12,19.2,127.0
2020,1,28.3,125.7
2020,2,12.1,127.7
2020,3,44.7,132.1
2020,4,42.7,137.8
2020,5,71.8,137.9
2020,6,195.6,137.6
2020,7,257.1,137.7
2020,8,327.8,137.2
2020,9,178.0,138.3
2020,10,78.3,140.6
2020,11,29.2,145.2
2020,12,17.0,148.3
2021,1,20.2,151.8
2021,2,7.6,159.0
2021,3,16.7,165.3
2021,4,31.1,168.4
2021,5,107.8,167.7
2021,6,182.4,158.3
2021,7,266.2,158.3
2021,8,196.3,160.8
2021,9,229.6,159.6
2021,10,100.8,160.6
2021,11,56.5,156.0
2021,12,20.5,153.1
2022,1,39.5,154.1
2022,2,19.1,158.4
2022,3,8.9,169.7
2022,4,38.2,177.3
2022,5,83.2,176.1
2022,6,152.2,176.9
2022,7,327.2,177.3
2022,8,264.0,174.3
2022,9,181.4,173.6
2022,10,111.8,175.0
2022,11,18.6,174.0
2022,12,13.6,174.7
2023,1,14.8,175.4
2023,2,7.2,177.3
2023,3,37.6,178.9
2023,4,41.4,174.4
2023,5,67.5,172.4
2023,6,151.2,171.6
2023,7,315.9,175.9
2023,8,162.7,182.1
2023,9,190.0,179.4
2023,10,50.8,177.1
2023,11,34.6,172.3
2023,12,25.5,171.5
2024,1,7.2,170.4
2024,2,19.6,167.6
2024,3,28.5,167.8
2024,4,31.4,167.6
2024,5,66.0,167.1
2024,6,147.2,166.5
2024,7,305.8,167.8
2024,8,293.9,169.3
2024,9,187.3,169.2
2024,10,75.7,167.1
2024,11,13.6,167.0
2024,12,28.1,167.7
