Year,Month,Rainfall,WPI
2012,4,47.5,112.5
2012,5,31.7,114.0
2012,6,117.8,113.9
2012,7,250.2,116.7
2012,8,262.4,122.9
2012,9,193.5,122.0
2012,10,58.7,121.5
2012,11,30.7,121.9
2012,12,11.7,125.8
2013,1,11.3,128.7
2013,2,40.1,125.3
2013,3,15.7,121.1
2013,4,30.4,124.7
2013,5,57.8,122.2
2013,6,219.8,115.8
2013,7,310.0,110.3
2013,8,254.7,106.2
2013,9,152.7,107.1
2013,10,129.4,107.6
2013,11,14.0,104.7
2013,12,6.7,100.4
2014,1,19.2,100.7
2014,2,27.4,99.4
2014,3,36.1,99.3
2014,4,22.2,100.4
2014,5,72.9,103.9
2014,6,95.4,102.5
2014,7,261.2,103.5
2014,8,237.5,106.3
2014,9,188.0,109.8
2014,10,60.2,109.0
2014,11,14.4,106.5
2014,12,10.7,105.0
2015,1,17.4,110.0
2015,2,21.0,111.1
2015,3,62.0,115.0
2015,4,69.4,119.7
2015,5,53.8,127.3
2015,6,192.8,135.7
2015,7,242.4,133.1
2015,8,205.2,134.8
2015,9,131.8,136.1
2015,10,42.9,122.3
2015,11,39.4,122.4
2015,12,15.0,126.0
2016,1,19.3,123.3
2016,2,22.8,124.6
2016,3,27.6,128.9
2016,4,37.4,139.1
2016,5,62.6,143.4
2016,6,168.3,146.1
2016,7,289.1,150.0
2016,8,256.3,145.5
2016,9,171.9,140.3
2016,10,76.1,132.3
2016,11,29.7,126.4
2016,12,14.9,131.5
2017,1,19.0,134.1
2017,2,22.6,132.4
2017,3,27.8,137.7
2017,4,37.9,139.8
2017,5,62.4,136.2
2017,6,168.1,133.2
2017,7,289.3,127.6
2017,8,256.2,124.3
2017,9,171.5,118.0
2017,10,76.3,116.9
2017,11,29.9,117.0
2017,12,15.0,113.9
2018,1,19.2,113.4
2018,2,20.1,114.9
2018,3,27.1,114.3
2018,4,40.2,109.6
2018,5,62.7,107.5
2018,6,165.0,109.7
2018,7,286.3,112.4
2018,8,254.3,119.9
2018,9,171.9,118.2
2018,10,77.2,118.8
2018,11,28.1,125.3
2018,12,14.1,122.6
2019,1,18.5,123.8
2019,2,33.1,125.2
2019,3,18.7,126.8
2019,4,31.5,129.5
2019,5,51.3,134.5
2019,6,113.5,140.3
2019,7,298.8,147.1
2019,8,299.9,149.6
2019,9,259.5,150.2
2019,10,110.1,148.8
2019,11,31.6,140.6
2019,12,19.2,137.3
2020,1,28.3,139.0
2020,2,12.1,142.7
2020,3,44.7,149.8
2020,4,42.7,155.8
2020,5,71.8,157.7
2020,6,195.6,158.8
2020,7,257.1,156.5
2020,8,327.8,154.2
2020,9,178.0,145.5
2020,10,78.3,145.1
2020,11,29.2,146.3
2020,12,17.0,149.1
2021,1,20.2,156.4
2021,2,7.6,162.1
2021,3,16.7,170.4
2021,4,31.1,167.7
2021,5,107.8,163.4
2021,6,182.4,163.3
2021,7,266.2,160.0
2021,8,196.3,161.9
2021,9,229.6,162.9
2021,10,100.8,160.4
2021,11,56.5,163.6
2021,12,20.5,165.3
2022,1,39.5,167.3
2022,2,19.1,165.7
2022,3,8.9,169.1
2022,4,38.2,171.2
2022,5,83.2,174.3
2022,6,152.2,171.0
2022,7,327.2,172.0
2022,8,264.0,175.3
2022,9,181.4,175.2
2022,10,111.8,175.2
2022,11,18.6,176.6
2022,12,13.6,181.6
2023,1,14.8,189.7
2023,2,7.2,198.3
2023,3,37.6,197.4
2023,4,41.4,197.8
2023,5,67.5,196.8
2023,6,151.2,200.1
2023,7,315.9,203.9
2023,8,162.7,203.0
2023,9,190.0,201.0
2023,10,50.8,201.1
2023,11,34.6,197.7
2023,12,25.5,200.7
2024,1,7.2,195.9
2024,2,19.6,190.4
2024,3,28.5,189.5
2024,4,31.4,187.7
2024,5,66.0,189.9
2024,6,147.2,185.5
2024,7,305.8,182.2
2024,8,293.9,180.0
2024,9,187.3,176.7
2024,10,75.7,175.8
2024,11,13.6,177.5
2024,12,28.1,175.7
