Year,Month,Rainfall,WPI
2012,4,47.5,77.1
2012,5,31.7,77.1
2012,6,117.8,77.1
2012,7,250.2,77.1
2012,8,262.4,67.8
2012,9,193.5,58.9
2012,10,58.7,85.3
2012,11,30.7,82.4
2012,12,11.7,64.6
2013,1,11.3,62.9
2013,2,40.1,76.0
2013,3,15.7,82.1
2013,4,30.4,80.5
2013,5,57.8,86.5
2013,6,219.8,108.0
2013,7,310.0,109.7
2013,8,254.7,104.9
2013,9,152.7,131.1
2013,10,129.4,137.4
2013,11,14.0,133.2
2013,12,6.7,111.0
2014,1,19.2,109.9
2014,2,27.4,108.6
2014,3,36.1,146.3
2014,4,22.2,208.1
2014,5,72.9,229.1
2014,6,95.4,229.1
2014,7,261.2,229.1
2014,8,237.5,217.5
2014,9,188.0,197.4
2014,10,60.2,214.7
2014,11,14.4,222.5
2014,12,10.7,220.7
2015,1,17.4,198.4
2015,2,21.0,208.2
2015,3,62.0,209.3
2015,4,69.4,239.6
2015,5,53.8,253.7
2015,6,192.8,259.7
2015,7,242.4,259.7
2015,8,205.2,267.7
2015,9,131.8,249.7
2015,10,42.9,225.5
2015,11,39.4,217.2
2015,12,15.0,263.3
2016,1,19.3,279.4
2016,2,22.8,265.3
2016,3,27.6,285.1
2016,4,37.4,250.9
2016,5,62.6,272.4
2016,6,168.3,294.8
2016,7,289.1,297.0
2016,8,256.3,274.1
2016,9,171.9,249.4
2016,10,76.1,255.3
2016,11,29.7,220.4
2016,12,14.9,198.6
2017,1,19.0,198.8
2017,2,22.6,233.6
2017,3,27.8,230.8
2017,4,37.9,196.8
2017,5,62.4,229.4
2017,6,168.1,231.4
2017,7,289.3,240.2
2017,8,256.2,237.8
2017,9,171.5,241.8
2017,10,76.3,226.1
2017,11,29.9,208.2
2017,12,15.0,223.2
2018,1,19.2,234.8
2018,2,20.1,244.6
2018,3,27.1,297.0
2018,4,40.2,325.8
2018,5,62.7,367.3
2018,6,165.0,362.7
2018,7,286.3,303.8
2018,8,254.3,254.5
2018,9,171.9,255.2
2018,10,77.2,265.7
2018,11,28.1,256.8
2018,12,14.1,290.8
2019,1,18.5,324.9
2019,2,33.1,366.5
2019,3,18.7,360.9
2019,4,31.5,339.3
2019,5,51.3,339.3
2019,6,113.5,334.1
2019,7,298.8,344.2
2019,8,299.9,320.3
2019,9,259.5,295.5
2019,10,110.1,317.4
2019,11,31.6,368.5
2019,12,19.2,343.5
2020,1,28.3,316.4
2020,2,12.1,296.2
2020,3,44.7,253.0
2020,4,42.7,262.0
2020,5,71.8,254.3
2020,6,195.6,250.9
2020,7,257.1,290.9
2020,8,327.8,263.1
2020,9,178.0,271.9
2020,10,78.3,329.1
2020,11,29.2,285.3
2020,12,17.0,270.2
2021,1,20.2,252.6
2021,2,7.6,316.4
2021,3,16.7,317.2
2021,4,31.1,299.5
2021,5,107.8,314.1
2021,6,182.4,315.1
2021,7,266.2,291.1
2021,8,196.3,206.3
2021,9,229.6,194.8
2021,10,100.8,278.2
2021,11,56.5,280.9
2021,12,20.5,301.7
2022,1,39.5,280.5
2022,2,19.1,311.1
2022,3,8.9,252.2
2022,4,38.2,322.9
2022,5,83.2,411.1
2022,6,152.2,432.9
2022,7,327.2,360.7
2022,8,264.0,327.7
2022,9,181.4,309.0
2022,10,111.8,320.1
2022,11,18.6,274.9
2022,12,13.6,231.0
2023,1,14.8,248.2
2023,2,7.2,314.2
2023,3,37.6,290.8
2023,4,41.4,302.2
2023,5,67.5,419.7
2023,6,151.2,454.6
2023,7,315.9,380.9
2023,8,162.7,308.6
2023,9,190.0,306.4
2023,10,50.8,318.2
2023,11,34.6,332.1
2023,12,25.5,310.4
2024,1,7.2,315.6
2024,2,19.6,326.3
2024,3,28.5,345.4
2024,4,31.4,295.1
2024,5,66.0,320.1
2024,6,147.2,328.8
2024,7,305.8,322.1
2024,8,293.9,285.5
2024,9,187.3,377.0
2024,10,75.7,454.4
2024,11,13.6,338.7
2024,12,28.1,344.3
