Year,Month,Rainfall,WPI
2012,4,47.5,103.6
2012,5,31.7,101.2
2012,6,117.8,95.5
2012,7,250.2,101.1
2012,8,262.4,98.6
2012,9,193.5,99.4
2012,10,58.7,99.1
2012,11,30.7,99.4
2012,12,11.7,99.3
2013,1,11.3,100.8
2013,2,40.1,103.5
2013,3,15.7,102.3
2013,4,30.4,106.1
2013,5,57.8,106.0
2013,6,219.8,105.8
2013,7,310.0,105.8
2013,8,254.7,107.1
2013,9,152.7,107.8
2013,10,129.4,108.8
2013,11,14.0,109.2
2013,12,6.7,108.8
2014,1,19.2,116.4
2014,2,27.4,116.3
2014,3,36.1,120.5
2014,4,22.2,122.8
2014,5,72.9,137.1
2014,6,95.4,136.8
2014,7,261.2,136.8
2014,8,237.5,137.0
2014,9,188.0,137.0
2014,10,60.2,136.8
2014,11,14.4,136.5
2014,12,10.7,140.0
2015,1,17.4,140.4
2015,2,21.0,142.3
2015,3,62.0,143.7
2015,4,69.4,144.2
2015,5,53.8,144.5
2015,6,192.8,143.1
2015,7,242.4,143.7
2015,8,205.2,143.9
2015,9,131.8,143.8
2015,10,42.9,145.6
2015,11,39.4,151.0
2015,12,15.0,152.2
2016,1,19.3,152.4
2016,2,22.8,139.6
2016,3,27.6,136.6
2016,4,37.4,134.7
2016,5,62.6,129.8
2016,6,168.3,143.0
2016,7,289.1,128.5
2016,8,256.3,128.3
2016,9,171.9,128.3
2016,10,76.1,128.2
2016,11,29.7,131.0
2016,12,14.9,139.6
2017,1,19.0,139.6
2017,2,22.6,150.3
2017,3,27.8,150.3
2017,4,37.9,143.5
2017,5,62.4,144.8
2017,6,168.1,144.8
2017,7,289.3,146.3
2017,8,256.2,148.3
2017,9,171.5,141.7
2017,10,76.3,150.8
2017,11,29.9,150.8
2017,12,15.0,144.4
2018,1,19.2,143.7
2018,2,20.1,141.8
2018,3,27.1,146.5
2018,4,40.2,139.8
2018,5,62.7,142.1
2018,6,165.0,142.5
2018,7,286.3,139.6
2018,8,254.3,142.7
2018,9,171.9,137.8
2018,10,77.2,137.9
2018,11,28.1,142.8
2018,12,14.1,137.5
2019,1,18.5,143.0
2019,2,33.1,143.1
2019,3,18.7,148.6
2019,4,31.5,149.7
2019,5,51.3,151.0
2019,6,113.5,148.4
2019,7,298.8,149.8
2019,8,299.9,149.7
2019,9,259.5,162.1
2019,10,110.1,158.1
2019,11,31.6,162.2
2019,12,19.2,156.7
2020,1,28.3,154.0
2020,2,12.1,154.3
2020,3,44.7,150.1
2020,4,42.7,150.1
2020,5,71.8,146.8
2020,6,195.6,155.9
2020,7,257.1,155.3
2020,8,327.8,165.9
2020,9,178.0,163.0
2020,10,78.3,151.6
2020,11,29.2,160.3
2020,12,17.0,158.9
2021,1,20.2,153.1
2021,2,7.6,157.4
2021,3,16.7,159.1
2021,4,31.1,161.4
2021,5,107.8,164.2
2021,6,182.4,164.0
2021,7,266.2,170.2
2021,8,196.3,169.2
2021,9,229.6,171.5
2021,10,100.8,172.2
2021,11,56.5,171.9
2021,12,20.5,182.1
2022,1,39.5,183.5
2022,2,19.1,178.1
2022,3,8.9,169.3
2022,4,38.2,182.0
2022,5,83.2,175.2
2022,6,152.2,178.4
2022,7,327.2,181.5
2022,8,264.0,182.8
2022,9,181.4,185.1
2022,10,111.8,180.5
2022,11,18.6,178.4
2022,12,13.6,177.8
2023,1,14.8,180.1
2023,2,7.2,163.6
2023,3,37.6,162.5
2023,4,41.4,156.8
2023,5,67.5,161.1
2023,6,151.2,163.5
2023,7,315.9,169.6
2023,8,162.7,165.4
2023,9,190.0,164.5
2023,10,50.8,166.8
2023,11,34.6,159.1
2023,12,25.5,162.4
2024,1,7.2,156.1
2024,2,19.6,167.8
2024,3,28.5,173.2
2024,4,31.4,177.9
2024,5,66.0,172.9
2024,6,147.2,174.8
2024,7,305.8,170.2
2024,8,293.9,171.9
2024,9,187.3,173.8
2024,10,75.7,179.8
2024,11,13.6,181.1
2024,12,28.1,178.9
