Year,Month,Rainfall,WPI
2012,4,47.5,71.4
2012,5,31.7,75.7
2012,6,117.8,64.4
2012,7,250.2,76.7
2012,8,262.4,72.2
2012,9,193.5,75.2
2012,10,58.7,75.1
2012,11,30.7,109.7
2012,12,11.7,164.6
2013,1,11.3,128.2
2013,2,40.1,182.8
2013,3,15.7,110.6
2013,4,30.4,90.5
2013,5,57.8,73.7
2013,6,219.8,84.6
2013,7,310.0,87.7
2013,8,254.7,116.8
2013,9,152.7,115.6
2013,10,129.4,119.2
2013,11,14.0,132.7
2013,12,6.7,199.2
2014,1,19.2,203.5
2014,2,27.4,183.6
2014,3,36.1,135.1
2014,4,22.2,103.8
2014,5,72.9,82.0
2014,6,95.4,80.9
2014,7,261.2,100.8
2014,8,237.5,131.6
2014,9,188.0,110.3
2014,10,60.2,126.9
2014,11,14.4,150.4
2014,12,10.7,185.3
2015,1,17.4,190.3
2015,2,21.0,158.3
2015,3,62.0,113.1
2015,4,69.4,75.9
2015,5,53.8,67.2
2015,6,192.8,75.0
2015,7,242.4,86.7
2015,8,205.2,102.4
2015,9,131.8,119.8
2015,10,42.9,124.3
2015,11,39.4,182.4
2015,12,15.0,205.8
2016,1,19.3,204.8
2016,2,22.8,207.0
2016,3,27.6,116.0
2016,4,37.4,109.1
2016,5,62.6,86.1
2016,6,168.3,90.6
2016,7,289.1,98.0
2016,8,256.3,123.0
2016,9,171.9,135.7
2016,10,76.1,129.2
2016,11,29.7,137.5
2016,12,14.9,182.1
2017,1,19.0,233.8
2017,2,22.6,228.2
2017,3,27.8,159.6
2017,4,37.9,153.0
2017,5,62.4,102.8
2017,6,168.1,93.2
2017,7,289.3,100.5
2017,8,256.2,125.7
2017,9,171.5,134.6
2017,10,76.3,138.9
2017,11,29.9,180.1
2017,12,15.0,249.5
2018,1,19.2,238.9
2018,2,20.1,221.6
2018,3,27.1,146.0
2018,4,40.2,129.6
2018,5,62.7,104.1
2018,6,165.0,98.6
2018,7,286.3,106.7
2018,8,254.3,127.1
2018,9,171.9,139.7
2018,10,77.2,145.6
2018,11,28.1,197.6
2018,12,14.1,243.6
2019,1,18.5,240.2
2019,2,33.1,178.7
2019,3,18.7,178.7
2019,4,31.5,210.1
2019,5,51.3,198.8
2019,6,113.5,175.4
2019,7,298.8,190.6
2019,8,299.9,259.9
2019,9,259.5,211.2
2019,10,110.1,324.8
2019,11,31.6,473.9
2019,12,19.2,652.3
2020,1,28.3,632.5
2020,2,12.1,502.2
2020,3,44.7,378.2
2020,4,42.7,382.2
2020,5,71.8,317.0
2020,6,195.6,388.6
2020,7,257.1,372.5
2020,8,327.8,388.9
2020,9,178.0,324.4
2020,10,78.3,318.9
2020,11,29.2,375.2
2020,12,17.0,426.0
2021,1,20.2,507.8
2021,2,7.6,385.3
2021,3,16.7,272.9
2021,4,31.1,228.8
2021,5,107.8,137.5
2021,6,182.4,185.1
2021,7,266.2,252.1
2021,8,196.3,319.2
2021,9,229.6,308.3
2021,10,100.8,313.2
2021,11,56.5,384.8
2021,12,20.5,628.5
2022,1,39.5,668.2
2022,2,19.1,559.2
2022,3,8.9,481.7
2022,4,38.2,330.3
2022,5,83.2,250.5
2022,6,152.2,267.9
2022,7,327.2,312.3
2022,8,264.0,340.9
2022,9,181.4,317.9
2022,10,111.8,415.3
2022,11,18.6,429.7
2022,12,13.6,588.1
2023,1,14.8,640.5
2023,2,7.2,558.0
2023,3,37.6,472.7
2023,4,41.4,368.3
2023,5,67.5,335.1
2023,6,151.2,253.6
2023,7,315.9,306.2
2023,8,162.7,362.7
2023,9,190.0,410.9
2023,10,50.8,497.4
2023,11,34.6,510.8
2023,12,25.5,777.0
2024,1,7.2,925.7
2024,2,19.6,792.1
2024,3,28.5,673.2
2024,4,31.4,422.0
2024,5,66.0,294.2
2024,6,147.2,321.8
2024,7,305.8,329.7
2024,8,293.9,457.8
2024,9,187.3,539.1
2024,10,75.7,533.9
2024,11,13.6,678.4
2024,12,28.1,1018.6
