Year,Month,Rainfall,WPI
2012,4,47.5,98.3
2012,5,31.7,98.2
2012,6,117.8,97.0
2012,7,250.2,93.7
2012,8,262.4,96.2
2012,9,193.5,97.2
2012,10,58.7,95.5
2012,11,30.7,95.6
2012,12,11.7,95.0
2013,1,11.3,95.2
2013,2,40.1,97.9
2013,3,15.7,101.9
2013,4,30.4,101.7
2013,5,57.8,99.5
2013,6,219.8,97.7
2013,7,310.0,99.5
2013,8,254.7,94.5
2013,9,152.7,98.0
2013,10,129.4,98.4
2013,11,14.0,99.5
2013,12,6.7,100.8
2014,1,19.2,100.8
2014,2,27.4,103.0
2014,3,36.1,111.3
2014,4,22.2,115.7
2014,5,72.9,112.8
2014,6,95.4,113.9
2014,7,261.2,120.7
2014,8,237.5,116.1
2014,9,188.0,115.0
2014,10,60.2,117.0
2014,11,14.4,115.3
2014,12,10.7,110.3
2015,1,17.4,119.2
2015,2,21.0,119.6
2015,3,62.0,114.4
2015,4,69.4,111.3
2015,5,53.8,117.4
2015,6,192.8,115.7
2015,7,242.4,110.7
2015,8,205.2,108.4
2015,9,131.8,108.4
2015,10,42.9,114.4
2015,11,39.4,113.4
2015,12,15.0,119.2
2016,1,19.3,115.4
2016,2,22.8,116.1
2016,3,27.6,115.8
2016,4,37.4,115.5
2016,5,62.6,118.7
2016,6,168.3,120.9
2016,7,289.1,120.1
2016,8,256.3,121.4
2016,9,171.9,124.0
2016,10,76.1,121.9
2016,11,29.7,123.2
2016,12,14.9,127.8
2017,1,19.0,132.3
2017,2,22.6,136.0
2017,3,27.8,132.1
2017,4,37.9,131.6
2017,5,62.4,130.5
2017,6,168.1,126.9
2017,7,289.3,126.3
2017,8,256.2,124.5
2017,9,171.5,126.1
2017,10,76.3,123.3
2017,11,29.9,118.5
2017,12,15.0,121.3
2018,1,19.2,118.3
2018,2,20.1,115.9
2018,3,27.1,118.1
2018,4,40.2,118.0
2018,5,62.7,117.0
2018,6,165.0,119.3
2018,7,286.3,119.6
2018,8,254.3,121.9
2018,9,171.9,121.4
2018,10,77.2,125.8
2018,11,28.1,137.7
2018,12,14.1,142.3
2019,1,18.5,143.0
2019,2,33.1,146.6
2019,3,18.7,150.4
2019,4,31.5,150.9
2019,5,51.3,151.1
2019,6,113.5,151.2
2019,7,298.8,157.6
2019,8,299.9,163.6
2019,9,259.5,160.0
2019,10,110.1,159.6
2019,11,31.6,165.0
2019,12,19.2,173.2
2020,1,28.3,177.1
2020,2,12.1,165.6
2020,3,44.7,158.2
2020,4,42.7,159.1
2020,5,71.8,164.7
2020,6,195.6,161.3
2020,7,257.1,157.5
2020,8,327.8,154.3
2020,9,178.0,148.0
2020,10,78.3,147.8
2020,11,29.2,155.2
2020,12,17.0,154.6
2021,1,20.2,151.9
2021,2,7.6,148.7
2021,3,16.7,149.0
2021,4,31.1,150.5
2021,5,107.8,148.8
2021,6,182.4,144.7
2021,7,266.2,142.6
2021,8,196.3,140.3
2021,9,229.6,138.4
2021,10,100.8,136.8
2021,11,56.5,135.4
2021,12,20.5,136.4
2022,1,39.5,142.7
2022,2,19.1,148.9
2022,3,8.9,153.9
2022,4,38.2,161.9
2022,5,83.2,162.7
2022,6,152.2,161.7
2022,7,327.2,167.0
2022,8,264.0,171.7
2022,9,181.4,172.9
2022,10,111.8,166.1
2022,11,18.6,183.6
2022,12,13.6,192.8
2023,1,14.8,204.0
2023,2,7.2,208.8
2023,3,37.6,208.3
2023,4,41.4,208.0
2023,5,67.5,209.2
2023,6,151.2,219.6
2023,7,315.9,224.4
2023,8,162.7,222.9
2023,9,190.0,229.0
2023,10,50.8,224.6
2023,11,34.6,233.4
2023,12,25.5,242.4
2024,1,7.2,236.7
2024,2,19.6,230.9
2024,3,28.5,227.1
2024,4,31.4,225.8
2024,5,66.0,221.1
2024,6,147.2,219.6
2024,7,305.8,212.8
2024,8,293.9,207.0
2024,9,187.3,207.6
2024,10,75.7,198.8
2024,11,13.6,203.5
2024,12,28.1,201.4
