Year,Month,Rainfall,WPI
2012,4,47.5,152.2
2012,5,31.7,92.6
2012,6,117.8,90.3
2012,7,250.2,87.0
2012,8,262.4,78.0
2012,9,193.5,75.1
2012,10,58.7,89.3
2012,11,30.7,94.2
2012,12,11.7,112.4
2013,1,11.3,112.7
2013,2,40.1,117.1
2013,3,15.7,115.8
2013,4,30.4,99.6
2013,5,57.8,61.5
2013,6,219.8,69.8
2013,7,310.0,86.5
2013,8,254.7,89.7
2013,9,152.7,91.6
2013,10,129.4,109.6
2013,11,14.0,142.8
2013,12,6.7,144.8
2014,1,19.2,142.4
2014,2,27.4,143.6
2014,3,36.1,134.5
2014,4,22.2,94.0
2014,5,72.9,61.3
2014,6,95.4,61.5
2014,7,261.2,89.9
2014,8,237.5,84.0
2014,9,188.0,85.8
2014,10,60.2,83.4
2014,11,14.4,106.5
2014,12,10.7,125.4
2015,1,17.4,137.8
2015,2,21.0,109.2
2015,3,62.0,110.2
2015,4,69.4,99.8
2015,5,53.8,74.4
2015,6,192.8,80.4
2015,7,242.4,77.1
2015,8,205.2,65.1
2015,9,131.8,65.4
2015,10,42.9,83.8
2015,11,39.4,94.7
2015,12,15.0,117.4
2016,1,19.3,125.3
2016,2,22.8,117.0
2016,3,27.6,95.6
2016,4,37.4,84.8
2016,5,62.6,79.7
2016,6,168.3,73.0
2016,7,289.1,79.2
2016,8,256.3,82.0
2016,9,171.9,80.8
2016,10,76.1,86.5
2016,11,29.7,74.0
2016,12,14.9,89.9
2017,1,19.0,112.8
2017,2,22.6,122.1
2017,3,27.8,115.3
2017,4,37.9,99.0
2017,5,62.4,97.3
2017,6,168.1,87.4
2017,7,289.3,104.9
2017,8,256.2,129.0
2017,9,171.5,98.5
2017,10,76.3,132.9
2017,11,29.9,149.2
2017,12,15.0,158.1
2018,1,19.2,160.2
2018,2,20.1,151.3
2018,3,27.1,154.4
2018,4,40.2,114.8
2018,5,62.7,80.2
2018,6,165.0,83.3
2018,7,286.3,114.7
2018,8,254.3,128.7
2018,9,171.9,110.3
2018,10,77.2,117.1
2018,11,28.1,108.3
2018,12,14.1,135.6
2019,1,18.5,166.2
2019,2,33.1,173.3
2019,3,18.7,168.5
2019,4,31.5,142.4
2019,5,51.3,119.6
2019,6,113.5,87.0
2019,7,298.8,91.8
2019,8,299.9,87.6
2019,9,259.5,80.3
2019,10,110.1,110.2
2019,11,31.6,156.7
2019,12,19.2,196.2
2020,1,28.3,191.9
2020,2,12.1,191.1
2020,3,44.7,173.0
2020,4,42.7,156.0
2020,5,71.8,97.5
2020,6,195.6,87.6
2020,7,257.1,82.6
2020,8,327.8,93.7
2020,9,178.0,131.6
2020,10,78.3,161.0
2020,11,29.2,131.4
2020,12,17.0,152.2
2021,1,20.2,194.1
2021,2,7.6,225.9
2021,3,16.7,190.4
2021,4,31.1,149.7
2021,5,107.8,120.5
2021,6,182.4,129.4
2021,7,266.2,153.0
2021,8,196.3,113.0
2021,9,229.6,97.8
2021,10,100.8,129.2
2021,11,56.5,195.6
2021,12,20.5,274.4
2022,1,39.5,279.8
2022,2,19.1,273.7
2022,3,8.9,212.1
2022,4,38.2,179.6
2022,5,83.2,106.6
2022,6,152.2,88.7
2022,7,327.2,102.8
2022,8,264.0,113.7
2022,9,181.4,125.3
2022,10,111.8,144.2
2022,11,18.6,132.6
2022,12,13.6,152.6
2023,1,14.8,246.8
2023,2,7.2,266.9
2023,3,37.6,263.4
2023,4,41.4,212.0
2023,5,67.5,147.0
2023,6,151.2,121.7
2023,7,315.9,177.9
2023,8,162.7,130.6
2023,9,190.0,94.0
2023,10,50.8,123.5
2023,11,34.6,144.0
2023,12,25.5,212.1
2024,1,7.2,250.8
2024,2,19.6,255.8
2024,3,28.5,223.9
2024,4,31.4,195.9
2024,5,66.0,160.4
2024,6,147.2,150.0
2024,7,305.8,155.5
2024,8,293.9,129.7
2024,9,187.3,127.7
2024,10,75.7,154.3
2024,11,13.6,178.4
2024,12,28.1,220.2
