Year,Month,Rainfall,WPI
2012,4,47.5,160.0
2012,5,31.7,153.4
2012,6,117.8,133.5
2012,7,250.2,121.6
2012,8,262.4,125.8
2012,9,193.5,144.7
2012,10,58.7,127.1
2012,11,30.7,85.8
2012,12,11.7,82.3
2013,1,11.3,98.4
2013,2,40.1,100.2
2013,3,15.7,103.8
2013,4,30.4,124.7
2013,5,57.8,130.5
2013,6,219.8,118.8
2013,7,310.0,100.6
2013,8,254.7,98.0
2013,9,152.7,117.0
2013,10,129.4,116.9
2013,11,14.0,92.3
2013,12,6.7,74.4
2014,1,19.2,87.5
2014,2,27.4,126.2
2014,3,36.1,144.1
2014,4,22.2,197.7
2014,5,72.9,171.4
2014,6,95.4,120.6
2014,7,261.2,103.9
2014,8,237.5,111.3
2014,9,188.0,156.7
2014,10,60.2,197.1
2014,11,14.4,135.0
2014,12,10.7,105.1
2015,1,17.4,117.0
2015,2,21.0,129.0
2015,3,62.0,147.3
2015,4,69.4,155.4
2015,5,53.8,143.9
2015,6,192.8,127.2
2015,7,242.4,99.0
2015,8,205.2,104.9
2015,9,131.8,115.5
2015,10,42.9,132.0
2015,11,39.4,136.9
2015,12,15.0,119.6
2016,1,19.3,125.8
2016,2,22.8,144.2
2016,3,27.6,163.8
2016,4,37.4,176.4
2016,5,62.6,183.2
2016,6,168.3,144.7
2016,7,289.1,142.5
2016,8,256.3,155.5
2016,9,171.9,180.8
2016,10,76.1,138.0
2016,11,29.7,92.8
2016,12,14.9,73.3
2017,1,19.0,63.5
2017,2,22.6,67.1
2017,3,27.8,115.4
2017,4,37.9,128.0
2017,5,62.4,123.6
2017,6,168.1,104.0
2017,7,289.3,83.0
2017,8,256.2,90.2
2017,9,171.5,113.7
2017,10,76.3,113.2
2017,11,29.9,87.2
2017,12,15.0,76.1
2018,1,19.2,77.0
2018,2,20.1,83.4
2018,3,27.1,149.3
2018,4,40.2,217.3
2018,5,62.7,158.8
2018,6,165.0,108.1
2018,7,286.3,90.2
2018,8,254.3,97.5
2018,9,171.9,135.1
2018,10,77.2,164.3
2018,11,28.1,138.6
2018,12,14.1,126.8
2019,1,18.5,120.4
2019,2,33.1,119.8
2019,3,18.7,134.8
2019,4,31.5,164.5
2019,5,51.3,174.9
2019,6,113.5,184.8
2019,7,298.8,180.6
2019,8,299.9,172.8
2019,9,259.5,206.7
2019,10,110.1,173.9
2019,11,31.6,106.5
2019,12,19.2,65.5
2020,1,28.3,66.1
2020,2,12.1,70.8
2020,3,44.7,88.4
2020,4,42.7,98.5
2020,5,71.8,111.6
2020,6,195.6,98.9
2020,7,257.1,87.6
2020,8,327.8,83.3
2020,9,178.0,102.1
2020,10,78.3,89.9
2020,11,29.2,80.2
2020,12,17.0,79.2
2021,1,20.2,104.8
2021,2,7.6,126.5
2021,3,16.7,174.0
2021,4,31.1,222.8
2021,5,107.8,178.8
2021,6,182.4,107.8
2021,7,266.2,73.7
2021,8,196.3,87.4
2021,9,229.6,110.9
2021,10,100.8,123.1
2021,11,56.5,84.7
2021,12,20.5,71.1
2022,1,39.5,71.9
2022,2,19.1,84.3
2022,3,8.9,163.1
2022,4,38.2,270.4
2022,5,83.2,222.5
2022,6,152.2,140.7
2022,7,327.2,124.2
2022,8,264.0,134.4
2022,9,181.4,165.3
2022,10,111.8,141.8
2022,11,18.6,110.3
2022,12,13.6,94.3
2023,1,14.8,95.0
2023,2,7.2,112.5
2023,3,37.6,185.9
2023,4,41.4,223.5
2023,5,67.5,158.2
2023,6,151.2,134.6
2023,7,315.9,113.9
2023,8,162.7,114.2
2023,9,190.0,153.2
2023,10,50.8,148.4
2023,11,34.6,145.1
2023,12,25.5,124.1
2024,1,7.2,113.2
2024,2,19.6,148.2
2024,3,28.5,199.0
2024,4,31.4,229.8
2024,5,66.0,214.5
2024,6,147.2,217.5
2024,7,305.8,214.7
2024,8,293.9,228.3
2024,9,187.3,292.7
2024,10,75.7,287.9
2024,11,13.6,223.3
2024,12,28.1,197.8
