Year,Month,Rainfall,WPI
2012,4,47.5,114.7
2012,5,31.7,115.1
2012,6,117.8,114.8
2012,7,250.2,117.7
2012,8,262.4,122.9
2012,9,193.5,126.6
2012,10,58.7,128.8
2012,11,30.7,131.9
2012,12,11.7,133.7
2013,1,11.3,133.6
2013,2,40.1,134.0
2013,3,15.7,130.6
2013,4,30.4,126.5
2013,5,57.8,125.9
2013,6,219.8,125.6
2013,7,310.0,127.7
2013,8,254.7,126.5
2013,9,152.7,126.7
2013,10,129.4,126.1
2013,11,14.0,126.0
2013,12,6.7,126.2
2014,1,19.2,127.0
2014,2,27.4,126.4
2014,3,36.1,126.7
2014,4,22.2,127.0
2014,5,72.9,126.4
2014,6,95.4,125.2
2014,7,261.2,124.9
2014,8,237.5,126.4
2014,9,188.0,125.6
2014,10,60.2,127.5
2014,11,14.4,127.7
2014,12,10.7,128.2
2015,1,17.4,129.0
2015,2,21.0,129.9
2015,3,62.0,129.7
2015,4,69.4,129.0
2015,5,53.8,129.1
2015,6,192.8,129.7
2015,7,242.4,130.7
2015,8,205.2,129.5
2015,9,131.8,132.6
2015,10,42.9,133.3
2015,11,39.4,133.1
2015,12,15.0,137.5
2016,1,19.3,136.1
2016,2,22.8,133.8
2016,3,27.6,135.0
2016,4,37.4,140.1
2016,5,62.6,155.2
2016,6,168.3,166.1
2016,7,289.1,171.5
2016,8,256.3,174.8
2016,9,171.9,175.6
2016,10,76.1,177.4
2016,11,29.7,173.2
2016,12,14.9,174.1
2017,1,19.0,171.5
2017,2,22.6,169.7
2017,3,27.8,162.3
2017,4,37.9,162.0
2017,5,62.4,161.0
2017,6,168.1,159.6
2017,7,289.3,160.0
2017,8,256.2,155.9
2017,9,171.5,154.8
2017,10,76.3,155.4
2017,11,29.9,155.4
2017,12,15.0,154.5
2018,1,19.2,152.5
2018,2,20.1,148.6
2018,3,27.1,146.5
2018,4,40.2,141.1
2018,5,62.7,138.8
2018,6,165.0,141.0
2018,7,286.3,143.4
2018,8,254.3,145.6
2018,9,171.9,146.5
2018,10,77.2,147.0
2018,11,28.1,146.5
2018,12,14.1,150.3
2019,1,18.5,151.9
2019,2,33.1,150.8
2019,3,18.7,151.5
2019,4,31.5,153.0
2019,5,51.3,157.3
2019,6,113.5,155.4
2019,7,298.8,154.0
2019,8,299.9,159.9
2019,9,259.5,161.7
2019,10,110.1,161.5
2019,11,31.6,163.5
2019,12,19.2,167.2
2020,1,28.3,172.0
2020,2,12.1,167.7
2020,3,44.7,164.4
2020,4,42.7,165.6
2020,5,71.8,169.4
2020,6,195.6,168.1
2020,7,257.1,162.0
2020,8,327.8,162.6
2020,9,178.0,166.4
2020,10,78.3,172.5
2020,11,29.2,175.0
2020,12,17.0,178.8
2021,1,20.2,176.9
2021,2,7.6,179.9
2021,3,16.7,181.9
2021,4,31.1,186.3
2021,5,107.8,195.2
2021,6,182.4,189.5
2021,7,266.2,183.2
2021,8,196.3,189.0
2021,9,229.6,209.8
2021,10,100.8,230.7
2021,11,56.5,246.4
2021,12,20.5,257.0
2022,1,39.5,251.4
2022,2,19.1,248.0
2022,3,8.9,259.3
2022,4,38.2,254.8
2022,5,83.2,254.2
2022,6,152.2,239.6
2022,7,327.2,234.8
2022,8,264.0,236.2
2022,9,181.4,244.9
2022,10,111.8,239.1
2022,11,18.6,239.8
2022,12,13.6,228.1
2023,1,14.8,220.0
2023,2,7.2,219.9
2023,3,37.6,201.6
2023,4,41.4,179.6
2023,5,67.5,175.4
2023,6,151.2,177.0
2023,7,315.9,176.4
2023,8,162.7,183.9
2023,9,190.0,179.1
2023,10,50.8,179.7
2023,11,34.6,179.0
2023,12,25.5,183.1
2024,1,7.2,186.4
2024,2,19.6,185.4
2024,3,28.5,175.5
2024,4,31.4,177.6
2024,5,66.0,181.2
2024,6,147.2,187.7
2024,7,305.8,187.8
2024,8,293.9,193.2
2024,9,187.3,195.2
2024,10,75.7,198.0
2024,11,13.6,201.1
2024,12,28.1,198.2
