Year,Month,Rainfall,WPI
2012,4,47.5,107.9
2012,5,31.7,105.5
2012,6,117.8,107.2
2012,7,250.2,111.3
2012,8,262.4,117.8
2012,9,193.5,117.3
2012,10,58.7,117.8
2012,11,30.7,117.9
2012,12,11.7,121.2
2013,1,11.3,123.4
2013,2,40.1,122.9
2013,3,15.7,121.8
2013,4,30.4,121.4
2013,5,57.8,120.6
2013,6,219.8,126.1
2013,7,310.0,127.6
2013,8,254.7,126.5
2013,9,152.7,128.9
2013,10,129.4,121.2
2013,11,14.0,122.1
2013,12,6.7,123.0
2014,1,19.2,120.1
2014,2,27.4,118.9
2014,3,36.1,121.0
2014,4,22.2,119.2
2014,5,72.9,118.3
2014,6,95.4,119.8
2014,7,261.2,124.6
2014,8,237.5,121.7
2014,9,188.0,117.4
2014,10,60.2,114.2
2014,11,14.4,113.0
2014,12,10.7,113.7
2015,1,17.4,118.6
2015,2,21.0,119.3
2015,3,62.0,122.4
2015,4,69.4,121.4
2015,5,53.8,118.9
2015,6,192.8,118.3
2015,7,242.4,119.9
2015,8,205.2,120.4
2015,9,131.8,121.9
2015,10,42.9,123.5
2015,11,39.4,126.6
2015,12,15.0,129.2
2016,1,19.3,133.8
2016,2,22.8,135.9
2016,3,27.6,135.8
2016,4,37.4,135.2
2016,5,62.6,135.2
2016,6,168.3,136.6
2016,7,289.1,142.2
2016,8,256.3,139.3
2016,9,171.9,139.8
2016,10,76.1,138.6
2016,11,29.7,137.7
2016,12,14.9,134.0
2017,1,19.0,134.6
2017,2,22.6,135.6
2017,3,27.8,135.2
2017,4,37.9,135.5
2017,5,62.4,134.2
2017,6,168.1,132.6
2017,7,289.3,129.2
2017,8,256.2,127.7
2017,9,171.5,125.1
2017,10,76.3,123.7
2017,11,29.9,119.1
2017,12,15.0,117.9
2018,1,19.2,116.4
2018,2,20.1,117.3
2018,3,27.1,117.3
2018,4,40.2,118.0
2018,5,62.7,117.6
2018,6,165.0,121.5
2018,7,286.3,121.6
2018,8,254.3,123.2
2018,9,171.9,125.7
2018,10,77.2,129.3
2018,11,28.1,131.9
2018,12,14.1,139.2
2019,1,18.5,147.9
2019,2,33.1,158.9
2019,3,18.7,163.7
2019,4,31.5,171.3
2019,5,51.3,171.3
2019,6,113.5,174.0
2019,7,298.8,181.5
2019,8,299.9,184.8
2019,9,259.5,185.8
2019,10,110.1,183.6
2019,11,31.6,172.4
2019,12,19.2,175.6
2020,1,28.3,178.8
2020,2,12.1,167.0
2020,3,44.7,158.5
2020,4,42.7,155.4
2020,5,71.8,152.0
2020,6,195.6,148.4
2020,7,257.1,147.6
2020,8,327.8,146.9
2020,9,178.0,142.5
2020,10,78.3,137.9
2020,11,29.2,139.8
2020,12,17.0,140.5
2021,1,20.2,137.4
2021,2,7.6,135.4
2021,3,16.7,135.7
2021,4,31.1,139.9
2021,5,107.8,141.5
2021,6,182.4,142.6
2021,7,266.2,147.6
2021,8,196.3,153.6
2021,9,229.6,154.8
2021,10,100.8,151.6
2021,11,56.5,150.4
2021,12,20.5,154.2
2022,1,39.5,157.4
2022,2,19.1,162.4
2022,3,8.9,169.5
2022,4,38.2,181.1
2022,5,83.2,182.3
2022,6,152.2,178.3
2022,7,327.2,186.1
2022,8,264.0,192.4
2022,9,181.4,193.4
2022,10,111.8,186.1
2022,11,18.6,182.4
2022,12,13.6,186.6
2023,1,14.8,190.9
2023,2,7.2,193.1
2023,3,37.6,193.7
2023,4,41.4,189.8
2023,5,67.5,184.5
2023,6,151.2,181.9
2023,7,315.9,186.0
2023,8,162.7,186.9
2023,9,190.0,183.9
2023,10,50.8,183.5
2023,11,34.6,185.7
2023,12,25.5,188.3
2024,1,7.2,195.6
2024,2,19.6,198.4
2024,3,28.5,196.4
2024,4,31.4,198.7
2024,5,66.0,200.9
2024,6,147.2,202.7
2024,7,305.8,207.2
2024,8,293.9,213.4
2024,9,187.3,216.5
2024,10,75.7,215.6
2024,11,13.6,213.3
2024,12,28.1,212.9
