Year,Month,Rainfall,WPI
2012,4,47.5,104.7
2012,5,31.7,92.7
2012,6,117.8,108.9
2012,7,250.2,113.3
2012,8,262.4,133.1
2012,9,193.5,86.9
2012,10,58.7,85.9
2012,11,30.7,115.5
2012,12,11.7,90.0
2013,1,11.3,102.3
2013,2,40.1,111.2
2013,3,15.7,102.2
2013,4,30.4,127.3
2013,5,57.8,120.3
2013,6,219.8,154.2
2013,7,310.0,121.4
2013,8,254.7,134.5
2013,9,152.7,128.9
2013,10,129.4,123.7
2013,11,14.0,123.6
2013,12,6.7,122.0
2014,1,19.2,115.6
2014,2,27.4,121.6
2014,3,36.1,112.2
2014,4,22.2,128.5
2014,5,72.9,134.2
2014,6,95.4,155.5
2014,7,261.2,184.8
2014,8,237.5,169.5
2014,9,188.0,112.8
2014,10,60.2,115.9
2014,11,14.4,142.4
2014,12,10.7,142.3
2015,1,17.4,140.4
2015,2,21.0,118.8
2015,3,62.0,124.1
2015,4,69.4,97.7
2015,5,53.8,101.0
2015,6,192.8,122.2
2015,7,242.4,139.3
2015,8,205.2,148.5
2015,9,131.8,141.6
2015,10,42.9,125.0
2015,11,39.4,113.6
2015,12,15.0,127.1
2016,1,19.3,172.3
2016,2,22.8,131.2
2016,3,27.6,120.0
2016,4,37.4,131.6
2016,5,62.6,140.8
2016,6,168.3,146.3
2016,7,289.1,139.4
2016,8,256.3,138.5
2016,9,171.9,138.5
2016,10,76.1,128.2
2016,11,29.7,112.9
2016,12,14.9,97.9
2017,1,19.0,120.9
2017,2,22.6,145.3
2017,3,27.8,144.7
2017,4,37.9,127.6
2017,5,62.4,133.5
2017,6,168.1,140.2
2017,7,289.3,152.0
2017,8,256.2,201.1
2017,9,171.5,129.4
2017,10,76.3,149.0
2017,11,29.9,136.1
2017,12,15.0,150.5
2018,1,19.2,135.2
2018,2,20.1,106.7
2018,3,27.1,119.2
2018,4,40.2,117.1
2018,5,62.7,128.5
2018,6,165.0,135.3
2018,7,286.3,135.9
2018,8,254.3,140.9
2018,9,171.9,130.2
2018,10,77.2,123.4
2018,11,28.1,140.6
2018,12,14.1,138.0
2019,1,18.5,147.8
2019,2,33.1,138.5
2019,3,18.7,138.5
2019,4,31.5,143.3
2019,5,51.3,128.3
2019,6,113.5,160.7
2019,7,298.8,189.5
2019,8,299.9,172.2
2019,9,259.5,101.6
2019,10,110.1,131.9
2019,11,31.6,114.4
2019,12,19.2,108.3
2020,1,28.3,104.1
2020,2,12.1,106.5
2020,3,44.7,95.8
2020,4,42.7,91.1
2020,5,71.8,95.5
2020,6,195.6,120.4
2020,7,257.1,100.9
2020,8,327.8,156.2
2020,9,178.0,102.3
2020,10,78.3,104.4
2020,11,29.2,129.8
2020,12,17.0,119.0
2021,1,20.2,104.7
2021,2,7.6,103.2
2021,3,16.7,89.7
2021,4,31.1,96.7
2021,5,107.8,87.9
2021,6,182.4,94.2
2021,7,266.2,123.8
2021,8,196.3,136.5
2021,9,229.6,103.3
2021,10,100.8,118.6
2021,11,56.5,117.6
2021,12,20.5,171.4
2022,1,39.5,133.9
2022,2,19.1,125.7
2022,3,8.9,105.4
2022,4,38.2,146.6
2022,5,83.2,136.5
2022,6,152.2,115.5
2022,7,327.2,111.7
2022,8,264.0,130.4
2022,9,181.4,124.3
2022,10,111.8,155.0
2022,11,18.6,109.1
2022,12,13.6,112.8
2023,1,14.8,131.4
2023,2,7.2,128.3
2023,3,37.6,122.8
2023,4,41.4,127.6
2023,5,67.5,130.2
2023,6,151.2,112.2
2023,7,315.9,151.1
2023,8,162.7,152.1
2023,9,190.0,147.3
2023,10,50.8,152.1
2023,11,34.6,143.6
2023,12,25.5,161.0
2024,1,7.2,114.5
2024,2,19.6,120.3
2024,3,28.5,129.8
2024,4,31.4,138.6
2024,5,66.0,157.7
2024,6,147.2,173.5
2024,7,305.8,188.2
2024,8,293.9,151.7
2024,9,187.3,161.7
2024,10,75.7,153.2
2024,11,13.6,140.9
2024,12,28.1,119.6
