Year,Month,Rainfall,WPI
2012,4,47.5,97.7
2012,5,31.7,96.9
2012,6,117.8,97.9
2012,7,250.2,104.8
2012,8,262.4,102.7
2012,9,193.5,104.8
2012,10,58.7,105.2
2012,11,30.7,110.5
2012,12,11.7,108.9
2013,1,11.3,109.0
2013,2,40.1,111.5
2013,3,15.7,119.3
2013,4,30.4,120.0
2013,5,57.8,120.0
2013,6,219.8,117.4
2013,7,310.0,118.1
2013,8,254.7,117.4
2013,9,152.7,117.4
2013,10,129.4,117.4
2013,11,14.0,117.8
2013,12,6.7,119.5
2014,1,19.2,122.0
2014,2,27.4,121.3
2014,3,36.1,120.7
2014,4,22.2,120.5
2014,5,72.9,122.5
2014,6,95.4,122.9
2014,7,261.2,124.2
2014,8,237.5,123.4
2014,9,188.0,119.3
2014,10,60.2,121.0
2014,11,14.4,122.5
2014,12,10.7,128.1
2015,1,17.4,129.8
2015,2,21.0,130.0
2015,3,62.0,133.1
2015,4,69.4,135.6
2015,5,53.8,136.8
2015,6,192.8,138.2
2015,7,242.4,138.6
2015,8,205.2,139.9
2015,9,131.8,139.9
2015,10,42.9,140.5
2015,11,39.4,144.7
2015,12,15.0,158.0
2016,1,19.3,173.2
2016,2,22.8,173.9
2016,3,27.6,170.7
2016,4,37.4,170.7
2016,5,62.6,172.3
2016,6,168.3,170.7
2016,7,289.1,168.1
2016,8,256.3,159.3
2016,9,171.9,153.6
2016,10,76.1,153.1
2016,11,29.7,147.6
2016,12,14.9,147.4
2017,1,19.0,127.9
2017,2,22.6,126.0
2017,3,27.8,129.1
2017,4,37.9,130.6
2017,5,62.4,128.1
2017,6,168.1,128.6
2017,7,289.3,129.9
2017,8,256.2,129.1
2017,9,171.5,130.2
2017,10,76.3,126.6
2017,11,29.9,124.0
2017,12,15.0,113.6
2018,1,19.2,107.9
2018,2,20.1,116.9
2018,3,27.1,122.9
2018,4,40.2,123.2
2018,5,62.7,118.3
2018,6,165.0,120.1
2018,7,286.3,122.1
2018,8,254.3,124.0
2018,9,171.9,121.4
2018,10,77.2,122.6
2018,11,28.1,122.6
2018,12,14.1,128.1
2019,1,18.5,128.5
2019,2,33.1,132.8
2019,3,18.7,133.9
2019,4,31.5,130.6
2019,5,51.3,132.3
2019,6,113.5,135.3
2019,7,298.8,131.5
2019,8,299.9,132.9
2019,9,259.5,133.3
2019,10,110.1,133.3
2019,11,31.6,133.3
2019,12,19.2,136.6
2020,1,28.3,138.6
2020,2,12.1,137.2
2020,3,44.7,136.6
2020,4,42.7,136.6
2020,5,71.8,136.6
2020,6,195.6,136.2
2020,7,257.1,135.0
2020,8,327.8,133.3
2020,9,178.0,132.6
2020,10,78.3,133.5
2020,11,29.2,133.9
2020,12,17.0,157.2
2021,1,20.2,183.2
2021,2,7.6,181.5
2021,3,16.7,186.8
2021,4,31.1,189.7
2021,5,107.8,188.9
2021,6,182.4,185.9
2021,7,266.2,179.4
2021,8,196.3,181.2
2021,9,229.6,182.0
2021,10,100.8,183.4
2021,11,56.5,181.1
2021,12,20.5,183.2
2022,1,39.5,187.9
2022,2,19.1,192.0
2022,3,8.9,187.6
2022,4,38.2,195.4
2022,5,83.2,205.1
2022,6,152.2,206.9
2022,7,327.2,208.2
2022,8,264.0,209.5
2022,9,181.4,211.9
2022,10,111.8,212.6
2022,11,18.6,212.8
2022,12,13.6,211.1
2023,1,14.8,201.5
2023,2,7.2,192.8
2023,3,37.6,175.2
2023,4,41.4,156.9
2023,5,67.5,155.4
2023,6,151.2,158.0
2023,7,315.9,161.6
2023,8,162.7,164.1
2023,9,190.0,170.9
2023,10,50.8,175.0
2023,11,34.6,175.9
2023,12,25.5,178.1
2024,1,7.2,172.0
2024,2,19.6,169.5
2024,3,28.5,169.7
2024,4,31.4,171.7
2024,5,66.0,170.8
2024,6,147.2,172.1
2024,7,305.8,172.5
2024,8,293.9,177.0
2024,9,187.3,182.2
2024,10,75.7,174.1
2024,11,13.6,171.4
2024,12,28.1,171.8
