Year,Month,Rainfall,WPI
2012,4,47.5,105.1
2012,5,31.7,105.4
2012,6,117.8,106.2
2012,7,250.2,107.2
2012,8,262.4,106.7
2012,9,193.5,107.5
2012,10,58.7,108.3
2012,11,30.7,108.5
2012,12,11.7,108.0
2013,1,11.3,108.7
2013,2,40.1,109.8
2013,3,15.7,109.8
2013,4,30.4,110.3
2013,5,57.8,111.8
2013,6,219.8,112.6
2013,7,310.0,113.5
2013,8,254.7,114.4
2013,9,152.7,115.4
2013,10,129.4,116.6
2013,11,14.0,117.4
2013,12,6.7,118.6
2014,1,19.2,118.6
2014,2,27.4,120.9
2014,3,36.1,121.6
2014,4,22.2,120.9
2014,5,72.9,123.4
2014,6,95.4,124.8
2014,7,261.2,125.2
2014,8,237.5,126.5
2014,9,188.0,126.6
2014,10,60.2,127.0
2014,11,14.4,128.5
2014,12,10.7,129.0
2015,1,17.4,129.2
2015,2,21.0,129.1
2015,3,62.0,129.2
2015,4,69.4,129.7
2015,5,53.8,130.2
2015,6,192.8,130.4
2015,7,242.4,130.3
2015,8,205.2,130.3
2015,9,131.8,130.3
2015,10,42.9,130.3
2015,11,39.4,130.3
2015,12,15.0,130.4
2016,1,19.3,131.1
2016,2,22.8,131.3
2016,3,27.6,131.7
2016,4,37.4,131.9
2016,5,62.6,132.1
2016,6,168.3,133.4
2016,7,289.1,134.2
2016,8,256.3,134.4
2016,9,171.9,134.6
2016,10,76.1,134.8
2016,11,29.7,134.7
2016,12,14.9,135.0
2017,1,19.0,135.0
2017,2,22.6,135.4
2017,3,27.8,136.5
2017,4,37.9,137.7
2017,5,62.4,138.5
2017,6,168.1,139.2
2017,7,289.3,139.2
2017,8,256.2,139.7
2017,9,171.5,140.4
2017,10,76.3,140.2
2017,11,29.9,140.2
2017,12,15.0,140.2
2018,1,19.2,140.3
2018,2,20.1,140.6
2018,3,27.1,140.7
2018,4,40.2,141.2
2018,5,62.7,141.8
2018,6,165.0,142.5
2018,7,286.3,143.2
2018,8,254.3,143.7
2018,9,171.9,143.5
2018,10,77.2,144.1
2018,11,28.1,144.1
2018,12,14.1,143.7
2019,1,18.5,143.4
2019,2,33.1,142.9
2019,3,18.7,143.2
2019,4,31.5,143.2
2019,5,51.3,143.4
2019,6,113.5,145.5
2019,7,298.8,145.3
2019,8,299.9,145.9
2019,9,259.5,145.7
2019,10,110.1,146.2
2019,11,31.6,146.6
2019,12,19.2,148.5
2020,1,28.3,149.0
2020,2,12.1,149.6
2020,3,44.7,151.2
2020,4,42.7,151.6
2020,5,71.8,151.4
2020,6,195.6,151.9
2020,7,257.1,152.1
2020,8,327.8,152.3
2020,9,178.0,153.8
2020,10,78.3,154.6
2020,11,29.2,154.7
2020,12,17.0,154.1
2021,1,20.2,154.0
2021,2,7.6,154.9
2021,3,16.7,155.2
2021,4,31.1,154.7
2021,5,107.8,154.9
2021,6,182.4,154.4
2021,7,266.2,155.9
2021,8,196.3,157.0
2021,9,229.6,156.8
2021,10,100.8,157.3
2021,11,56.5,157.5
2021,12,20.5,157.3
2022,1,39.5,157.4
2022,2,19.1,157.8
2022,3,8.9,161.6
2022,4,38.2,163.3
2022,5,83.2,163.9
2022,6,152.2,164.2
2022,7,327.2,164.4
2022,8,264.0,165.5
2022,9,181.4,165.5
2022,10,111.8,166.7
2022,11,18.6,167.3
2022,12,13.6,169.9
2023,1,14.8,172.9
2023,2,7.2,174.1
2023,3,37.6,175.3
2023,4,41.4,176.7
2023,5,67.5,177.3
2023,6,151.2,178.3
2023,7,315.9,177.9
2023,8,162.7,179.6
2023,9,190.0,180.0
2023,10,50.8,180.2
2023,11,34.6,181.5
2023,12,25.5,181.7
2024,1,7.2,182.3
2024,2,19.6,183.5
2024,3,28.5,184.2
2024,4,31.4,185.3
2024,5,66.0,184.0
2024,6,147.2,185.5
2024,7,305.8,186.0
2024,8,293.9,185.9
2024,9,187.3,185.3
2024,10,75.7,185.6
2024,11,13.6,185.2
2024,12,28.1,185.6
