Year,Month,Rainfall,WPI
2012,4,47.5,96.3
2012,5,31.7,96.0
2012,6,117.8,96.6
2012,7,250.2,103.6
2012,8,262.4,108.7
2012,9,193.5,108.4
2012,10,58.7,112.2
2012,11,30.7,113.5
2012,12,11.7,115.4
2013,1,11.3,116.9
2013,2,40.1,117.1
2013,3,15.7,118.3
2013,4,30.4,120.0
2013,5,57.8,118.9
2013,6,219.8,119.0
2013,7,310.0,118.0
2013,8,254.7,113.9
2013,9,152.7,117.5
2013,10,129.4,122.9
2013,11,14.0,126.4
2013,12,6.7,126.7
2014,1,19.2,126.5
2014,2,27.4,129.3
2014,3,36.1,132.6
2014,4,22.2,135.5
2014,5,72.9,137.8
2014,6,95.4,136.8
2014,7,261.2,142.5
2014,8,237.5,142.2
2014,9,188.0,141.2
2014,10,60.2,144.6
2014,11,14.4,148.5
2014,12,10.7,153.9
2015,1,17.4,159.1
2015,2,21.0,155.7
2015,3,62.0,150.7
2015,4,69.4,151.4
2015,5,53.8,155.7
2015,6,192.8,170.2
2015,7,242.4,165.3
2015,8,205.2,164.8
2015,9,131.8,167.5
2015,10,42.9,173.5
2015,11,39.4,178.1
2015,12,15.0,168.8
2016,1,19.3,167.1
2016,2,22.8,161.0
2016,3,27.6,158.7
2016,4,37.4,162.2
2016,5,62.6,161.9
2016,6,168.3,155.4
2016,7,289.1,150.4
2016,8,256.3,143.5
2016,9,171.9,134.7
2016,10,76.1,131.6
2016,11,29.7,127.4
2016,12,14.9,122.7
2017,1,19.0,119.7
2017,2,22.6,116.9
2017,3,27.8,115.4
2017,4,37.9,120.8
2017,5,62.4,120.1
2017,6,168.1,116.8
2017,7,289.3,113.0
2017,8,256.2,112.6
2017,9,171.5,112.9
2017,10,76.3,111.5
2017,11,29.9,109.8
2017,12,15.0,110.7
2018,1,19.2,112.2
2018,2,20.1,113.0
2018,3,27.1,114.1
2018,4,40.2,111.5
2018,5,62.7,113.0
2018,6,165.0,112.4
2018,7,286.3,115.0
2018,8,254.3,118.9
2018,9,171.9,119.8
2018,10,77.2,118.1
2018,11,28.1,121.6
2018,12,14.1,123.0
2019,1,18.5,125.8
2019,2,33.1,128.2
2019,3,18.7,127.8
2019,4,31.5,128.2
2019,5,51.3,130.9
2019,6,113.5,135.6
2019,7,298.8,137.1
2019,8,299.9,137.2
2019,9,259.5,138.7
2019,10,110.1,139.7
2019,11,31.6,146.7
2019,12,19.2,149.6
2020,1,28.3,151.3
2020,2,12.1,156.6
2020,3,44.7,162.0
2020,4,42.7,174.2
2020,5,71.8,179.7
2020,6,195.6,176.1
2020,7,257.1,173.6
2020,8,327.8,170.4
2020,9,178.0,164.3
2020,10,78.3,162.6
2020,11,29.2,165.1
2020,12,17.0,168.5
2021,1,20.2,166.7
2021,2,7.6,169.7
2021,3,16.7,169.2
2021,4,31.1,169.7
2021,5,107.8,169.6
2021,6,182.4,167.4
2021,7,266.2,163.5
2021,8,196.3,162.5
2021,9,229.6,164.9
2021,10,100.8,166.3
2021,11,56.5,164.7
2021,12,20.5,165.1
2022,1,39.5,164.1
2022,2,19.1,166.1
2022,3,8.9,168.8
2022,4,38.2,167.7
2022,5,83.2,166.3
2022,6,152.2,165.1
2022,7,327.2,166.2
2022,8,264.0,167.6
2022,9,181.4,166.2
2022,10,111.8,166.2
2022,11,18.6,165.7
2022,12,13.6,168.2
2023,1,14.8,167.7
2023,2,7.2,167.8
2023,3,37.6,172.8
2023,4,41.4,180.8
2023,5,67.5,178.6
2023,6,151.2,184.8
2023,7,315.9,188.7
2023,8,162.7,189.4
2023,9,190.0,199.7
2023,10,50.8,205.6
2023,11,34.6,203.7
2023,12,25.5,203.6
2024,1,7.2,198.7
2024,2,19.6,202.3
2024,3,28.5,205.0
2024,4,31.4,209.6
2024,5,66.0,209.1
2024,6,147.2,202.8
2024,7,305.8,198.8
2024,8,293.9,190.2
2024,9,187.3,192.5
2024,10,75.7,190.9
2024,11,13.6,187.1
2024,12,28.1,186.0
