Year,Month,Rainfall,WPI
2012,4,47.5,115.6
2012,5,31.7,115.2
2012,6,117.8,115.1
2012,7,250.2,118.8
2012,8,262.4,122.1
2012,9,193.5,121.0
2012,10,58.7,118.2
2012,11,30.7,118.5
2012,12,11.7,118.5
2013,1,11.3,116.2
2013,2,40.1,114.6
2013,3,15.7,109.3
2013,4,30.4,105.8
2013,5,57.8,103.8
2013,6,219.8,103.7
2013,7,310.0,102.5
2013,8,254.7,102.4
2013,9,152.7,104.4
2013,10,129.4,106.9
2013,11,14.0,109.7
2013,12,6.7,109.1
2014,1,19.2,108.1
2014,2,27.4,105.8
2014,3,36.1,107.4
2014,4,22.2,105.8
2014,5,72.9,106.7
2014,6,95.4,105.9
2014,7,261.2,106.7
2014,8,237.5,106.7
2014,9,188.0,107.7
2014,10,60.2,107.8
2014,11,14.4,109.3
2014,12,10.7,113.2
2015,1,17.4,116.8
2015,2,21.0,114.3
2015,3,62.0,112.4
2015,4,69.4,113.1
2015,5,53.8,117.6
2015,6,192.8,123.5
2015,7,242.4,125.5
2015,8,205.2,124.7
2015,9,131.8,127.1
2015,10,42.9,135.2
2015,11,39.4,135.0
2015,12,15.0,130.3
2016,1,19.3,124.3
2016,2,22.8,119.7
2016,3,27.6,117.6
2016,4,37.4,120.4
2016,5,62.6,120.4
2016,6,168.3,120.4
2016,7,289.1,128.1
2016,8,256.3,128.4
2016,9,171.9,131.3
2016,10,76.1,128.1
2016,11,29.7,128.7
2016,12,14.9,127.6
2017,1,19.0,125.8
2017,2,22.6,120.1
2017,3,27.8,117.6
2017,4,37.9,118.1
2017,5,62.4,117.9
2017,6,168.1,115.9
2017,7,289.3,113.5
2017,8,256.2,115.6
2017,9,171.5,116.4
2017,10,76.3,118.9
2017,11,29.9,119.4
2017,12,15.0,120.9
2018,1,19.2,120.8
2018,2,20.1,120.6
2018,3,27.1,119.3
2018,4,40.2,120.3
2018,5,62.7,120.7
2018,6,165.0,122.3
2018,7,286.3,127.0
2018,8,254.3,126.6
2018,9,171.9,127.0
2018,10,77.2,126.2
2018,11,28.1,127.0
2018,12,14.1,126.1
2019,1,18.5,124.7
2019,2,33.1,123.6
2019,3,18.7,122.9
2019,4,31.5,120.2
2019,5,51.3,121.2
2019,6,113.5,122.0
2019,7,298.8,122.8
2019,8,299.9,122.6
2019,9,259.5,122.6
2019,10,110.1,124.7
2019,11,31.6,129.2
2019,12,19.2,132.8
2020,1,28.3,133.4
2020,2,12.1,131.3
2020,3,44.7,131.4
2020,4,42.7,133.0
2020,5,71.8,138.9
2020,6,195.6,145.7
2020,7,257.1,147.7
2020,8,327.8,152.2
2020,9,178.0,158.0
2020,10,78.3,164.5
2020,11,29.2,169.5
2020,12,17.0,172.3
2021,1,20.2,173.6
2021,2,7.6,175.9
2021,3,16.7,176.3
2021,4,31.1,197.4
2021,5,107.8,208.5
2021,6,182.4,204.7
2021,7,266.2,211.5
2021,8,196.3,222.6
2021,9,229.6,235.1
2021,10,100.8,232.5
2021,11,56.5,235.2
2021,12,20.5,226.5
2022,1,39.5,224.5
2022,2,19.1,223.4
2022,3,8.9,218.3
2022,4,38.2,218.1
2022,5,83.2,216.1
2022,6,152.2,210.2
2022,7,327.2,202.5
2022,8,264.0,199.4
2022,9,181.4,189.3
2022,10,111.8,195.5
2022,11,18.6,203.5
2022,12,13.6,196.5
2023,1,14.8,189.1
2023,2,7.2,180.5
2023,3,37.6,169.2
2023,4,41.4,163.1
2023,5,67.5,152.4
2023,6,151.2,150.3
2023,7,315.9,160.0
2023,8,162.7,163.4
2023,9,190.0,156.6
2023,10,50.8,155.5
2023,11,34.6,159.8
2023,12,25.5,156.4
2024,1,7.2,153.0
2024,2,19.6,151.1
2024,3,28.5,152.7
2024,4,31.4,153.8
2024,5,66.0,163.0
2024,6,147.2,171.0
2024,7,305.8,171.9
2024,8,293.9,173.7
2024,9,187.3,188.7
2024,10,75.7,195.0
2024,11,13.6,197.6
2024,12,28.1,194.4
