Year,Month,Rainfall,WPI
2012,4,47.5,104.8
2012,5,31.7,105.6
2012,6,117.8,107.9
2012,7,250.2,107.9
2012,8,262.4,107.9
2012,9,193.5,108.6
2012,10,58.7,110.2
2012,11,30.7,111.0
2012,12,11.7,111.7
2013,1,11.3,112.5
2013,2,40.1,113.0
2013,3,15.7,115.5
2013,4,30.4,117.1
2013,5,57.8,117.8
2013,6,219.8,118.6
2013,7,310.0,118.4
2013,8,254.7,119.4
2013,9,152.7,120.9
2013,10,129.4,121.9
2013,11,14.0,123.2
2013,12,6.7,122.5
2014,1,19.2,122.5
2014,2,27.4,123.0
2014,3,36.1,123.9
2014,4,22.2,124.5
2014,5,72.9,125.6
2014,6,95.4,127.2
2014,7,261.2,126.7
2014,8,237.5,126.9
2014,9,188.0,127.0
2014,10,60.2,127.9
2014,11,14.4,130.7
2014,12,10.7,131.0
2015,1,17.4,129.2
2015,2,21.0,134.8
2015,3,62.0,137.7
2015,4,69.4,135.1
2015,5,53.8,135.1
2015,6,192.8,135.1
2015,7,242.4,134.6
2015,8,205.2,134.7
2015,9,131.8,135.1
2015,10,42.9,136.6
2015,11,39.4,135.8
2015,12,15.0,134.8
2016,1,19.3,134.4
2016,2,22.8,134.1
2016,3,27.6,133.6
2016,4,37.4,133.6
2016,5,62.6,134.8
2016,6,168.3,135.7
2016,7,289.1,133.0
2016,8,256.3,138.5
2016,9,171.9,135.4
2016,10,76.1,132.5
2016,11,29.7,132.6
2016,12,14.9,133.0
2017,1,19.0,132.9
2017,2,22.6,132.1
2017,3,27.8,132.1
2017,4,37.9,131.9
2017,5,62.4,131.9
2017,6,168.1,131.9
2017,7,289.3,131.9
2017,8,256.2,131.9
2017,9,171.5,131.9
2017,10,76.3,131.9
2017,11,29.9,131.9
2017,12,15.0,131.9
2018,1,19.2,131.9
2018,2,20.1,131.9
2018,3,27.1,131.9
2018,4,40.2,131.9
2018,5,62.7,131.9
2018,6,165.0,131.9
2018,7,286.3,131.9
2018,8,254.3,132.6
2018,9,171.9,133.5
2018,10,77.2,133.2
2018,11,28.1,130.3
2018,12,14.1,129.8
2019,1,18.5,130.3
2019,2,33.1,129.1
2019,3,18.7,126.1
2019,4,31.5,127.3
2019,5,51.3,127.8
2019,6,113.5,129.5
2019,7,298.8,129.5
2019,8,299.9,130.3
2019,9,259.5,129.5
2019,10,110.1,129.5
2019,11,31.6,130.1
2019,12,19.2,135.6
2020,1,28.3,136.9
2020,2,12.1,139.0
2020,3,44.7,138.7
2020,4,42.7,146.2
2020,5,71.8,147.9
2020,6,195.6,147.9
2020,7,257.1,145.6
2020,8,327.8,143.3
2020,9,178.0,141.4
2020,10,78.3,156.2
2020,11,29.2,170.4
2020,12,17.0,169.8
2021,1,20.2,171.2
2021,2,7.6,171.5
2021,3,16.7,171.5
2021,4,31.1,171.5
2021,5,107.8,171.5
2021,6,182.4,171.9
2021,7,266.2,172.0
2021,8,196.3,172.3
2021,9,229.6,172.7
2021,10,100.8,172.9
2021,11,56.5,173.5
2021,12,20.5,172.9
2022,1,39.5,172.9
2022,2,19.1,173.7
2022,3,8.9,173.7
2022,4,38.2,173.7
2022,5,83.2,173.7
2022,6,152.2,173.7
2022,7,327.2,178.6
2022,8,264.0,180.5
2022,9,181.4,181.1
2022,10,111.8,185.3
2022,11,18.6,184.3
2022,12,13.6,184.7
2023,1,14.8,187.2
2023,2,7.2,188.6
2023,3,37.6,190.5
2023,4,41.4,190.9
2023,5,67.5,191.3
2023,6,151.2,191.3
2023,7,315.9,191.0
2023,8,162.7,190.2
2023,9,190.0,190.9
2023,10,50.8,189.0
2023,11,34.6,180.5
2023,12,25.5,181.3
2024,1,7.2,181.9
2024,2,19.6,181.0
2024,3,28.5,181.7
2024,4,31.4,179.7
2024,5,66.0,179.4
2024,6,147.2,179.6
2024,7,305.8,178.8
2024,8,293.9,177.6
2024,9,187.3,178.6
2024,10,75.7,177.3
2024,11,13.6,177.6
2024,12,28.1,179.0
