Year,Month,Rainfall,WPI
2012,4,47.5,116.4
2012,5,31.7,120.2
2012,6,117.8,124.4
2012,7,250.2,114.0
2012,8,262.4,125.2
2012,9,193.5,124.7
2012,10,58.7,119.0
2012,11,30.7,114.7
2012,12,11.7,112.5
2013,1,11.3,116.1
2013,2,40.1,116.1
2013,3,15.7,117.9
2013,4,30.4,117.9
2013,5,57.8,119.6
2013,6,219.8,117.4
2013,7,310.0,117.1
2013,8,254.7,116.5
2013,9,152.7,114.6
2013,10,129.4,115.5
2013,11,14.0,116.1
2013,12,6.7,116.6
2014,1,19.2,114.6
2014,2,27.4,112.6
2014,3,36.1,112.6
2014,4,22.2,114.3
2014,5,72.9,116.1
2014,6,95.4,119.2
2014,7,261.2,120.9
2014,8,237.5,123.8
2014,9,188.0,128.3
2014,10,60.2,128.3
2014,11,14.4,122.7
2014,12,10.7,125.7
2015,1,17.4,138.8
2015,2,21.0,143.3
2015,3,62.0,146.7
2015,4,69.4,165.2
2015,5,53.8,154.5
2015,6,192.8,192.6
2015,7,242.4,220.3
2015,8,205.2,227.6
2015,9,131.8,234.0
2015,10,42.9,244.2
2015,11,39.4,260.4
2015,12,15.0,251.3
2016,1,19.3,238.3
2016,2,22.8,243.5
2016,3,27.6,241.2
2016,4,37.4,221.2
2016,5,62.6,215.9
2016,6,168.3,210.6
2016,7,289.1,212.8
2016,8,256.3,208.0
2016,9,171.9,207.6
2016,10,76.1,207.6
2016,11,29.7,207.6
2016,12,14.9,199.7
2017,1,19.0,198.0
2017,2,22.6,200.4
2017,3,27.8,202.3
2017,4,37.9,201.6
2017,5,62.4,204.7
2017,6,168.1,206.7
2017,7,289.3,207.2
2017,8,256.2,205.4
2017,9,171.5,204.8
2017,10,76.3,205.9
2017,11,29.9,205.5
2017,12,15.0,203.0
2018,1,19.2,200.8
2018,2,20.1,190.2
2018,3,27.1,179.4
2018,4,40.2,169.5
2018,5,62.7,153.7
2018,6,165.0,141.7
2018,7,286.3,132.8
2018,8,254.3,130.9
2018,9,171.9,139.7
2018,10,77.2,140.8
2018,11,28.1,141.1
2018,12,14.1,141.1
2019,1,18.5,140.8
2019,2,33.1,143.5
2019,3,18.7,165.3
2019,4,31.5,174.7
2019,5,51.3,173.1
2019,6,113.5,170.7
2019,7,298.8,168.0
2019,8,299.9,163.8
2019,9,259.5,166.1
2019,10,110.1,174.6
2019,11,31.6,175.4
2019,12,19.2,169.4
2020,1,28.3,171.5
2020,2,12.1,166.9
2020,3,44.7,164.5
2020,4,42.7,163.6
2020,5,71.8,160.4
2020,6,195.6,153.1
2020,7,257.1,152.5
2020,8,327.8,187.9
2020,9,178.0,214.5
2020,10,78.3,215.2
2020,11,29.2,216.6
2020,12,17.0,205.2
2021,1,20.2,206.7
2021,2,7.6,204.4
2021,3,16.7,211.5
2021,4,31.1,233.1
2021,5,107.8,247.1
2021,6,182.4,249.0
2021,7,266.2,247.5
2021,8,196.3,241.8
2021,9,229.6,241.0
2021,10,100.8,251.9
2021,11,56.5,252.9
2021,12,20.5,253.9
2022,1,39.5,254.5
2022,2,19.1,256.9
2022,3,8.9,259.9
2022,4,38.2,239.8
2022,5,83.2,235.4
2022,6,152.2,234.2
2022,7,327.2,237.8
2022,8,264.0,240.1
2022,9,181.4,240.8
2022,10,111.8,243.0
2022,11,18.6,244.8
2022,12,13.6,248.2
2023,1,14.8,248.3
2023,2,7.2,246.4
2023,3,37.6,263.4
2023,4,41.4,271.8
2023,5,67.5,276.0
2023,6,151.2,280.4
2023,7,315.9,278.1
2023,8,162.7,284.4
2023,9,190.0,296.8
2023,10,50.8,291.7
2023,11,34.6,282.5
2023,12,25.5,281.2
2024,1,7.2,277.4
2024,2,19.6,292.3
2024,3,28.5,295.3
2024,4,31.4,295.3
2024,5,66.0,290.3
2024,6,147.2,288.5
2024,7,305.8,294.2
2024,8,293.9,305.0
2024,9,187.3,305.2
2024,10,75.7,306.4
2024,11,13.6,307.4
2024,12,28.1,307.7
