Year,Month,Rainfall,WPI
2012,4,47.5,72.8
2012,5,31.7,72.0
2012,6,117.8,80.1
2012,7,250.2,94.1
2012,8,262.4,105.6
2012,9,193.5,104.5
2012,10,58.7,111.8
2012,11,30.7,145.2
2012,12,11.7,161.6
2013,1,11.3,190.0
2013,2,40.1,216.2
2013,3,15.7,159.1
2013,4,30.4,145.2
2013,5,57.8,141.7
2013,6,219.8,190.8
2013,7,310.0,279.0
2013,8,254.7,441.3
2013,9,152.7,491.0
2013,10,129.4,530.9
2013,11,14.0,392.7
2013,12,6.7,210.1
2014,1,19.2,163.3
2014,2,27.4,133.1
2014,3,36.1,126.8
2014,4,22.2,130.7
2014,5,72.9,139.5
2014,6,95.4,185.0
2014,7,261.2,243.4
2014,8,237.5,232.0
2014,9,188.0,206.1
2014,10,60.2,201.8
2014,11,14.4,204.4
2014,12,10.7,208.7
2015,1,17.4,193.5
2015,2,21.0,198.0
2015,3,62.0,185.0
2015,4,69.4,171.8
2015,5,53.8,179.9
2015,6,192.8,204.2
2015,7,242.4,275.5
2015,8,205.2,440.2
2015,9,131.8,460.3
2015,10,42.9,369.4
2015,11,39.4,269.9
2015,12,15.0,209.5
2016,1,19.3,184.3
2016,2,22.8,144.9
2016,3,27.6,133.2
2016,4,37.4,123.5
2016,5,62.6,117.4
2016,6,168.3,123.5
2016,7,289.1,129.5
2016,8,256.3,117.0
2016,9,171.9,107.8
2016,10,76.1,104.3
2016,11,29.7,120.6
2016,12,14.9,122.2
2017,1,19.0,117.8
2017,2,22.6,114.5
2017,3,27.8,110.6
2017,4,37.9,107.9
2017,5,62.4,102.3
2017,6,168.1,111.8
2017,7,289.3,117.2
2017,8,256.2,220.5
2017,9,171.5,193.8
2017,10,76.3,237.6
2017,11,29.9,335.5
2017,12,15.0,363.0
2018,1,19.2,346.2
2018,2,20.1,250.7
2018,3,27.1,157.3
2018,4,40.2,122.6
2018,5,62.7,115.8
2018,6,165.0,135.3
2018,7,286.3,169.0
2018,8,254.3,163.3
2018,9,171.9,147.8
2018,10,77.2,162.3
2018,11,28.1,175.8
2018,12,14.1,131.3
2019,1,18.5,119.1
2019,2,33.1,105.3
2019,3,18.7,108.0
2019,4,31.5,118.6
2019,5,51.3,134.2
2019,6,113.5,157.8
2019,7,298.8,181.9
2019,8,299.9,217.2
2019,9,259.5,328.7
2019,10,110.1,356.8
2019,11,31.6,478.7
2019,12,19.2,729.8
2020,1,28.3,468.5
2020,2,12.1,276.2
2020,3,44.7,229.3
2020,4,42.7,204.4
2020,5,71.8,142.0
2020,6,195.6,133.7
2020,7,257.1,135.4
2020,8,327.8,142.4
2020,9,178.0,224.7
2020,10,78.3,387.1
2020,11,29.2,442.3
2020,12,17.0,330.7
2021,1,20.2,316.0
2021,2,7.6,362.6
2021,3,16.7,241.1
2021,4,31.1,164.1
2021,5,107.8,175.0
2021,6,182.4,219.7
2021,7,266.2,232.9
2021,8,196.3,231.8
2021,9,229.6,220.4
2021,10,100.8,293.1
2021,11,56.5,290.2
2021,12,20.5,267.6
2022,1,39.5,265.5
2022,2,19.1,266.8
2022,3,8.9,218.6
2022,4,38.2,157.5
2022,5,83.2,139.3
2022,6,152.2,150.9
2022,7,327.2,172.5
2022,8,264.0,174.4
2022,9,181.4,174.2
2022,10,111.8,205.1
2022,11,18.6,234.2
2022,12,13.6,194.3
2023,1,14.8,200.5
2023,2,7.2,159.5
2023,3,37.6,138.1
2023,4,41.4,128.2
2023,5,67.5,129.2
2023,6,151.2,144.4
2023,7,315.9,184.3
2023,8,162.7,233.9
2023,9,190.0,271.9
2023,10,50.8,343.4
2023,11,34.6,490.5
2023,12,25.5,354.5
2024,1,7.2,246.7
2024,2,19.6,205.2
2024,3,28.5,216.1
2024,4,31.4,204.1
2024,5,66.0,205.4
2024,6,147.2,279.2
2024,7,305.8,347.9
2024,8,293.9,391.2
2024,9,187.3,493.3
2024,10,75.7,478.2
2024,11,13.6,495.8
2024,12,28.1,414.7
