Year,Month,Rainfall,WPI
2012,4,47.5,107.9
2012,5,31.7,109.9
2012,6,117.8,112.2
2012,7,250.2,0.0
2012,8,262.4,0.0
2012,9,193.5,0.0
2012,10,58.7,0.0
2012,11,30.7,113.3
2012,12,11.7,109.9
2013,1,11.3,109.7
2013,2,40.1,111.0
2013,3,15.7,110.0
2013,4,30.4,110.2
2013,5,57.8,120.1
2013,6,219.8,120.4
2013,7,310.0,0.0
2013,8,254.7,0.0
2013,9,152.7,0.0
2013,10,129.4,0.0
2013,11,14.0,108.0
2013,12,6.7,99.3
2014,1,19.2,95.2
2014,2,27.4,100.1
2014,3,36.1,109.2
2014,4,22.2,114.0
2014,5,72.9,119.9
2014,6,95.4,121.2
2014,7,261.2,0.0
2014,8,237.5,0.0
2014,9,188.0,0.0
2014,10,60.2,0.0
2014,11,14.4,106.8
2014,12,10.7,101.4
2015,1,17.4,106.6
2015,2,21.0,111.8
2015,3,62.0,112.3
2015,4,69.4,113.3
2015,5,53.8,114.7
2015,6,192.8,116.4
2015,7,242.4,0.0
2015,8,205.2,0.0
2015,9,131.8,0.0
2015,10,42.9,0.0
2015,11,39.4,94.2
2015,12,15.0,97.4
2016,1,19.3,105.4
2016,2,22.8,105.6
2016,3,27.6,108.1
2016,4,37.4,124.2
2016,5,62.6,124.6
2016,6,168.3,130.2
2016,7,289.1,0.0
2016,8,256.3,0.0
2016,9,171.9,0.0
2016,10,76.1,0.0
2016,11,29.7,124.5
2016,12,14.9,122.2
2017,1,19.0,121.7
2017,2,22.6,122.2
2017,3,27.8,122.6
2017,4,37.9,122.9
2017,5,62.4,126.5
2017,6,168.1,132.5
2017,7,289.3,0.0
2017,8,256.2,0.0
2017,9,171.5,0.0
2017,10,76.3,0.0
2017,11,29.9,125.1
2017,12,15.0,126.0
2018,1,19.2,123.3
2018,2,20.1,123.7
2018,3,27.1,121.2
2018,4,40.2,123.7
2018,5,62.7,136.1
2018,6,165.0,145.1
2018,7,286.3,0.0
2018,8,254.3,0.0
2018,9,171.9,0.0
2018,10,77.2,0.0
2018,11,28.1,108.4
2018,12,14.1,93.9
2019,1,18.5,94.7
2019,2,33.1,99.2
2019,3,18.7,101.3
2019,4,31.5,112.3
2019,5,51.3,117.7
2019,6,113.5,120.1
2019,7,298.8,0.0
2019,8,299.9,0.0
2019,9,259.5,0.0
2019,10,110.1,0.0
2019,11,31.6,120.2
2019,12,19.2,111.4
2020,1,28.3,111.6
2020,2,12.1,99.0
2020,3,44.7,96.7
2020,4,42.7,104.7
2020,5,71.8,115.0
2020,6,195.6,121.0
2020,7,257.1,0.0
2020,8,327.8,0.0
2020,9,178.0,0.0
2020,10,78.3,0.0
2020,11,29.2,130.4
2020,12,17.0,110.8
2021,1,20.2,117.7
2021,2,7.6,154.4
2021,3,16.7,186.1
2021,4,31.1,253.8
2021,5,107.8,285.7
2021,6,182.4,284.9
2021,7,266.2,0.0
2021,8,196.3,0.0
2021,9,229.6,0.0
2021,10,100.8,0.0
2021,11,56.5,168.2
2021,12,20.5,177.7
2022,1,39.5,184.7
2022,2,19.1,201.2
2022,3,8.9,223.6
2022,4,38.2,254.0
2022,5,83.2,259.0
2022,6,152.2,265.4
2022,7,327.2,0.0
2022,8,264.0,0.0
2022,9,181.4,0.0
2022,10,111.8,0.0
2022,11,18.6,188.9
2022,12,13.6,187.8
2023,1,14.8,215.9
2023,2,7.2,239.0
2023,3,37.6,242.5
2023,4,41.4,280.5
2023,5,67.5,284.2
2023,6,151.2,293.1
2023,7,315.9,0.0
2023,8,162.7,0.0
2023,9,190.0,0.0
2023,10,50.8,0.0
2023,11,34.6,188.8
2023,12,25.5,167.8
2024,1,7.2,169.8
2024,2,19.6,175.0
2024,3,28.5,180.0
2024,4,31.4,244.4
2024,5,66.0,266.9
2024,6,147.2,258.5
2024,7,305.8,0.0
2024,8,293.9,0.0
2024,9,187.3,0.0
2024,10,75.7,0.0
2024,11,13.6,209.2
2024,12,28.1,202.4
