Year,Month,Rainfall,WPI
2012,4,47.5,104.2
2012,5,31.7,104.2
2012,6,117.8,107.0
2012,7,250.2,111.0
2012,8,262.4,114.0
2012,9,193.5,116.1
2012,10,58.7,116.6
2012,11,30.7,116.3
2012,12,11.7,115.9
2013,1,11.3,116.7
2013,2,40.1,117.9
2013,3,15.7,118.7
2013,4,30.4,120.4
2013,5,57.8,121.9
2013,6,219.8,124.9
2013,7,310.0,129.4
2013,8,254.7,132.0
2013,9,152.7,131.3
2013,10,129.4,131.0
2013,11,14.0,131.3
2013,12,6.7,130.6
2014,1,19.2,131.1
2014,2,27.4,132.3
2014,3,36.1,132.6
2014,4,22.2,133.7
2014,5,72.9,136.0
2014,6,95.4,137.2
2014,7,261.2,139.6
2014,8,237.5,140.5
2014,9,188.0,140.5
2014,10,60.2,140.0
2014,11,14.4,138.0
2014,12,10.7,134.6
2015,1,17.4,133.5
2015,2,21.0,134.1
2015,3,62.0,132.0
2015,4,69.4,132.6
2015,5,53.8,134.2
2015,6,192.8,133.6
2015,7,242.4,133.4
2015,8,205.2,133.9
2015,9,131.8,135.2
2015,10,42.9,135.8
2015,11,39.4,135.6
2015,12,15.0,135.4
2016,1,19.3,135.8
2016,2,22.8,135.3
2016,3,27.6,135.2
2016,4,37.4,136.3
2016,5,62.6,139.1
2016,6,168.3,142.2
2016,7,289.1,144.2
2016,8,256.3,144.6
2016,9,171.9,144.7
2016,10,76.1,145.1
2016,11,29.7,145.0
2016,12,14.9,144.2
2017,1,19.0,143.8
2017,2,22.6,146.4
2017,3,27.8,147.7
2017,4,37.9,147.6
2017,5,62.4,148.0
2017,6,168.1,148.4
2017,7,289.3,149.1
2017,8,256.2,148.5
2017,9,171.5,148.8
2017,10,76.3,149.6
2017,11,29.9,149.2
2017,12,15.0,148.8
2018,1,19.2,150.4
2018,2,20.1,151.4
2018,3,27.1,152.6
2018,4,40.2,153.3
2018,5,62.7,154.2
2018,6,165.0,153.9
2018,7,286.3,155.0
2018,8,254.3,155.6
2018,9,171.9,155.7
2018,10,77.2,155.7
2018,11,28.1,155.5
2018,12,14.1,155.7
2019,1,18.5,155.8
2019,2,33.1,156.5
2019,3,18.7,156.6
2019,4,31.5,157.0
2019,5,51.3,157.6
2019,6,113.5,158.4
2019,7,298.8,159.9
2019,8,299.9,160.8
2019,9,259.5,161.9
2019,10,110.1,162.7
2019,11,31.6,162.1
2019,12,19.2,162.0
2020,1,28.3,162.3
2020,2,12.1,162.3
2020,3,44.7,159.3
2020,4,42.7,162.7
2020,5,71.8,163.1
2020,6,195.6,165.6
2020,7,257.1,165.8
2020,8,327.8,165.4
2020,9,178.0,165.0
2020,10,78.3,163.7
2020,11,29.2,163.1
2020,12,17.0,162.2
2021,1,20.2,162.0
2021,2,7.6,161.7
2021,3,16.7,161.5
2021,4,31.1,162.0
2021,5,107.8,162.2
2021,6,182.4,161.7
2021,7,266.2,161.2
2021,8,196.3,161.8
2021,9,229.6,162.3
2021,10,100.8,162.8
2021,11,56.5,162.8
2021,12,20.5,162.6
2022,1,39.5,162.9
2022,2,19.1,161.7
2022,3,8.9,163.1
2022,4,38.2,164.4
2022,5,83.2,165.1
2022,6,152.2,165.5
2022,7,327.2,166.2
2022,8,264.0,168.8
2022,9,181.4,171.7
2022,10,111.8,173.6
2022,11,18.6,173.3
2022,12,13.6,173.7
2023,1,14.8,174.6
2023,2,7.2,175.6
2023,3,37.6,175.4
2023,4,41.4,176.2
2023,5,67.5,177.2
2023,6,151.2,178.2
2023,7,315.9,181.2
2023,8,162.7,184.3
2023,9,190.0,187.0
2023,10,50.8,190.2
2023,11,34.6,191.4
2023,12,25.5,192.0
2024,1,7.2,191.2
2024,2,19.6,193.6
2024,3,28.5,196.0
2024,4,31.4,197.4
2024,5,66.0,197.7
2024,6,147.2,199.4
2024,7,305.8,201.1
2024,8,293.9,202.0
2024,9,187.3,203.4
2024,10,75.7,204.4
2024,11,13.6,205.9
2024,12,28.1,205.3
