Year,Month,Rainfall,WPI
2012,4,47.5,112.5
2012,5,31.7,113.3
2012,6,117.8,112.4
2012,7,250.2,112.5
2012,8,262.4,111.9
2012,9,193.5,108.9
2012,10,58.7,100.0
2012,11,30.7,96.0
2012,12,11.7,92.1
2013,1,11.3,93.0
2013,2,40.1,93.4
2013,3,15.7,94.2
2013,4,30.4,94.9
2013,5,57.8,95.3
2013,6,219.8,97.2
2013,7,310.0,99.6
2013,8,254.7,102.8
2013,9,152.7,104.7
2013,10,129.4,105.8
2013,11,14.0,107.5
2013,12,6.7,109.4
2014,1,19.2,107.7
2014,2,27.4,108.2
2014,3,36.1,111.8
2014,4,22.2,110.9
2014,5,72.9,109.4
2014,6,95.4,105.8
2014,7,261.2,106.1
2014,8,237.5,103.2
2014,9,188.0,99.0
2014,10,60.2,97.9
2014,11,14.4,95.6
2014,12,10.7,94.9
2015,1,17.4,94.9
2015,2,21.0,95.0
2015,3,62.0,96.3
2015,4,69.4,95.3
2015,5,53.8,95.1
2015,6,192.8,95.2
2015,7,242.4,95.0
2015,8,205.2,92.2
2015,9,131.8,89.8
2015,10,42.9,90.1
2015,11,39.4,90.0
2015,12,15.0,89.7
2016,1,19.3,89.2
2016,2,22.8,91.8
2016,3,27.6,95.5
2016,4,37.4,99.3
2016,5,62.6,101.4
2016,6,168.3,101.1
2016,7,289.1,99.5
2016,8,256.3,102.8
2016,9,171.9,105.5
2016,10,76.1,103.4
2016,11,29.7,103.0
2016,12,14.9,106.4
2017,1,19.0,108.7
2017,2,22.6,108.3
2017,3,27.8,106.8
2017,4,37.9,105.9
2017,5,62.4,104.4
2017,6,168.1,104.5
2017,7,289.3,104.4
2017,8,256.2,103.6
2017,9,171.5,106.2
2017,10,76.3,107.5
2017,11,29.9,109.8
2017,12,15.0,110.8
2018,1,19.2,111.6
2018,2,20.1,113.5
2018,3,27.1,118.1
2018,4,40.2,122.0
2018,5,62.7,123.3
2018,6,165.0,124.3
2018,7,286.3,121.6
2018,8,254.3,118.0
2018,9,171.9,118.7
2018,10,77.2,118.2
2018,11,28.1,113.0
2018,12,14.1,109.2
2019,1,18.5,111.0
2019,2,33.1,112.9
2019,3,18.7,110.3
2019,4,31.5,109.9
2019,5,51.3,107.9
2019,6,113.5,106.5
2019,7,298.8,105.0
2019,8,299.9,106.9
2019,9,259.5,110.2
2019,10,110.1,111.7
2019,11,31.6,115.8
2019,12,19.2,127.3
2020,1,28.3,138.1
2020,2,12.1,135.7
2020,3,44.7,132.8
2020,4,42.7,128.3
2020,5,71.8,125.5
2020,6,195.6,129.8
2020,7,257.1,131.8
2020,8,327.8,136.6
2020,9,178.0,138.9
2020,10,78.3,143.0
2020,11,29.2,151.2
2020,12,17.0,161.2
2021,1,20.2,166.7
2021,2,7.6,173.8
2021,3,16.7,184.3
2021,4,31.1,195.3
2021,5,107.8,204.8
2021,6,182.4,194.3
2021,7,266.2,195.4
2021,8,196.3,197.0
2021,9,229.6,193.8
2021,10,100.8,192.9
2021,11,56.5,191.9
2021,12,20.5,188.8
2022,1,39.5,189.6
2022,2,19.1,201.8
2022,3,8.9,217.1
2022,4,38.2,227.4
2022,5,83.2,233.2
2022,6,152.2,220.0
2022,7,327.2,201.5
2022,8,264.0,196.1
2022,9,181.4,175.9
2022,10,111.8,171.7
2022,11,18.6,170.0
2022,12,13.6,163.0
2023,1,14.8,163.8
2023,2,7.2,164.2
2023,3,37.6,164.2
2023,4,41.4,163.7
2023,5,67.5,159.8
2023,6,151.2,153.0
2023,7,315.9,151.8
2023,8,162.7,150.9
2023,9,190.0,146.1
2023,10,50.8,145.7
2023,11,34.6,145.5
2023,12,25.5,144.9
2024,1,7.2,145.6
2024,2,19.6,147.3
2024,3,28.5,153.0
2024,4,31.4,156.5
2024,5,66.0,155.5
2024,6,147.2,153.7
2024,7,305.8,154.7
2024,8,293.9,156.1
2024,9,187.3,172.8
2024,10,75.7,193.4
2024,11,13.6,199.3
2024,12,28.1,206.2
