Year,Month,Rainfall,WPI
2012,4,47.5,73.2
2012,5,31.7,60.2
2012,6,117.8,62.3
2012,7,250.2,70.5
2012,8,262.4,79.9
2012,9,193.5,68.7
2012,10,58.7,68.3
2012,11,30.7,67.5
2012,12,11.7,66.5
2013,1,11.3,65.0
2013,2,40.1,66.0
2013,3,15.7,66.0
2013,4,30.4,69.5
2013,5,57.8,78.2
2013,6,219.8,77.4
2013,7,310.0,75.8
2013,8,254.7,78.3
2013,9,152.7,77.5
2013,10,129.4,76.5
2013,11,14.0,77.3
2013,12,6.7,73.9
2014,1,19.2,68.3
2014,2,27.4,68.2
2014,3,36.1,74.5
2014,4,22.2,69.2
2014,5,72.9,68.9
2014,6,95.4,64.5
2014,7,261.2,79.4
2014,8,237.5,71.1
2014,9,188.0,70.1
2014,10,60.2,69.6
2014,11,14.4,67.7
2014,12,10.7,69.7
2015,1,17.4,70.9
2015,2,21.0,69.3
2015,3,62.0,69.8
2015,4,69.4,70.4
2015,5,53.8,71.0
2015,6,192.8,75.7
2015,7,242.4,76.1
2015,8,205.2,75.0
2015,9,131.8,68.1
2015,10,42.9,68.8
2015,11,39.4,65.3
2015,12,15.0,68.5
2016,1,19.3,66.9
2016,2,22.8,70.0
2016,3,27.6,70.6
2016,4,37.4,69.1
2016,5,62.6,71.5
2016,6,168.3,87.9
2016,7,289.1,82.1
2016,8,256.3,79.0
2016,9,171.9,82.3
2016,10,76.1,75.1
2016,11,29.7,74.1
2016,12,14.9,63.6
2017,1,19.0,66.4
2017,2,22.6,66.7
2017,3,27.8,62.1
2017,4,37.9,56.7
2017,5,62.4,56.8
2017,6,168.1,64.1
2017,7,289.3,64.1
2017,8,256.2,77.4
2017,9,171.5,74.2
2017,10,76.3,75.4
2017,11,29.9,72.8
2017,12,15.0,67.9
2018,1,19.2,66.5
2018,2,20.1,67.5
2018,3,27.1,69.3
2018,4,40.2,67.5
2018,5,62.7,82.0
2018,6,165.0,95.1
2018,7,286.3,70.0
2018,8,254.3,70.7
2018,9,171.9,73.7
2018,10,77.2,83.0
2018,11,28.1,75.9
2018,12,14.1,66.8
2019,1,18.5,65.1
2019,2,33.1,67.2
2019,3,18.7,68.3
2019,4,31.5,58.9
2019,5,51.3,65.9
2019,6,113.5,60.4
2019,7,298.8,71.0
2019,8,299.9,86.0
2019,9,259.5,95.9
2019,10,110.1,102.4
2019,11,31.6,97.4
2019,12,19.2,91.4
2020,1,28.3,91.8
2020,2,12.1,92.0
2020,3,44.7,82.6
2020,4,42.7,79.8
2020,5,71.8,67.6
2020,6,195.6,61.7
2020,7,257.1,62.4
2020,8,327.8,68.6
2020,9,178.0,75.7
2020,10,78.3,84.3
2020,11,29.2,111.2
2020,12,17.0,105.8
2021,1,20.2,94.7
2021,2,7.6,99.1
2021,3,16.7,107.7
2021,4,31.1,122.7
2021,5,107.8,127.0
2021,6,182.4,119.8
2021,7,266.2,128.6
2021,8,196.3,123.1
2021,9,229.6,124.7
2021,10,100.8,133.3
2021,11,56.5,132.8
2021,12,20.5,116.7
2022,1,39.5,99.3
2022,2,19.1,107.6
2022,3,8.9,111.8
2022,4,38.2,125.7
2022,5,83.2,107.9
2022,6,152.2,110.9
2022,7,327.2,138.1
2022,8,264.0,162.5
2022,9,181.4,134.9
2022,10,111.8,146.3
2022,11,18.6,185.5
2022,12,13.6,167.6
2023,1,14.8,152.9
2023,2,7.2,158.0
2023,3,37.6,159.2
2023,4,41.4,154.7
2023,5,67.5,134.8
2023,6,151.2,137.9
2023,7,315.9,147.0
2023,8,162.7,154.2
2023,9,190.0,165.4
2023,10,50.8,162.8
2023,11,34.6,212.6
2023,12,25.5,140.9
2024,1,7.2,106.3
2024,2,19.6,107.8
2024,3,28.5,138.3
2024,4,31.4,159.7
2024,5,66.0,132.9
2024,6,147.2,125.5
2024,7,305.8,132.3
2024,8,293.9,176.8
2024,9,187.3,188.1
2024,10,75.7,163.0
2024,11,13.6,136.3
2024,12,28.1,126.3
