Year,Month,Rainfall,WPI
2012,4,47.5,115.6
2012,5,31.7,115.6
2012,6,117.8,99.7
2012,7,250.2,86.0
2012,8,262.4,63.9
2012,9,193.5,74.2
2012,10,58.7,84.5
2012,11,30.7,95.6
2012,12,11.7,90.2
2013,1,11.3,82.1
2013,2,40.1,85.0
2013,3,15.7,83.2
2013,4,30.4,72.9
2013,5,57.8,72.9
2013,6,219.8,63.4
2013,7,310.0,50.6
2013,8,254.7,55.5
2013,9,152.7,58.5
2013,10,129.4,62.5
2013,11,14.0,64.2
2013,12,6.7,82.7
2014,1,19.2,149.4
2014,2,27.4,146.8
2014,3,36.1,146.8
2014,4,22.2,146.8
2014,5,72.9,158.9
2014,6,95.4,158.9
2014,7,261.2,122.9
2014,8,237.5,107.8
2014,9,188.0,128.2
2014,10,60.2,119.3
2014,11,14.4,147.5
2014,12,10.7,146.2
2015,1,17.4,154.1
2015,2,21.0,154.1
2015,3,62.0,158.5
2015,4,69.4,129.3
2015,5,53.8,129.3
2015,6,192.8,129.3
2015,7,242.4,131.5
2015,8,205.2,131.5
2015,9,131.8,131.5
2015,10,42.9,131.5
2015,11,39.4,131.5
2015,12,15.0,131.5
2016,1,19.3,131.5
2016,2,22.8,131.5
2016,3,27.6,131.5
2016,4,37.4,131.5
2016,5,62.6,131.5
2016,6,168.3,179.3
2016,7,289.1,153.2
2016,8,256.3,150.9
2016,9,171.9,159.4
2016,10,76.1,162.9
2016,11,29.7,181.8
2016,12,14.9,170.1
2017,1,19.0,153.0
2017,2,22.6,145.0
2017,3,27.8,142.6
2017,4,37.9,139.2
2017,5,62.4,137.4
2017,6,168.1,146.4
2017,7,289.3,135.7
2017,8,256.2,127.8
2017,9,171.5,124.2
2017,10,76.3,126.9
2017,11,29.9,133.5
2017,12,15.0,140.6
2018,1,19.2,128.3
2018,2,20.1,128.3
2018,3,27.1,134.7
2018,4,40.2,138.7
2018,5,62.7,146.1
2018,6,165.0,145.8
2018,7,286.3,130.1
2018,8,254.3,116.0
2018,9,171.9,114.0
2018,10,77.2,113.9
2018,11,28.1,114.6
2018,12,14.1,125.8
2019,1,18.5,126.1
2019,2,33.1,127.5
2019,3,18.7,126.9
2019,4,31.5,137.2
2019,5,51.3,144.1
2019,6,113.5,164.5
2019,7,298.8,159.5
2019,8,299.9,123.7
2019,9,259.5,125.3
2019,10,110.1,133.6
2019,11,31.6,144.5
2019,12,19.2,130.5
2020,1,28.3,126.5
2020,2,12.1,120.9
2020,3,44.7,110.0
2020,4,42.7,110.0
2020,5,71.8,111.9
2020,6,195.6,120.0
2020,7,257.1,111.6
2020,8,327.8,106.7
2020,9,178.0,116.0
2020,10,78.3,126.8
2020,11,29.2,133.3
2020,12,17.0,133.5
2021,1,20.2,133.5
2021,2,7.6,133.5
2021,3,16.7,133.5
2021,4,31.1,133.5
2021,5,107.8,133.5
2021,6,182.4,130.3
2021,7,266.2,120.0
2021,8,196.3,104.1
2021,9,229.6,114.0
2021,10,100.8,116.6
2021,11,56.5,112.0
2021,12,20.5,113.0
2022,1,39.5,113.0
2022,2,19.1,113.0
2022,3,8.9,113.0
2022,4,38.2,113.0
2022,5,83.2,113.0
2022,6,152.2,111.9
2022,7,327.2,119.5
2022,8,264.0,115.3
2022,9,181.4,120.6
2022,10,111.8,134.6
2022,11,18.6,148.6
2022,12,13.6,149.8
2023,1,14.8,149.8
2023,2,7.2,149.8
2023,3,37.6,149.8
2023,4,41.4,149.8
2023,5,67.5,149.8
2023,6,151.2,152.5
2023,7,315.9,132.9
2023,8,162.7,129.8
2023,9,190.0,125.4
2023,10,50.8,132.8
2023,11,34.6,136.7
2023,12,25.5,136.6
2024,1,7.2,136.5
2024,2,19.6,136.1
2024,3,28.5,136.1
2024,4,31.4,136.1
2024,5,66.0,136.1
2024,6,147.2,136.1
2024,7,305.8,125.1
2024,8,293.9,108.4
2024,9,187.3,120.3
2024,10,75.7,132.8
2024,11,13.6,138.4
2024,12,28.1,138.0
