Year,Month,Rainfall,WPI
2012,4,47.5,113.2
2012,5,31.7,123.1
2012,6,117.8,134.3
2012,7,250.2,147.4
2012,8,262.4,143.3
2012,9,193.5,153.8
2012,10,58.7,146.6
2012,11,30.7,131.8
2012,12,11.7,124.8
2013,1,11.3,118.4
2013,2,40.1,113.0
2013,3,15.7,123.2
2013,4,30.4,136.2
2013,5,57.8,139.7
2013,6,219.8,153.1
2013,7,310.0,151.7
2013,8,254.7,147.4
2013,9,152.7,157.1
2013,10,129.4,157.0
2013,11,14.0,150.2
2013,12,6.7,131.9
2014,1,19.2,103.4
2014,2,27.4,105.8
2014,3,36.1,116.7
2014,4,22.2,129.9
2014,5,72.9,135.6
2014,6,95.4,139.8
2014,7,261.2,145.7
2014,8,237.5,147.2
2014,9,188.0,146.4
2014,10,60.2,147.3
2014,11,14.4,136.5
2014,12,10.7,119.1
2015,1,17.4,113.6
2015,2,21.0,106.5
2015,3,62.0,124.7
2015,4,69.4,126.1
2015,5,53.8,136.9
2015,6,192.8,150.0
2015,7,242.4,142.1
2015,8,205.2,139.7
2015,9,131.8,148.2
2015,10,42.9,142.7
2015,11,39.4,140.3
2015,12,15.0,122.8
2016,1,19.3,120.5
2016,2,22.8,112.4
2016,3,27.6,112.4
2016,4,37.4,136.6
2016,5,62.6,146.3
2016,6,168.3,158.2
2016,7,289.1,156.6
2016,8,256.3,147.4
2016,9,171.9,147.4
2016,10,76.1,153.7
2016,11,29.7,152.2
2016,12,14.9,134.7
2017,1,19.0,120.2
2017,2,22.6,119.7
2017,3,27.8,122.2
2017,4,37.9,133.3
2017,5,62.4,136.1
2017,6,168.1,130.2
2017,7,289.3,137.6
2017,8,256.2,141.4
2017,9,171.5,142.3
2017,10,76.3,142.4
2017,11,29.9,141.2
2017,12,15.0,137.8
2018,1,19.2,130.0
2018,2,20.1,127.3
2018,3,27.1,129.0
2018,4,40.2,145.5
2018,5,62.7,149.9
2018,6,165.0,150.5
2018,7,286.3,154.0
2018,8,254.3,158.4
2018,9,171.9,157.6
2018,10,77.2,183.0
2018,11,28.1,203.9
2018,12,14.1,189.9
2019,1,18.5,167.7
2019,2,33.1,155.7
2019,3,18.7,168.2
2019,4,31.5,179.0
2019,5,51.3,185.1
2019,6,113.5,189.9
2019,7,298.8,190.7
2019,8,299.9,194.9
2019,9,259.5,199.9
2019,10,110.1,200.6
2019,11,31.6,202.4
2019,12,19.2,177.4
2020,1,28.3,182.4
2020,2,12.1,182.3
2020,3,44.7,180.1
2020,4,42.7,187.8
2020,5,71.8,194.9
2020,6,195.6,199.6
2020,7,257.1,200.0
2020,8,327.8,202.4
2020,9,178.0,205.1
2020,10,78.3,213.5
2020,11,29.2,230.2
2020,12,17.0,187.1
2021,1,20.2,172.9
2021,2,7.6,178.6
2021,3,16.7,188.7
2021,4,31.1,217.7
2021,5,107.8,219.0
2021,6,182.4,216.5
2021,7,266.2,214.0
2021,8,196.3,217.6
2021,9,229.6,219.0
2021,10,100.8,209.7
2021,11,56.5,237.0
2021,12,20.5,199.2
2022,1,39.5,191.4
2022,2,19.1,195.1
2022,3,8.9,187.9
2022,4,38.2,209.6
2022,5,83.2,223.5
2022,6,152.2,220.6
2022,7,327.2,218.3
2022,8,264.0,230.1
2022,9,181.4,235.7
2022,10,111.8,250.2
2022,11,18.6,223.1
2022,12,13.6,175.9
2023,1,14.8,160.4
2023,2,7.2,160.2
2023,3,37.6,166.9
2023,4,41.4,195.5
2023,5,67.5,199.5
2023,6,151.2,196.0
2023,7,315.9,215.9
2023,8,162.7,219.8
2023,9,190.0,227.4
2023,10,50.8,237.6
2023,11,34.6,235.8
2023,12,25.5,184.7
2024,1,7.2,181.1
2024,2,19.6,180.2
2024,3,28.5,185.2
2024,4,31.4,189.7
2024,5,66.0,208.5
2024,6,147.2,214.8
2024,7,305.8,221.7
2024,8,293.9,229.9
2024,9,187.3,258.7
2024,10,75.7,262.3
2024,11,13.6,241.5
2024,12,28.1,218.4
