Year,Month,Rainfall,WPI
2012,4,47.5,124.7
2012,5,31.7,116.5
2012,6,117.8,120.7
2012,7,250.2,134.3
2012,8,262.4,114.3
2012,9,193.5,123.0
2012,10,58.7,121.8
2012,11,30.7,102.0
2012,12,11.7,112.2
2013,1,11.3,116.0
2013,2,40.1,124.5
2013,3,15.7,130.2
2013,4,30.4,125.9
2013,5,57.8,135.8
2013,6,219.8,138.9
2013,7,310.0,126.5
2013,8,254.7,149.3
2013,9,152.7,143.5
2013,10,129.4,137.6
2013,11,14.0,136.2
2013,12,6.7,111.0
2014,1,19.2,117.4
2014,2,27.4,130.6
2014,3,36.1,126.7
2014,4,22.2,134.7
2014,5,72.9,125.2
2014,6,95.4,142.8
2014,7,261.2,149.8
2014,8,237.5,137.9
2014,9,188.0,127.1
2014,10,60.2,123.8
2014,11,14.4,111.4
2014,12,10.7,128.8
2015,1,17.4,123.6
2015,2,21.0,120.0
2015,3,62.0,130.6
2015,4,69.4,129.8
2015,5,53.8,126.6
2015,6,192.8,132.0
2015,7,242.4,131.7
2015,8,205.2,138.0
2015,9,131.8,132.1
2015,10,42.9,125.4
2015,11,39.4,118.1
2015,12,15.0,112.2
2016,1,19.3,118.7
2016,2,22.8,136.1
2016,3,27.6,140.5
2016,4,37.4,149.3
2016,5,62.6,132.7
2016,6,168.3,148.8
2016,7,289.1,168.6
2016,8,256.3,165.2
2016,9,171.9,165.0
2016,10,76.1,152.4
2016,11,29.7,144.9
2016,12,14.9,126.3
2017,1,19.0,143.0
2017,2,22.6,144.9
2017,3,27.8,137.8
2017,4,37.9,146.8
2017,5,62.4,149.6
2017,6,168.1,150.4
2017,7,289.3,156.4
2017,8,256.2,147.7
2017,9,171.5,148.1
2017,10,76.3,153.9
2017,11,29.9,144.3
2017,12,15.0,140.0
2018,1,19.2,148.8
2018,2,20.1,146.2
2018,3,27.1,144.3
2018,4,40.2,155.0
2018,5,62.7,163.5
2018,6,165.0,150.1
2018,7,286.3,162.4
2018,8,254.3,155.1
2018,9,171.9,158.8
2018,10,77.2,181.3
2018,11,28.1,160.5
2018,12,14.1,144.3
2019,1,18.5,124.5
2019,2,33.1,125.7
2019,3,18.7,150.9
2019,4,31.5,169.7
2019,5,51.3,196.7
2019,6,113.5,161.9
2019,7,298.8,185.5
2019,8,299.9,176.4
2019,9,259.5,162.7
2019,10,110.1,165.4
2019,11,31.6,151.8
2019,12,19.2,175.4
2020,1,28.3,173.9
2020,2,12.1,171.0
2020,3,44.7,161.4
2020,4,42.7,137.8
2020,5,71.8,129.1
2020,6,195.6,128.0
2020,7,257.1,126.8
2020,8,327.8,128.1
2020,9,178.0,160.2
2020,10,78.3,155.0
2020,11,29.2,139.4
2020,12,17.0,134.9
2021,1,20.2,116.7
2021,2,7.6,118.0
2021,3,16.7,127.3
2021,4,31.1,174.7
2021,5,107.8,137.2
2021,6,182.4,121.5
2021,7,266.2,138.8
2021,8,196.3,160.4
2021,9,229.6,166.2
2021,10,100.8,158.9
2021,11,56.5,138.9
2021,12,20.5,152.7
2022,1,39.5,145.9
2022,2,19.1,169.2
2022,3,8.9,210.2
2022,4,38.2,210.5
2022,5,83.2,148.4
2022,6,152.2,200.9
2022,7,327.2,189.1
2022,8,264.0,166.2
2022,9,181.4,234.6
2022,10,111.8,203.4
2022,11,18.6,176.7
2022,12,13.6,190.8
2023,1,14.8,178.4
2023,2,7.2,185.1
2023,3,37.6,224.4
2023,4,41.4,243.2
2023,5,67.5,212.9
2023,6,151.2,187.2
2023,7,315.9,206.6
2023,8,162.7,201.8
2023,9,190.0,224.0
2023,10,50.8,208.2
2023,11,34.6,209.5
2023,12,25.5,165.1
2024,1,7.2,185.0
2024,2,19.6,213.7
2024,3,28.5,216.2
2024,4,31.4,270.7
2024,5,66.0,290.5
2024,6,147.2,231.6
2024,7,305.8,244.2
2024,8,293.9,244.1
2024,9,187.3,243.9
2024,10,75.7,251.5
2024,11,13.6,223.1
2024,12,28.1,196.8
