Year,Month,Rainfall,WPI
2012,4,47.5,146.5
2012,5,31.7,83.3
2012,6,117.8,80.2
2012,7,250.2,71.3
2012,8,262.4,54.1
2012,9,193.5,69.0
2012,10,58.7,75.5
2012,11,30.7,81.2
2012,12,11.7,113.1
2013,1,11.3,191.3
2013,2,40.1,221.9
2013,3,15.7,205.7
2013,4,30.4,117.5
2013,5,57.8,85.4
2013,6,219.8,98.8
2013,7,310.0,86.4
2013,8,254.7,139.1
2013,9,152.7,134.5
2013,10,129.4,179.8
2013,11,14.0,169.8
2013,12,6.7,185.8
2014,1,19.2,248.1
2014,2,27.4,153.9
2014,3,36.1,120.1
2014,4,22.2,106.2
2014,5,72.9,87.1
2014,6,95.4,118.0
2014,7,261.2,111.0
2014,8,237.5,112.9
2014,9,188.0,105.1
2014,10,60.2,116.6
2014,11,14.4,128.9
2014,12,10.7,163.7
2015,1,17.4,262.9
2015,2,21.0,109.4
2015,3,62.0,107.3
2015,4,69.4,101.2
2015,5,53.8,92.5
2015,6,192.8,89.8
2015,7,242.4,114.7
2015,8,205.2,114.7
2015,9,131.8,114.7
2015,10,42.9,114.7
2015,11,39.4,114.7
2015,12,15.0,114.7
2016,1,19.3,114.7
2016,2,22.8,114.7
2016,3,27.6,114.7
2016,4,37.4,135.0
2016,5,62.6,111.6
2016,6,168.3,113.7
2016,7,289.1,82.8
2016,8,256.3,76.6
2016,9,171.9,70.4
2016,10,76.1,95.9
2016,11,29.7,108.8
2016,12,14.9,123.6
2017,1,19.0,147.1
2017,2,22.6,172.0
2017,3,27.8,168.2
2017,4,37.9,156.8
2017,5,62.4,106.4
2017,6,168.1,87.4
2017,7,289.3,65.3
2017,8,256.2,81.9
2017,9,171.5,81.4
2017,10,76.3,86.1
2017,11,29.9,105.9
2017,12,15.0,99.0
2018,1,19.2,115.7
2018,2,20.1,143.6
2018,3,27.1,156.3
2018,4,40.2,115.8
2018,5,62.7,87.7
2018,6,165.0,86.5
2018,7,286.3,74.7
2018,8,254.3,108.8
2018,9,171.9,95.7
2018,10,77.2,93.6
2018,11,28.1,99.4
2018,12,14.1,113.6
2019,1,18.5,126.4
2019,2,33.1,150.0
2019,3,18.7,212.3
2019,4,31.5,174.0
2019,5,51.3,147.1
2019,6,113.5,99.8
2019,7,298.8,82.5
2019,8,299.9,99.4
2019,9,259.5,112.3
2019,10,110.1,136.0
2019,11,31.6,136.1
2019,12,19.2,126.9
2020,1,28.3,157.9
2020,2,12.1,226.5
2020,3,44.7,195.2
2020,4,42.7,181.9
2020,5,71.8,92.4
2020,6,195.6,78.8
2020,7,257.1,68.2
2020,8,327.8,85.2
2020,9,178.0,170.2
2020,10,78.3,145.3
2020,11,29.2,143.7
2020,12,17.0,114.6
2021,1,20.2,188.0
2021,2,7.6,245.0
2021,3,16.7,228.6
2021,4,31.1,168.6
2021,5,107.8,128.2
2021,6,182.4,112.2
2021,7,266.2,83.3
2021,8,196.3,75.1
2021,9,229.6,95.2
2021,10,100.8,153.9
2021,11,56.5,171.2
2021,12,20.5,156.4
2022,1,39.5,253.8
2022,2,19.1,323.4
2022,3,8.9,291.3
2022,4,38.2,203.6
2022,5,83.2,131.3
2022,6,152.2,125.6
2022,7,327.2,128.5
2022,8,264.0,152.3
2022,9,181.4,136.8
2022,10,111.8,130.4
2022,11,18.6,120.2
2022,12,13.6,133.9
2023,1,14.8,225.3
2023,2,7.2,277.3
2023,3,37.6,241.5
2023,4,41.4,192.8
2023,5,67.5,142.8
2023,6,151.2,134.3
2023,7,315.9,156.8
2023,8,162.7,117.9
2023,9,190.0,107.1
2023,10,50.8,131.0
2023,11,34.6,113.3
2023,12,25.5,133.0
2024,1,7.2,174.3
2024,2,19.6,214.9
2024,3,28.5,206.5
2024,4,31.4,186.1
2024,5,66.0,147.4
2024,6,147.2,137.1
2024,7,305.8,111.5
2024,8,293.9,124.6
2024,9,187.3,159.4
2024,10,75.7,176.8
2024,11,13.6,146.2
2024,12,28.1,164.6
