Year,Month,Rainfall,WPI
2012,4,47.5,99.0
2012,5,31.7,92.6
2012,6,117.8,90.5
2012,7,250.2,97.4
2012,8,262.4,94.1
2012,9,193.5,92.9
2012,10,58.7,104.5
2012,11,30.7,106.8
2012,12,11.7,94.4
2013,1,11.3,96.7
2013,2,40.1,113.2
2013,3,15.7,104.9
2013,4,30.4,102.3
2013,5,57.8,103.2
2013,6,219.8,100.1
2013,7,310.0,95.9
2013,8,254.7,86.5
2013,9,152.7,91.5
2013,10,129.4,106.4
2013,11,14.0,101.1
2013,12,6.7,102.2
2014,1,19.2,110.6
2014,2,27.4,120.5
2014,3,36.1,114.4
2014,4,22.2,102.7
2014,5,72.9,98.0
2014,6,95.4,94.3
2014,7,261.2,93.3
2014,8,237.5,80.8
2014,9,188.0,76.1
2014,10,60.2,92.7
2014,11,14.4,97.6
2014,12,10.7,96.3
2015,1,17.4,90.8
2015,2,21.0,99.0
2015,3,62.0,105.4
2015,4,69.4,99.5
2015,5,53.8,88.4
2015,6,192.8,82.4
2015,7,242.4,73.7
2015,8,205.2,73.7
2015,9,131.8,74.5
2015,10,42.9,73.7
2015,11,39.4,70.2
2015,12,15.0,72.1
2016,1,19.3,76.4
2016,2,22.8,72.1
2016,3,27.6,72.1
2016,4,37.4,73.3
2016,5,62.6,72.6
2016,6,168.3,76.5
2016,7,289.1,71.5
2016,8,256.3,71.8
2016,9,171.9,74.0
2016,10,76.1,79.5
2016,11,29.7,81.2
2016,12,14.9,74.8
2017,1,19.0,71.8
2017,2,22.6,80.4
2017,3,27.8,82.7
2017,4,37.9,73.8
2017,5,62.4,67.3
2017,6,168.1,63.9
2017,7,289.3,65.0
2017,8,256.2,68.7
2017,9,171.5,70.6
2017,10,76.3,74.3
2017,11,29.9,77.4
2017,12,15.0,68.4
2018,1,19.2,70.2
2018,2,20.1,72.2
2018,3,27.1,78.7
2018,4,40.2,88.6
2018,5,62.7,93.6
2018,6,165.0,82.9
2018,7,286.3,68.9
2018,8,254.3,62.2
2018,9,171.9,65.3
2018,10,77.2,72.5
2018,11,28.1,76.2
2018,12,14.1,65.7
2019,1,18.5,64.0
2019,2,33.1,64.8
2019,3,18.7,63.8
2019,4,31.5,66.3
2019,5,51.3,63.3
2019,6,113.5,65.0
2019,7,298.8,69.0
2019,8,299.9,74.3
2019,9,259.5,81.4
2019,10,110.1,88.5
2019,11,31.6,85.1
2019,12,19.2,74.6
2020,1,28.3,67.1
2020,2,12.1,66.9
2020,3,44.7,73.9
2020,4,42.7,67.6
2020,5,71.8,69.4
2020,6,195.6,80.0
2020,7,257.1,78.7
2020,8,327.8,76.0
2020,9,178.0,76.1
2020,10,78.3,88.0
2020,11,29.2,92.9
2020,12,17.0,102.2
2021,1,20.2,112.0
2021,2,7.6,120.2
2021,3,16.7,111.1
2021,4,31.1,108.4
2021,5,107.8,107.8
2021,6,182.4,101.9
2021,7,266.2,87.2
2021,8,196.3,87.2
2021,9,229.6,94.1
2021,10,100.8,100.5
2021,11,56.5,116.1
2021,12,20.5,107.4
2022,1,39.5,95.7
2022,2,19.1,103.0
2022,3,8.9,100.1
2022,4,38.2,105.9
2022,5,83.2,125.7
2022,6,152.2,119.2
2022,7,327.2,111.2
2022,8,264.0,108.3
2022,9,181.4,107.5
2022,10,111.8,119.5
2022,11,18.6,127.4
2022,12,13.6,122.1
2023,1,14.8,119.3
2023,2,7.2,112.1
2023,3,37.6,109.4
2023,4,41.4,104.9
2023,5,67.5,100.7
2023,6,151.2,105.7
2023,7,315.9,102.5
2023,8,162.7,96.4
2023,9,190.0,112.8
2023,10,50.8,122.8
2023,11,34.6,119.2
2023,12,25.5,105.3
2024,1,7.2,95.4
2024,2,19.6,102.2
2024,3,28.5,102.3
2024,4,31.4,101.8
2024,5,66.0,107.5
2024,6,147.2,111.2
2024,7,305.8,107.0
2024,8,293.9,122.3
2024,9,187.3,148.5
2024,10,75.7,143.4
2024,11,13.6,127.2
2024,12,28.1,122.5
